Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 38;
102795006_00173 (imageset: 707CF4ED-DD39-4836-A144-0A1F9CD36EAA);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/89EC4932-222B-4BA1-A415-5A674FE30E6E/manage/707CF4ED-DD39-4836-A144-0A1F9CD36EAA/batches/F93C02FD-E4BE-45F1-B866-FD3011F7ED35]
102793934_00279 (imageset: D186A046-06B4-4A12-B24F-209E2DB4A660);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/89EC4932-222B-4BA1-A415-5A674FE30E6E/manage/D186A046-06B4-4A12-B24F-209E2DB4A660/batches/CAEEC7C1-A064-4C06-8190-8FE44465D622]
102794996_00178 (imageset: D27E47D2-DFAD-4AAA-8D1B-F6B7BB75ECC9);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/89EC4932-222B-4BA1-A415-5A674FE30E6E/manage/D27E47D2-DFAD-4AAA-8D1B-F6B7BB75ECC9/batches/EE875812-677D-448F-8E68-D428A1A81FB1]
103390800_00242 (imageset: 83E32033-E69B-4A93-B82E-04B247D0E5CB);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/89EC4932-222B-4BA1-A415-5A674FE30E6E/manage/83E32033-E69B-4A93-B82E-04B247D0E5CB/batches/0FB5953B-77C6-402B-A2AB-68EFF1E1180B]
102793915_00143 (imageset: 5009A273-3AF7-433C-BD39-7491F0152411);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/89EC4932-222B-4BA1-A415-5A674FE30E6E/manage/5009A273-3AF7-433C-BD39-7491F0152411/batches/A8F088B5-FC5D-4D7F-A23F-F3A548BF73F7]
102578464_00301 (imageset: F2CA3BF9-9774-4FF6-8166-668E44502266);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/89EC4932-222B-4BA1-A415-5A674FE30E6E/manage/F2CA3BF9-9774-4FF6-8166-668E44502266/batches/ABFCC0DC-9447-4AF6-8453-EFF53630021C]
102584031_00062 (imageset: 09FAD687-B15A-490D-96B4-182DD6301886);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/89EC4932-222B-4BA1-A415-5A674FE30E6E/manage/09FAD687-B15A-490D-96B4-182DD6301886/batches/92C960FD-9B1D-49A0-80BC-8FFA0E2CDFDA]
102587501_00128 (imageset: D1C3D276-0C69-4B20-90D0-F17962509C20);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/89EC4932-222B-4BA1-A415-5A674FE30E6E/manage/D1C3D276-0C69-4B20-90D0-F17962509C20/batches/F1DB9E16-A6DD-42EC-9A3E-E5F581C6C571]
103075017_00004 (imageset: 7E3A5FD8-7160-455D-A370-9EE4748AAC56);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/89EC4932-222B-4BA1-A415-5A674FE30E6E/manage/7E3A5FD8-7160-455D-A370-9EE4748AAC56/batches/55B52860-72C8-4413-BA52-68136D696DA3]
102584665_00153 (imageset: 49A9FD7A-DC88-4130-8711-8FF0A44F72B7);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/89EC4932-222B-4BA1-A415-5A674FE30E6E/manage/49A9FD7A-DC88-4130-8711-8FF0A44F72B7/batches/5E7BEAF1-A5BA-4312-B719-88243D14D651]
102793983_00285 (imageset: B09F180E-17D1-45A2-A8F5-714323BF1280);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/89EC4932-222B-4BA1-A415-5A674FE30E6E/manage/B09F180E-17D1-45A2-A8F5-714323BF1280/batches/FFB01ACA-2536-4A24-9E01-E5FDDA80291C]
102584031_00044 (imageset: 09FAD687-B15A-490D-96B4-182DD6301886);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/89EC4932-222B-4BA1-A415-5A674FE30E6E/manage/09FAD687-B15A-490D-96B4-182DD6301886/batches/3982E450-0E6A-4E90-9BDF-D118ADB22D7D]
102587503_00020 (imageset: D5EBB35C-6FDF-4ADF-943D-01244D87C526);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/89EC4932-222B-4BA1-A415-5A674FE30E6E/manage/D5EBB35C-6FDF-4ADF-943D-01244D87C526/batches/5D5B2D08-5E28-49ED-A528-B2BD549F677A]
102586034_00120 (imageset: CFD47042-B22B-4A36-84C2-AE0AEFAD28F0);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/89EC4932-222B-4BA1-A415-5A674FE30E6E/manage/CFD47042-B22B-4A36-84C2-AE0AEFAD28F0/batches/22C090B0-86F2-43F2-9581-7AD67A92339F]
102794423_00091 (imageset: CB182FAC-B547-43CF-AB8C-F795BAA4E853);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/89EC4932-222B-4BA1-A415-5A674FE30E6E/manage/CB182FAC-B547-43CF-AB8C-F795BAA4E853/batches/CD3FEDB4-B06E-47E5-A0FC-A748F5211AEC]
102584656_00280 (imageset: 59D6FD70-E6C6-4609-AC39-6389AD472A59);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/89EC4932-222B-4BA1-A415-5A674FE30E6E/manage/59D6FD70-E6C6-4609-AC39-6389AD472A59/batches/EC31091F-4DEE-4522-8797-E5A2355A9E09]
102794420_00094 (imageset: 92F92C0E-3101-4B61-B84B-72CCA510E519);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/89EC4932-222B-4BA1-A415-5A674FE30E6E/manage/92F92C0E-3101-4B61-B84B-72CCA510E519/batches/FB835F8C-352F-499B-BF78-9ACC35512020]
