Item;Item Type;Note;Item Link
ReportItem instance counts;;PROJECT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;BATCH_SHOULD_BE_EXPORTED: 95;
ReportItem instance counts;;PROJECT_AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT_BLOCKED_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE: 232;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 4;
ReportItem instance counts;;BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 91;
ReportItem instance counts;;IMAGE_NO_INDEXING_BATCH: 232;
8A9298DF-F99E-4110-94A6-F90CC50CBC8C;PROJECT;PROJECT_BATCH_COUNTS_ARE_NOT_EQUAL \\ PROJECT_AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL \\ PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL \\ PROJECT_BLOCKED_IMAGE_COUNTS_ARE_NOT_EQUAL;[PROJECT|https:///www.familysearch.org/indexing/admin-new/#/projects/8A9298DF-F99E-4110-94A6-F90CC50CBC8C/overview]
7F3F3BCB-639F-4CA8-9FE4-9830114C9E84;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/8A9298DF-F99E-4110-94A6-F90CC50CBC8C/manage/721AA928-748D-49C1-95F9-94BB3D123A28/batches/7F3F3BCB-639F-4CA8-9FE4-9830114C9E84]
4E5D1DF2-7A28-4B33-9072-F675B33F8608;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/8A9298DF-F99E-4110-94A6-F90CC50CBC8C/manage/721AA928-748D-49C1-95F9-94BB3D123A28/batches/4E5D1DF2-7A28-4B33-9072-F675B33F8608]
B7391A57-1902-48A4-BDE1-3A02FD28B748;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/8A9298DF-F99E-4110-94A6-F90CC50CBC8C/manage/721AA928-748D-49C1-95F9-94BB3D123A28/batches/B7391A57-1902-48A4-BDE1-3A02FD28B748]
0925BA28-760F-47F4-8E6E-E8F489E7756A;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/8A9298DF-F99E-4110-94A6-F90CC50CBC8C/manage/721AA928-748D-49C1-95F9-94BB3D123A28/batches/0925BA28-760F-47F4-8E6E-E8F489E7756A]
0253B324-53B6-4058-B1C5-B3F9F4888EE2;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/8A9298DF-F99E-4110-94A6-F90CC50CBC8C/manage/721AA928-748D-49C1-95F9-94BB3D123A28/batches/0253B324-53B6-4058-B1C5-B3F9F4888EE2]
F9F1AC1E-DADD-4EE6-9295-574FF7BD75CB;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/8A9298DF-F99E-4110-94A6-F90CC50CBC8C/manage/721AA928-748D-49C1-95F9-94BB3D123A28/batches/F9F1AC1E-DADD-4EE6-9295-574FF7BD75CB]
B595DBCD-453B-43D3-806B-E3BDC3A84331;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/8A9298DF-F99E-4110-94A6-F90CC50CBC8C/manage/721AA928-748D-49C1-95F9-94BB3D123A28/batches/B595DBCD-453B-43D3-806B-E3BDC3A84331]
1B5D7BD3-C381-44FE-AD3C-AC4E94F409B3;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/8A9298DF-F99E-4110-94A6-F90CC50CBC8C/manage/721AA928-748D-49C1-95F9-94BB3D123A28/batches/1B5D7BD3-C381-44FE-AD3C-AC4E94F409B3]
6B9920FD-1C7E-4AD6-ACE8-E8D0BB5FCC9D;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/8A9298DF-F99E-4110-94A6-F90CC50CBC8C/manage/721AA928-748D-49C1-95F9-94BB3D123A28/batches/6B9920FD-1C7E-4AD6-ACE8-E8D0BB5FCC9D]
17065D34-B7C7-4965-8A04-2EE9342E3287;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/8A9298DF-F99E-4110-94A6-F90CC50CBC8C/manage/721AA928-748D-49C1-95F9-94BB3D123A28/batches/17065D34-B7C7-4965-8A04-2EE9342E3287]
F2DCAE6B-76C1-4C28-8D20-0FB333AC6BA2;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/8A9298DF-F99E-4110-94A6-F90CC50CBC8C/manage/721AA928-748D-49C1-95F9-94BB3D123A28/batches/F2DCAE6B-76C1-4C28-8D20-0FB333AC6BA2]
494846F6-C5BF-4A7F-BEBC-02CF62DDA1AF;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/8A9298DF-F99E-4110-94A6-F90CC50CBC8C/manage/721AA928-748D-49C1-95F9-94BB3D123A28/batches/494846F6-C5BF-4A7F-BEBC-02CF62DDA1AF]
4A6B52DD-E832-45BA-97F9-C2277F28BF5E;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/8A9298DF-F99E-4110-94A6-F90CC50CBC8C/manage/721AA928-748D-49C1-95F9-94BB3D123A28/batches/4A6B52DD-E832-45BA-97F9-C2277F28BF5E]
FB83CE80-27ED-446E-8B22-7FC521D8981A;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/8A9298DF-F99E-4110-94A6-F90CC50CBC8C/manage/721AA928-748D-49C1-95F9-94BB3D123A28/batches/FB83CE80-27ED-446E-8B22-7FC521D8981A]
7A385178-51CE-4AE2-A618-67ADB7FF9EE5;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/8A9298DF-F99E-4110-94A6-F90CC50CBC8C/manage/721AA928-748D-49C1-95F9-94BB3D123A28/batches/7A385178-51CE-4AE2-A618-67ADB7FF9EE5]
CFF66CB3-7220-494E-8F14-8035DF8C6365;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/8A9298DF-F99E-4110-94A6-F90CC50CBC8C/manage/721AA928-748D-49C1-95F9-94BB3D123A28/batches/CFF66CB3-7220-494E-8F14-8035DF8C6365]
01F0C255-B297-4AAD-8508-7D1CA08BF3DD;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/8A9298DF-F99E-4110-94A6-F90CC50CBC8C/manage/721AA928-748D-49C1-95F9-94BB3D123A28/batches/01F0C255-B297-4AAD-8508-7D1CA08BF3DD]
0F658AC0-89DA-4618-B1C4-4E7209F0AF89;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/8A9298DF-F99E-4110-94A6-F90CC50CBC8C/manage/721AA928-748D-49C1-95F9-94BB3D123A28/batches/0F658AC0-89DA-4618-B1C4-4E7209F0AF89]
79F36F73-EE70-4A10-B09A-20B9EBB18400;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/8A9298DF-F99E-4110-94A6-F90CC50CBC8C/manage/721AA928-748D-49C1-95F9-94BB3D123A28/batches/79F36F73-EE70-4A10-B09A-20B9EBB18400]
65F677B3-C927-41B9-99F4-D2E02AE1121E;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/8A9298DF-F99E-4110-94A6-F90CC50CBC8C/manage/721AA928-748D-49C1-95F9-94BB3D123A28/batches/65F677B3-C927-41B9-99F4-D2E02AE1121E]
