Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_REJECTED_STATE: 2;
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 4020;
004014128_00448 (imageset: C8A36856-DA52-4226-B652-C78A510C3F1A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/8B4E0918-91B5-4864-8B30-4E5DD4C5510E/manage/C8A36856-DA52-4226-B652-C78A510C3F1A/batches/AB581232-F2A1-42D4-8D2A-3D34DFAFF759]
004014128_00449 (imageset: C8A36856-DA52-4226-B652-C78A510C3F1A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/8B4E0918-91B5-4864-8B30-4E5DD4C5510E/manage/C8A36856-DA52-4226-B652-C78A510C3F1A/batches/AB581232-F2A1-42D4-8D2A-3D34DFAFF759]
004014128_00446 (imageset: C8A36856-DA52-4226-B652-C78A510C3F1A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/8B4E0918-91B5-4864-8B30-4E5DD4C5510E/manage/C8A36856-DA52-4226-B652-C78A510C3F1A/batches/AB581232-F2A1-42D4-8D2A-3D34DFAFF759]
004014128_00447 (imageset: C8A36856-DA52-4226-B652-C78A510C3F1A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/8B4E0918-91B5-4864-8B30-4E5DD4C5510E/manage/C8A36856-DA52-4226-B652-C78A510C3F1A/batches/AB581232-F2A1-42D4-8D2A-3D34DFAFF759]
004014128_00444 (imageset: C8A36856-DA52-4226-B652-C78A510C3F1A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/8B4E0918-91B5-4864-8B30-4E5DD4C5510E/manage/C8A36856-DA52-4226-B652-C78A510C3F1A/batches/AB581232-F2A1-42D4-8D2A-3D34DFAFF759]
004014128_00445 (imageset: C8A36856-DA52-4226-B652-C78A510C3F1A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/8B4E0918-91B5-4864-8B30-4E5DD4C5510E/manage/C8A36856-DA52-4226-B652-C78A510C3F1A/batches/AB581232-F2A1-42D4-8D2A-3D34DFAFF759]
004014128_00442 (imageset: C8A36856-DA52-4226-B652-C78A510C3F1A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/8B4E0918-91B5-4864-8B30-4E5DD4C5510E/manage/C8A36856-DA52-4226-B652-C78A510C3F1A/batches/AB581232-F2A1-42D4-8D2A-3D34DFAFF759]
004014128_00443 (imageset: C8A36856-DA52-4226-B652-C78A510C3F1A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/8B4E0918-91B5-4864-8B30-4E5DD4C5510E/manage/C8A36856-DA52-4226-B652-C78A510C3F1A/batches/AB581232-F2A1-42D4-8D2A-3D34DFAFF759]
