Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES: 92;
ReportItem instance counts;;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE: 92;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 141;
ReportItem instance counts;;IMAGE_NO_INDEXING_BATCH: 92;
8C1571B2-30F5-4401-8D1D-6AD8360EE65B;PROJECT;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL;[PROJECT|https://www.familysearch.org/indexing/admin-new/#/projects/8C1571B2-30F5-4401-8D1D-6AD8360EE65B/overview]
104937767_00229 (imageset: 0B2383F5-144D-41BF-90EF-40F9F45BA78E);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/8C1571B2-30F5-4401-8D1D-6AD8360EE65B/manage/0B2383F5-144D-41BF-90EF-40F9F45BA78E/batches/C0019D48-F887-43F5-8D8A-8063642098AF]
105200554_00047 (imageset: 5D7FD64A-101B-44DC-8FCD-84FE21F37297);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/8C1571B2-30F5-4401-8D1D-6AD8360EE65B/manage/5D7FD64A-101B-44DC-8FCD-84FE21F37297/batches/217DA111-C13E-4345-AF4F-653BE6803F6B]
105642824_03705 (imageset: 740F3F35-D4BA-4B9E-837E-1B1253B9F87E);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH \\ IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/8C1571B2-30F5-4401-8D1D-6AD8360EE65B/manage/740F3F35-D4BA-4B9E-837E-1B1253B9F87E/batches/172A02EA-FD80-4678-ABDE-5E4A798C5CD4]
105642824_03704 (imageset: 740F3F35-D4BA-4B9E-837E-1B1253B9F87E);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH \\ IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/8C1571B2-30F5-4401-8D1D-6AD8360EE65B/manage/740F3F35-D4BA-4B9E-837E-1B1253B9F87E/batches/172A02EA-FD80-4678-ABDE-5E4A798C5CD4]
105200554_00048 (imageset: 5D7FD64A-101B-44DC-8FCD-84FE21F37297);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/8C1571B2-30F5-4401-8D1D-6AD8360EE65B/manage/5D7FD64A-101B-44DC-8FCD-84FE21F37297/batches/217DA111-C13E-4345-AF4F-653BE6803F6B]
105642824_03707 (imageset: 740F3F35-D4BA-4B9E-837E-1B1253B9F87E);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH \\ IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/8C1571B2-30F5-4401-8D1D-6AD8360EE65B/manage/740F3F35-D4BA-4B9E-837E-1B1253B9F87E/batches/172A02EA-FD80-4678-ABDE-5E4A798C5CD4]
105200554_00049 (imageset: 5D7FD64A-101B-44DC-8FCD-84FE21F37297);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/8C1571B2-30F5-4401-8D1D-6AD8360EE65B/manage/5D7FD64A-101B-44DC-8FCD-84FE21F37297/batches/217DA111-C13E-4345-AF4F-653BE6803F6B]
