Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_REJECTED_STATE: 3;
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 20;
004849003_00038 (imageset: B56D873B-24B1-491A-A1E2-9FE14EA7F834);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/8C293014-0D5D-4983-9399-D5B526CF43CB/manage/B56D873B-24B1-491A-A1E2-9FE14EA7F834/batches/D9FCA849-1E1B-4968-BD7B-B985B21E13E6]
004848914_00144 (imageset: DD877666-6B00-4E0C-B630-AEB448CC1FD1);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/8C293014-0D5D-4983-9399-D5B526CF43CB/manage/DD877666-6B00-4E0C-B630-AEB448CC1FD1/batches/A3F8FFBD-9041-4158-BEF3-031371C667BF]
004849003_00213 (imageset: B56D873B-24B1-491A-A1E2-9FE14EA7F834);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/8C293014-0D5D-4983-9399-D5B526CF43CB/manage/B56D873B-24B1-491A-A1E2-9FE14EA7F834/batches/05B5317D-326D-4205-B5A1-38C9AE9986F1]
004849001_00180 (imageset: 358B7F69-7141-42BC-A676-F9CCE1258F38);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/8C293014-0D5D-4983-9399-D5B526CF43CB/manage/358B7F69-7141-42BC-A676-F9CCE1258F38/batches/CDBFF0F4-2DBE-47D7-AFD7-5F138D4509E7]
004849383_00023 (imageset: 9C0E49BE-F366-49FA-9E8B-A905C2A72AD7);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/8C293014-0D5D-4983-9399-D5B526CF43CB/manage/9C0E49BE-F366-49FA-9E8B-A905C2A72AD7/batches/1F95CA20-D357-48C4-808C-E52E04CD2037]
004849002_00389 (imageset: 6B2C9920-16EE-4EB2-8EAB-3C409A6DBF3F);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/8C293014-0D5D-4983-9399-D5B526CF43CB/manage/6B2C9920-16EE-4EB2-8EAB-3C409A6DBF3F/batches/E239D299-D0D7-4629-B732-92C151D2F990]
004848914_00286 (imageset: DD877666-6B00-4E0C-B630-AEB448CC1FD1);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/8C293014-0D5D-4983-9399-D5B526CF43CB/manage/DD877666-6B00-4E0C-B630-AEB448CC1FD1/batches/812FFCBE-4014-44EA-A6CE-991D905623AE]
004848914_00011 (imageset: DD877666-6B00-4E0C-B630-AEB448CC1FD1);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/8C293014-0D5D-4983-9399-D5B526CF43CB/manage/DD877666-6B00-4E0C-B630-AEB448CC1FD1/batches/18A4D22B-4B7A-48E8-A55C-29B85817D8F4]
004848926_00229 (imageset: C4C7463C-5EDF-4B6B-95D4-AE69E2F7170C);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/8C293014-0D5D-4983-9399-D5B526CF43CB/manage/C4C7463C-5EDF-4B6B-95D4-AE69E2F7170C/batches/F917D19F-8A5D-4B17-80C2-6DFEACD94639]
004848976_00007 (imageset: 96D3E9E1-D6AA-43F5-8E89-A16696A5F3C6);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/8C293014-0D5D-4983-9399-D5B526CF43CB/manage/96D3E9E1-D6AA-43F5-8E89-A16696A5F3C6/batches/3DE01781-ABCF-4273-93B1-AA94AEEBF79A]
004848927_00333 (imageset: DEFAAEA5-6E25-4A18-89A9-C74C23023709);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/8C293014-0D5D-4983-9399-D5B526CF43CB/manage/DEFAAEA5-6E25-4A18-89A9-C74C23023709/batches/98D6E6E3-3BBC-477D-8DE4-626B39D6B886]
004849001_00637 (imageset: 358B7F69-7141-42BC-A676-F9CCE1258F38);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/8C293014-0D5D-4983-9399-D5B526CF43CB/manage/358B7F69-7141-42BC-A676-F9CCE1258F38/batches/8971E7A8-0143-4D30-894A-7A123EA02BFC]
004848946_00015 (imageset: A24AB5D9-9489-41D4-9B4E-9879E5140D19);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/8C293014-0D5D-4983-9399-D5B526CF43CB/manage/A24AB5D9-9489-41D4-9B4E-9879E5140D19/batches/64E12E95-5A80-408D-B794-890B8DD16DA9]
004848930_00020 (imageset: E4D5FFC7-E36F-4A23-AFB8-ED4927C0B773);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/8C293014-0D5D-4983-9399-D5B526CF43CB/manage/E4D5FFC7-E36F-4A23-AFB8-ED4927C0B773/batches/BEF9BE68-1F08-48A7-8AB1-2F74924B0E29]
004848928_00202 (imageset: 6B7B5745-0170-43D2-9412-B4899F0548CD);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/8C293014-0D5D-4983-9399-D5B526CF43CB/manage/6B7B5745-0170-43D2-9412-B4899F0548CD/batches/00855619-6EA4-4826-A7C6-46F478A10C28]
004849001_00587 (imageset: 358B7F69-7141-42BC-A676-F9CCE1258F38);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/8C293014-0D5D-4983-9399-D5B526CF43CB/manage/358B7F69-7141-42BC-A676-F9CCE1258F38/batches/B20B2777-A001-4820-8D39-1A8660CE82CA]
004849383_00318 (imageset: 9C0E49BE-F366-49FA-9E8B-A905C2A72AD7);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/8C293014-0D5D-4983-9399-D5B526CF43CB/manage/9C0E49BE-F366-49FA-9E8B-A905C2A72AD7/batches/D0431E4D-840C-40DC-867B-C5C131759A4F]
004849001_00338 (imageset: 358B7F69-7141-42BC-A676-F9CCE1258F38);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/8C293014-0D5D-4983-9399-D5B526CF43CB/manage/358B7F69-7141-42BC-A676-F9CCE1258F38/batches/069251FA-16D3-4E4E-9A60-8BCBCE1AA5DA]
004848930_00148 (imageset: E4D5FFC7-E36F-4A23-AFB8-ED4927C0B773);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/8C293014-0D5D-4983-9399-D5B526CF43CB/manage/E4D5FFC7-E36F-4A23-AFB8-ED4927C0B773/batches/CD61F5CC-893A-422D-A56E-57F1E0F2FF13]
004848925_00195 (imageset: EBF237FE-B33C-4C9A-B3C0-7939A0C91439);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/8C293014-0D5D-4983-9399-D5B526CF43CB/manage/EBF237FE-B33C-4C9A-B3C0-7939A0C91439/batches/4686D7AD-260C-45DF-92B2-EC7F52B87D09]
004848914_00434 (imageset: DD877666-6B00-4E0C-B630-AEB448CC1FD1);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/8C293014-0D5D-4983-9399-D5B526CF43CB/manage/DD877666-6B00-4E0C-B630-AEB448CC1FD1/batches/B42C4CAF-E4C2-4FE0-BEDD-70A238DCF102]
004848914_00203 (imageset: DD877666-6B00-4E0C-B630-AEB448CC1FD1);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/8C293014-0D5D-4983-9399-D5B526CF43CB/manage/DD877666-6B00-4E0C-B630-AEB448CC1FD1/batches/1759AEB3-CD46-4390-9E5F-41FEEE436C29]
004849003_00090 (imageset: B56D873B-24B1-491A-A1E2-9FE14EA7F834);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/8C293014-0D5D-4983-9399-D5B526CF43CB/manage/B56D873B-24B1-491A-A1E2-9FE14EA7F834/batches/07683290-29C7-415B-9AE5-FB312FFDE395]
