Item;Item Type;Note;Item Link
ReportItem instance counts;;PROJECT_AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;BATCH_HAS_NO_RESOURCES: 31;
ReportItem instance counts;;IMAGESET_IN_IMAGE_EXPORT_TABLE_BUT_NOT_HAS_NOT_BEEN_BATCHED: 5;
ReportItem instance counts;;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 1;
ReportItem instance counts;;BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 30;
ReportItem instance counts;;PROJECT_IMAGESET_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;BATCH_NO_WORKFLOW_STATE: 31;
F1F9DCF5-3E00-47CB-A519-B8F48F806250;BATCH;BATCH_HAS_NO_RESOURCES \\ BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/8E7B4522-212D-47C9-B6B8-C1E942B22C63/manage/20477035-36B4-4EE7-A1D1-E2BB5143A7B8/batches/F1F9DCF5-3E00-47CB-A519-B8F48F806250]
D077FDFA-C55A-45D2-A15C-5C6DBD367792;BATCH;BATCH_HAS_NO_RESOURCES \\ BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/8E7B4522-212D-47C9-B6B8-C1E942B22C63/manage/E9989DBD-E0CE-4759-862A-328D958D28C1/batches/D077FDFA-C55A-45D2-A15C-5C6DBD367792]
6C5E27DC-52E8-4707-B5D1-46B0663ECABC;BATCH;BATCH_HAS_NO_RESOURCES \\ BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/8E7B4522-212D-47C9-B6B8-C1E942B22C63/manage/E9989DBD-E0CE-4759-862A-328D958D28C1/batches/6C5E27DC-52E8-4707-B5D1-46B0663ECABC]
A71A94BF-5122-45C6-92CA-FF6E802B223E;BATCH;BATCH_HAS_NO_RESOURCES \\ BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/8E7B4522-212D-47C9-B6B8-C1E942B22C63/manage/75DD1222-1068-4128-B0A5-6D8284925F0C/batches/A71A94BF-5122-45C6-92CA-FF6E802B223E]
D947C439-5725-40DE-B4DF-EA00C9A8551E;BATCH;BATCH_HAS_NO_RESOURCES \\ BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/8E7B4522-212D-47C9-B6B8-C1E942B22C63/manage/20477035-36B4-4EE7-A1D1-E2BB5143A7B8/batches/D947C439-5725-40DE-B4DF-EA00C9A8551E]
