Item;Item Type;Note;Item Link
ReportItem instance counts;;PROJECT_AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;BATCH_HAS_NO_RESOURCES: 19;
ReportItem instance counts;;IMAGE_IN_FAILED_STATE: 10;
ReportItem instance counts;;PROJECT_BLOCKED_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES: 399634;
ReportItem instance counts;;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE: 399634;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 19;
ReportItem instance counts;;IMAGE_IN_REJECTED_STATE: 2;
ReportItem instance counts;;IMAGE_NO_INDEXING_BATCH: 42770;
ReportItem instance counts;;BATCH_NO_WORKFLOW_STATE: 19;
FE76D44A-E95B-4652-855A-EBDF8A1C0686;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_HAS_NO_RESOURCES \\ BATCH_NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/8F2E4E7C-3371-42FE-BAD5-30B48D0F9F8B/manage/B70E1001-8D3F-441B-9804-41301CEB3001/batches/FE76D44A-E95B-4652-855A-EBDF8A1C0686]
9079F1A3-F689-403D-89F9-3F7A977D7252;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_HAS_NO_RESOURCES \\ BATCH_NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/8F2E4E7C-3371-42FE-BAD5-30B48D0F9F8B/manage/39498F96-BA2C-4598-85D6-4968E11D6756/batches/9079F1A3-F689-403D-89F9-3F7A977D7252]
5E2C126A-65B1-4078-91E7-4B4C08A7D239;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_HAS_NO_RESOURCES \\ BATCH_NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/8F2E4E7C-3371-42FE-BAD5-30B48D0F9F8B/manage/B70E1001-8D3F-441B-9804-41301CEB3001/batches/5E2C126A-65B1-4078-91E7-4B4C08A7D239]
DD17D859-6550-4203-B4AB-38B8F1850BE1;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_HAS_NO_RESOURCES \\ BATCH_NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/8F2E4E7C-3371-42FE-BAD5-30B48D0F9F8B/manage/B70E1001-8D3F-441B-9804-41301CEB3001/batches/DD17D859-6550-4203-B4AB-38B8F1850BE1]
B51A215D-3695-4449-B5E1-1834F9ABF22C;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_HAS_NO_RESOURCES \\ BATCH_NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/8F2E4E7C-3371-42FE-BAD5-30B48D0F9F8B/manage/B70E1001-8D3F-441B-9804-41301CEB3001/batches/B51A215D-3695-4449-B5E1-1834F9ABF22C]
6677693C-19FE-4FA2-B1D5-5093054E2B31;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_HAS_NO_RESOURCES \\ BATCH_NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/8F2E4E7C-3371-42FE-BAD5-30B48D0F9F8B/manage/39498F96-BA2C-4598-85D6-4968E11D6756/batches/6677693C-19FE-4FA2-B1D5-5093054E2B31]
