Item;Item Type;Note;Item Link
ReportItem instance counts;;PROJECT_BLOCKED_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE: 1000;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;IMAGE_NO_INDEXING_BATCH: 1000;
101083060_00077 (imageset: CE1D5A8F-E41D-44FA-A1AE-AA6931F1483F);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/90346A5E-B1BC-4FD7-84A8-C2F2C07C852A/manage/CE1D5A8F-E41D-44FA-A1AE-AA6931F1483F/batches/E4A61C89-1EFA-42E5-9DC6-806E744852A2]
101083060_00078 (imageset: CE1D5A8F-E41D-44FA-A1AE-AA6931F1483F);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/90346A5E-B1BC-4FD7-84A8-C2F2C07C852A/manage/CE1D5A8F-E41D-44FA-A1AE-AA6931F1483F/batches/E4A61C89-1EFA-42E5-9DC6-806E744852A2]
101083060_00079 (imageset: CE1D5A8F-E41D-44FA-A1AE-AA6931F1483F);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/90346A5E-B1BC-4FD7-84A8-C2F2C07C852A/manage/CE1D5A8F-E41D-44FA-A1AE-AA6931F1483F/batches/E4A61C89-1EFA-42E5-9DC6-806E744852A2]
101083048_00002 (imageset: 90689EDC-192B-4BA8-A804-195A19ADD4FF);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/90346A5E-B1BC-4FD7-84A8-C2F2C07C852A/manage/90689EDC-192B-4BA8-A804-195A19ADD4FF/batches/0F4348E3-2A4B-4E13-AC69-038EC6CC7C58]
101083048_00001 (imageset: 90689EDC-192B-4BA8-A804-195A19ADD4FF);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/90346A5E-B1BC-4FD7-84A8-C2F2C07C852A/manage/90689EDC-192B-4BA8-A804-195A19ADD4FF/batches/0F4348E3-2A4B-4E13-AC69-038EC6CC7C58]
101083060_00073 (imageset: CE1D5A8F-E41D-44FA-A1AE-AA6931F1483F);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/90346A5E-B1BC-4FD7-84A8-C2F2C07C852A/manage/CE1D5A8F-E41D-44FA-A1AE-AA6931F1483F/batches/E4A61C89-1EFA-42E5-9DC6-806E744852A2]
101083060_00074 (imageset: CE1D5A8F-E41D-44FA-A1AE-AA6931F1483F);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/90346A5E-B1BC-4FD7-84A8-C2F2C07C852A/manage/CE1D5A8F-E41D-44FA-A1AE-AA6931F1483F/batches/E4A61C89-1EFA-42E5-9DC6-806E744852A2]
101083060_00075 (imageset: CE1D5A8F-E41D-44FA-A1AE-AA6931F1483F);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/90346A5E-B1BC-4FD7-84A8-C2F2C07C852A/manage/CE1D5A8F-E41D-44FA-A1AE-AA6931F1483F/batches/E4A61C89-1EFA-42E5-9DC6-806E744852A2]
101083060_00076 (imageset: CE1D5A8F-E41D-44FA-A1AE-AA6931F1483F);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/90346A5E-B1BC-4FD7-84A8-C2F2C07C852A/manage/CE1D5A8F-E41D-44FA-A1AE-AA6931F1483F/batches/E4A61C89-1EFA-42E5-9DC6-806E744852A2]
90346A5E-B1BC-4FD7-84A8-C2F2C07C852A;PROJECT;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL \\ PROJECT_BLOCKED_IMAGE_COUNTS_ARE_NOT_EQUAL;[PROJECT|https://www.familysearch.org/indexing/admin-new/#/projects/90346A5E-B1BC-4FD7-84A8-C2F2C07C852A/overview]
101083073_00079 (imageset: C70AB789-1C6A-43E8-B1E5-50E38F8F85E0);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/90346A5E-B1BC-4FD7-84A8-C2F2C07C852A/manage/C70AB789-1C6A-43E8-B1E5-50E38F8F85E0/batches/F83C5DA8-6580-4A65-AF75-88AC021B404E]
101083073_00076 (imageset: C70AB789-1C6A-43E8-B1E5-50E38F8F85E0);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/90346A5E-B1BC-4FD7-84A8-C2F2C07C852A/manage/C70AB789-1C6A-43E8-B1E5-50E38F8F85E0/batches/F83C5DA8-6580-4A65-AF75-88AC021B404E]
101083073_00077 (imageset: C70AB789-1C6A-43E8-B1E5-50E38F8F85E0);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/90346A5E-B1BC-4FD7-84A8-C2F2C07C852A/manage/C70AB789-1C6A-43E8-B1E5-50E38F8F85E0/batches/F83C5DA8-6580-4A65-AF75-88AC021B404E]
101083073_00078 (imageset: C70AB789-1C6A-43E8-B1E5-50E38F8F85E0);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/90346A5E-B1BC-4FD7-84A8-C2F2C07C852A/manage/C70AB789-1C6A-43E8-B1E5-50E38F8F85E0/batches/F83C5DA8-6580-4A65-AF75-88AC021B404E]
101083022_00005 (imageset: 06A71648-C8B0-433B-A3F8-11B3D6E969EA);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/90346A5E-B1BC-4FD7-84A8-C2F2C07C852A/manage/06A71648-C8B0-433B-A3F8-11B3D6E969EA/batches/98CC0995-8222-48E4-9547-4514E84B347D]
101083027_00262 (imageset: DBAE12F6-6E47-468A-AB35-629507AEFB6E);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/90346A5E-B1BC-4FD7-84A8-C2F2C07C852A/manage/DBAE12F6-6E47-468A-AB35-629507AEFB6E/batches/F3C03FD6-2A95-4E83-BD9E-EC05AEBD2CE6]
101083027_00282 (imageset: DBAE12F6-6E47-468A-AB35-629507AEFB6E);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/90346A5E-B1BC-4FD7-84A8-C2F2C07C852A/manage/DBAE12F6-6E47-468A-AB35-629507AEFB6E/batches/F3C03FD6-2A95-4E83-BD9E-EC05AEBD2CE6]
101083027_00281 (imageset: DBAE12F6-6E47-468A-AB35-629507AEFB6E);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/90346A5E-B1BC-4FD7-84A8-C2F2C07C852A/manage/DBAE12F6-6E47-468A-AB35-629507AEFB6E/batches/F3C03FD6-2A95-4E83-BD9E-EC05AEBD2CE6]
101083027_00280 (imageset: DBAE12F6-6E47-468A-AB35-629507AEFB6E);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/90346A5E-B1BC-4FD7-84A8-C2F2C07C852A/manage/DBAE12F6-6E47-468A-AB35-629507AEFB6E/batches/F3C03FD6-2A95-4E83-BD9E-EC05AEBD2CE6]
101083060_00080 (imageset: CE1D5A8F-E41D-44FA-A1AE-AA6931F1483F);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/90346A5E-B1BC-4FD7-84A8-C2F2C07C852A/manage/CE1D5A8F-E41D-44FA-A1AE-AA6931F1483F/batches/E4A61C89-1EFA-42E5-9DC6-806E744852A2]
101083060_00081 (imageset: CE1D5A8F-E41D-44FA-A1AE-AA6931F1483F);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/90346A5E-B1BC-4FD7-84A8-C2F2C07C852A/manage/CE1D5A8F-E41D-44FA-A1AE-AA6931F1483F/batches/E4A61C89-1EFA-42E5-9DC6-806E744852A2]
101083060_00082 (imageset: CE1D5A8F-E41D-44FA-A1AE-AA6931F1483F);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/90346A5E-B1BC-4FD7-84A8-C2F2C07C852A/manage/CE1D5A8F-E41D-44FA-A1AE-AA6931F1483F/batches/E4A61C89-1EFA-42E5-9DC6-806E744852A2]
101083027_00279 (imageset: DBAE12F6-6E47-468A-AB35-629507AEFB6E);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/90346A5E-B1BC-4FD7-84A8-C2F2C07C852A/manage/DBAE12F6-6E47-468A-AB35-629507AEFB6E/batches/F3C03FD6-2A95-4E83-BD9E-EC05AEBD2CE6]
101083027_00278 (imageset: DBAE12F6-6E47-468A-AB35-629507AEFB6E);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/90346A5E-B1BC-4FD7-84A8-C2F2C07C852A/manage/DBAE12F6-6E47-468A-AB35-629507AEFB6E/batches/F3C03FD6-2A95-4E83-BD9E-EC05AEBD2CE6]
