Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_REJECTED_STATE: 1;
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 1202;
007241146_00257 (imageset: 37E0A3DC-9BFB-4AAA-9C16-A90403561702);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/90984573-B56B-4014-8B87-0006004507E5/manage/37E0A3DC-9BFB-4AAA-9C16-A90403561702/batches/B92B3EBD-D4BB-492E-B1C6-1AFECD4F0F67]
007241146_00256 (imageset: 37E0A3DC-9BFB-4AAA-9C16-A90403561702);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/90984573-B56B-4014-8B87-0006004507E5/manage/37E0A3DC-9BFB-4AAA-9C16-A90403561702/batches/B92B3EBD-D4BB-492E-B1C6-1AFECD4F0F67]
007241146_00255 (imageset: 37E0A3DC-9BFB-4AAA-9C16-A90403561702);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/90984573-B56B-4014-8B87-0006004507E5/manage/37E0A3DC-9BFB-4AAA-9C16-A90403561702/batches/B92B3EBD-D4BB-492E-B1C6-1AFECD4F0F67]
007241146_00254 (imageset: 37E0A3DC-9BFB-4AAA-9C16-A90403561702);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/90984573-B56B-4014-8B87-0006004507E5/manage/37E0A3DC-9BFB-4AAA-9C16-A90403561702/batches/B92B3EBD-D4BB-492E-B1C6-1AFECD4F0F67]
007241146_00259 (imageset: 37E0A3DC-9BFB-4AAA-9C16-A90403561702);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/90984573-B56B-4014-8B87-0006004507E5/manage/37E0A3DC-9BFB-4AAA-9C16-A90403561702/batches/B92B3EBD-D4BB-492E-B1C6-1AFECD4F0F67]
007241146_00258 (imageset: 37E0A3DC-9BFB-4AAA-9C16-A90403561702);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/90984573-B56B-4014-8B87-0006004507E5/manage/37E0A3DC-9BFB-4AAA-9C16-A90403561702/batches/B92B3EBD-D4BB-492E-B1C6-1AFECD4F0F67]
007241146_00253 (imageset: 37E0A3DC-9BFB-4AAA-9C16-A90403561702);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/90984573-B56B-4014-8B87-0006004507E5/manage/37E0A3DC-9BFB-4AAA-9C16-A90403561702/batches/B92B3EBD-D4BB-492E-B1C6-1AFECD4F0F67]
007258146_00283 (imageset: 98670FEB-8840-463A-8A1C-687534D685CA);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/90984573-B56B-4014-8B87-0006004507E5/manage/98670FEB-8840-463A-8A1C-687534D685CA/batches/F1749BB8-2206-4BA1-A7C8-DFBCECC8256E]
