Item;Item Type;Note;Item Link
ReportItem instance counts;;PROJECT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT_AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 2;
ReportItem instance counts;;BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 98;
DE6DE96A-B308-4E65-B577-FAE83B757F0F;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/915C9FE7-F285-4984-AC12-AD7F260931BB/manage/708EB9DC-44E5-4A97-86A6-4C7079752087/batches/DE6DE96A-B308-4E65-B577-FAE83B757F0F]
56674B3E-D1F3-4CD0-B102-6755DF115DB9;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/915C9FE7-F285-4984-AC12-AD7F260931BB/manage/708EB9DC-44E5-4A97-86A6-4C7079752087/batches/56674B3E-D1F3-4CD0-B102-6755DF115DB9]
44F96167-D71A-400D-B877-84ABD7138ECF;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/915C9FE7-F285-4984-AC12-AD7F260931BB/manage/05790DF4-BC19-4CAF-A19D-89B01A46BF83/batches/44F96167-D71A-400D-B877-84ABD7138ECF]
E268F452-BCD5-48B1-BAF9-3EF0CDC735DA;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/915C9FE7-F285-4984-AC12-AD7F260931BB/manage/17947C79-361E-42C6-8133-C0646CB17EE7/batches/E268F452-BCD5-48B1-BAF9-3EF0CDC735DA]
3FE9DB94-D338-4B06-A10B-7B79C90369AB;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/915C9FE7-F285-4984-AC12-AD7F260931BB/manage/17947C79-361E-42C6-8133-C0646CB17EE7/batches/3FE9DB94-D338-4B06-A10B-7B79C90369AB]
4EC0E800-FFF2-4EEC-B7E7-3D479A0EF3AF;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/915C9FE7-F285-4984-AC12-AD7F260931BB/manage/B5991F73-3D06-4889-9BED-8C3B0C82116F/batches/4EC0E800-FFF2-4EEC-B7E7-3D479A0EF3AF]
7D1D2EDF-08E4-4DB7-85A2-79EEB09134B1;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/915C9FE7-F285-4984-AC12-AD7F260931BB/manage/7DC4382E-DE4D-43D8-BC68-425C10BDEE25/batches/7D1D2EDF-08E4-4DB7-85A2-79EEB09134B1]
40DEA9EF-32E3-4A8F-8DEF-1AA07792C318;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/915C9FE7-F285-4984-AC12-AD7F260931BB/manage/90900CFE-39E9-4E74-8B1D-FE8A5FD0D67D/batches/40DEA9EF-32E3-4A8F-8DEF-1AA07792C318]
A2D3DBA3-74F2-4DE9-AC52-1D31C6D9D3BB;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/915C9FE7-F285-4984-AC12-AD7F260931BB/manage/BE2B4BAB-7A69-4D37-97ED-A40989965364/batches/A2D3DBA3-74F2-4DE9-AC52-1D31C6D9D3BB]
9A72DB73-61D0-4A66-8D64-F462C38C39E0;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/915C9FE7-F285-4984-AC12-AD7F260931BB/manage/36E0B116-954C-4B42-93EC-43F7CDF7C5D5/batches/9A72DB73-61D0-4A66-8D64-F462C38C39E0]
0856F48E-1C1A-47FB-BBEA-AB07F39453B8;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/915C9FE7-F285-4984-AC12-AD7F260931BB/manage/E0A58F31-6002-4A56-911E-3426EF10A577/batches/0856F48E-1C1A-47FB-BBEA-AB07F39453B8]
2EDA1131-517F-4AA3-B712-4A4E09DEF06D;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/915C9FE7-F285-4984-AC12-AD7F260931BB/manage/51C61B56-CEF8-481C-9BD5-A860B090A010/batches/2EDA1131-517F-4AA3-B712-4A4E09DEF06D]
2384EEF5-5B60-47D5-8581-22C1C9A5AAB9;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/915C9FE7-F285-4984-AC12-AD7F260931BB/manage/FF991D37-E513-42EA-8862-6AC4E221D773/batches/2384EEF5-5B60-47D5-8581-22C1C9A5AAB9]
DF219439-093F-4286-9C1E-69874869D146;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/915C9FE7-F285-4984-AC12-AD7F260931BB/manage/8CBBEC1E-D29C-4F16-B568-6EE433E2F4CF/batches/DF219439-093F-4286-9C1E-69874869D146]
A895BF44-A086-478B-AE28-A97DD8943277;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/915C9FE7-F285-4984-AC12-AD7F260931BB/manage/2B2375E8-59D4-4E17-892F-8DBF4FACDB42/batches/A895BF44-A086-478B-AE28-A97DD8943277]
4A231129-B6DA-4611-AFD2-61CABED0DB8B;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/915C9FE7-F285-4984-AC12-AD7F260931BB/manage/E4A44466-62BD-464F-9BC5-67DA1D6A69A7/batches/4A231129-B6DA-4611-AFD2-61CABED0DB8B]
48DEED70-6BB8-4E57-AE53-69C521A11B0E;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/915C9FE7-F285-4984-AC12-AD7F260931BB/manage/B165554C-82A8-4FCB-A2BD-C6507B5EC6FE/batches/48DEED70-6BB8-4E57-AE53-69C521A11B0E]
46F8EAD5-A58C-4749-8D57-8C7942D7CDA0;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/915C9FE7-F285-4984-AC12-AD7F260931BB/manage/2BDD125E-B71B-4744-B6E2-C8F95E908809/batches/46F8EAD5-A58C-4749-8D57-8C7942D7CDA0]
725F8766-EE24-481C-AD59-BAB795066978;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/915C9FE7-F285-4984-AC12-AD7F260931BB/manage/7DC4382E-DE4D-43D8-BC68-425C10BDEE25/batches/725F8766-EE24-481C-AD59-BAB795066978]
E5D94F08-1BED-4BF3-8D89-B6DC2214C151;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/915C9FE7-F285-4984-AC12-AD7F260931BB/manage/7DC4382E-DE4D-43D8-BC68-425C10BDEE25/batches/E5D94F08-1BED-4BF3-8D89-B6DC2214C151]
53E57FED-050B-4030-A6F3-CB3D354C7975;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/915C9FE7-F285-4984-AC12-AD7F260931BB/manage/75500D4F-A686-4305-8043-973A094AD207/batches/53E57FED-050B-4030-A6F3-CB3D354C7975]
3C9B3CB9-B02D-4321-923F-42AF283519DF;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/915C9FE7-F285-4984-AC12-AD7F260931BB/manage/8CBBEC1E-D29C-4F16-B568-6EE433E2F4CF/batches/3C9B3CB9-B02D-4321-923F-42AF283519DF]
C1B83636-1B3C-4838-AA48-FC2B92277A84;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/915C9FE7-F285-4984-AC12-AD7F260931BB/manage/33E2F7BE-C47F-4D9F-B5B1-CB6DBDD51500/batches/C1B83636-1B3C-4838-AA48-FC2B92277A84]
D2A3FF71-3665-48D5-8D95-1EB45438880E;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/915C9FE7-F285-4984-AC12-AD7F260931BB/manage/FF991D37-E513-42EA-8862-6AC4E221D773/batches/D2A3FF71-3665-48D5-8D95-1EB45438880E]
28D1590B-CC43-49E6-B0E4-6CDC108D4873;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/915C9FE7-F285-4984-AC12-AD7F260931BB/manage/7DC4382E-DE4D-43D8-BC68-425C10BDEE25/batches/28D1590B-CC43-49E6-B0E4-6CDC108D4873]
BC16ADFD-E068-412A-8118-2CAE819F8FDB;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/915C9FE7-F285-4984-AC12-AD7F260931BB/manage/956FEABB-54F9-4F2F-B8BA-EBC9781D4234/batches/BC16ADFD-E068-412A-8118-2CAE819F8FDB]
FB12E643-E2A2-4129-B8E8-60A9BE3F0EB0;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/915C9FE7-F285-4984-AC12-AD7F260931BB/manage/708EB9DC-44E5-4A97-86A6-4C7079752087/batches/FB12E643-E2A2-4129-B8E8-60A9BE3F0EB0]
3E79FF8B-1F11-4D00-9041-E362964E3B20;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/915C9FE7-F285-4984-AC12-AD7F260931BB/manage/FF991D37-E513-42EA-8862-6AC4E221D773/batches/3E79FF8B-1F11-4D00-9041-E362964E3B20]
6AA5168D-3962-43B1-81A4-84948003D70D;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/915C9FE7-F285-4984-AC12-AD7F260931BB/manage/825243B9-30D1-4B88-A1F2-D33B10F21F98/batches/6AA5168D-3962-43B1-81A4-84948003D70D]
2C614845-49BB-4DCA-B54F-709E82DA5EEA;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/915C9FE7-F285-4984-AC12-AD7F260931BB/manage/708EB9DC-44E5-4A97-86A6-4C7079752087/batches/2C614845-49BB-4DCA-B54F-709E82DA5EEA]
