Item;Item Type;Note;Item Link
ReportItem instance counts;;BATCH:NO_WORKFLOW_STATE: 100;
ReportItem instance counts;;BATCH:NOT_IN_IMAGE_EXPORT_TABLE: 100;
ReportItem instance counts;;BATCH:NOT_IN_PROJECT: 100;
4A19E48C-A0C1-44D2-930C-62493BC378D9;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/9287443E-6234-42E3-ADF3-92450A93E2D1/manage/0517265B-BB9A-4C8D-BDDC-66504028A371/batches/4A19E48C-A0C1-44D2-930C-62493BC378D9]
EE8C7AE4-4D43-44A4-825F-DC0C41DC6019;BATCH;NOT_IN_IMAGE_EXPORT_TABLE\\NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/9287443E-6234-42E3-ADF3-92450A93E2D1/manage/74ED02BC-F0EF-40E2-9484-868B77C9F11A/batches/EE8C7AE4-4D43-44A4-825F-DC0C41DC6019]
1C974369-FF94-4CFF-BFF7-5DD5A1F84147;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/9287443E-6234-42E3-ADF3-92450A93E2D1/manage/0517265B-BB9A-4C8D-BDDC-66504028A371/batches/1C974369-FF94-4CFF-BFF7-5DD5A1F84147]
77E2AD9C-039C-4231-A140-7B727C9DEBE9;BATCH;NOT_IN_IMAGE_EXPORT_TABLE\\NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/9287443E-6234-42E3-ADF3-92450A93E2D1/manage/ACC738F3-AB65-40C8-BDEB-855F188AF455/batches/77E2AD9C-039C-4231-A140-7B727C9DEBE9]
55D38FDF-25AE-49E1-A25E-271407CB0108;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/9287443E-6234-42E3-ADF3-92450A93E2D1/manage/0517265B-BB9A-4C8D-BDDC-66504028A371/batches/55D38FDF-25AE-49E1-A25E-271407CB0108]
09B5B49E-2202-43CD-9E6B-6E7933360D4F;BATCH;NOT_IN_IMAGE_EXPORT_TABLE\\NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/9287443E-6234-42E3-ADF3-92450A93E2D1/manage/7F7863F1-4BE6-466B-B8D4-6486BA58B699/batches/09B5B49E-2202-43CD-9E6B-6E7933360D4F]
559CAE2E-52E2-47EC-BFFE-1DB8C64696D4;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/9287443E-6234-42E3-ADF3-92450A93E2D1/manage/0517265B-BB9A-4C8D-BDDC-66504028A371/batches/559CAE2E-52E2-47EC-BFFE-1DB8C64696D4]
FFC8E1A3-B98E-4D12-99B8-CE73039AFF7A;BATCH;NOT_IN_IMAGE_EXPORT_TABLE\\NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/9287443E-6234-42E3-ADF3-92450A93E2D1/manage/354EE1EF-9261-4EF3-8432-C3C72E415A6F/batches/FFC8E1A3-B98E-4D12-99B8-CE73039AFF7A]
4529CE4E-4BFA-494E-9C3A-13B11EE60FD3;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/9287443E-6234-42E3-ADF3-92450A93E2D1/manage/0517265B-BB9A-4C8D-BDDC-66504028A371/batches/4529CE4E-4BFA-494E-9C3A-13B11EE60FD3]
BE7FCB43-D66E-4BBA-B73A-F6F6E5DC9093;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/9287443E-6234-42E3-ADF3-92450A93E2D1/manage/0517265B-BB9A-4C8D-BDDC-66504028A371/batches/BE7FCB43-D66E-4BBA-B73A-F6F6E5DC9093]
1BAA96AB-806C-4854-BB92-13139184DDAF;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/9287443E-6234-42E3-ADF3-92450A93E2D1/manage/0517265B-BB9A-4C8D-BDDC-66504028A371/batches/1BAA96AB-806C-4854-BB92-13139184DDAF]
FF5EC5D2-9FC0-43D0-AD97-0D4E475C4F4C;BATCH;NOT_IN_IMAGE_EXPORT_TABLE\\NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/9287443E-6234-42E3-ADF3-92450A93E2D1/manage/A22DAEEE-3AD7-412F-A222-9186D2DA1583/batches/FF5EC5D2-9FC0-43D0-AD97-0D4E475C4F4C]
DBE468C7-ADEE-42CB-BE26-B994FCAA5766;BATCH;NOT_IN_IMAGE_EXPORT_TABLE\\NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/9287443E-6234-42E3-ADF3-92450A93E2D1/manage/971529C8-CABA-47A8-88EB-15EF9F487CAB/batches/DBE468C7-ADEE-42CB-BE26-B994FCAA5766]
83C45948-E98B-4765-8592-FC93A2C106F8;BATCH;NOT_IN_IMAGE_EXPORT_TABLE\\NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/9287443E-6234-42E3-ADF3-92450A93E2D1/manage/CD494367-A0EB-41DB-B57A-7FF70D76ADB8/batches/83C45948-E98B-4765-8592-FC93A2C106F8]
9405C4C1-8C43-4D9F-818E-2304C42E9474;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/9287443E-6234-42E3-ADF3-92450A93E2D1/manage/0517265B-BB9A-4C8D-BDDC-66504028A371/batches/9405C4C1-8C43-4D9F-818E-2304C42E9474]
6A1156B3-0AB0-49B6-9D2D-EC4D1B147F37;BATCH;NOT_IN_IMAGE_EXPORT_TABLE\\NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/9287443E-6234-42E3-ADF3-92450A93E2D1/manage/7A4C7C1E-0E4B-45CD-9790-AEE12DB90845/batches/6A1156B3-0AB0-49B6-9D2D-EC4D1B147F37]
7118673A-33B4-441D-9440-081B3AD3612F;BATCH;NOT_IN_IMAGE_EXPORT_TABLE\\NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/9287443E-6234-42E3-ADF3-92450A93E2D1/manage/E6AD946B-F6CD-42EA-9224-52656E0A28AA/batches/7118673A-33B4-441D-9440-081B3AD3612F]
45002CCE-AA57-4EA9-A443-3979C4C4478A;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/9287443E-6234-42E3-ADF3-92450A93E2D1/manage/0517265B-BB9A-4C8D-BDDC-66504028A371/batches/45002CCE-AA57-4EA9-A443-3979C4C4478A]
A1542856-B571-4DED-BCB8-6E295056079C;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/9287443E-6234-42E3-ADF3-92450A93E2D1/manage/0517265B-BB9A-4C8D-BDDC-66504028A371/batches/A1542856-B571-4DED-BCB8-6E295056079C]
