Item;Item Type;Note;Item Link
ReportItem instance counts;;BATCH_SHOULD_BE_EXPORTED: 143;
ReportItem instance counts;;PROJECT_AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 143;
B6F104F2-6B11-4D03-9A54-688674476089;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/9324C708-A489-4FFD-8890-6C9CB3E3B275/manage/98EC57B5-630E-4071-9E0A-89E01F3B5E0E/batches/B6F104F2-6B11-4D03-9A54-688674476089]
23C86412-84CD-478D-B596-5D5BAFB26539;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/9324C708-A489-4FFD-8890-6C9CB3E3B275/manage/F53D735C-C58F-495E-83E6-0EC54E36AFFD/batches/23C86412-84CD-478D-B596-5D5BAFB26539]
D5CB2BC8-3542-4127-9335-40A8338642B5;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/9324C708-A489-4FFD-8890-6C9CB3E3B275/manage/F53D735C-C58F-495E-83E6-0EC54E36AFFD/batches/D5CB2BC8-3542-4127-9335-40A8338642B5]
7BE996C6-072D-49E7-8B33-8D70234DE366;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/9324C708-A489-4FFD-8890-6C9CB3E3B275/manage/AA6E9B5D-7F2E-4733-ABE0-E426DE658081/batches/7BE996C6-072D-49E7-8B33-8D70234DE366]
21F3EF5E-00E6-47E8-A938-060798774693;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/9324C708-A489-4FFD-8890-6C9CB3E3B275/manage/D0D272BD-66B5-4CB7-A908-A45F9DA31E75/batches/21F3EF5E-00E6-47E8-A938-060798774693]
E807FE1E-42B1-4E13-9CE8-8EB5BD279879;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/9324C708-A489-4FFD-8890-6C9CB3E3B275/manage/F0D07AA9-F952-4FF6-8057-46AAAC93BC2D/batches/E807FE1E-42B1-4E13-9CE8-8EB5BD279879]
71A33090-3E1F-434F-9D3E-09993F8FAA18;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/9324C708-A489-4FFD-8890-6C9CB3E3B275/manage/ED1DC2D4-A8CA-47DF-8D0A-7DDA6FD53D8E/batches/71A33090-3E1F-434F-9D3E-09993F8FAA18]
