Item;Item Type;Note;Item Link
ReportItem instance counts;;BATCH:NOT_IN_IMAGE_EXPORT_TABLE: 100;
ReportItem instance counts;;PROJECT:IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT:BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT:AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
3E3600B7-6FF2-4336-9902-3476B43D1CFF;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/93B81F66-3E82-4286-9DF4-0BDD9604C602/manage/69F45915-47B6-41B5-B32E-1E916CD56FE0/batches/3E3600B7-6FF2-4336-9902-3476B43D1CFF]
DADCCD67-D1FF-46C0-A2BD-A72C0E13E9EA;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/93B81F66-3E82-4286-9DF4-0BDD9604C602/manage/9AAC3583-FD7D-4E13-B6A5-BDE3D982BBB4/batches/DADCCD67-D1FF-46C0-A2BD-A72C0E13E9EA]
1E014B00-6FAC-4C56-8C72-99F66FA5C71D;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/93B81F66-3E82-4286-9DF4-0BDD9604C602/manage/481374F8-A1E9-4CC4-AA95-52C7AD87E2F5/batches/1E014B00-6FAC-4C56-8C72-99F66FA5C71D]
0F25796A-504D-4698-80DF-62373A7B1E3B;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/93B81F66-3E82-4286-9DF4-0BDD9604C602/manage/69F45915-47B6-41B5-B32E-1E916CD56FE0/batches/0F25796A-504D-4698-80DF-62373A7B1E3B]
3D6ACF8E-DB1D-4120-A501-42544995DA8E;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/93B81F66-3E82-4286-9DF4-0BDD9604C602/manage/69F45915-47B6-41B5-B32E-1E916CD56FE0/batches/3D6ACF8E-DB1D-4120-A501-42544995DA8E]
A3ADE00C-2CFF-4D28-AF8C-61E12C370BD1;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/93B81F66-3E82-4286-9DF4-0BDD9604C602/manage/481374F8-A1E9-4CC4-AA95-52C7AD87E2F5/batches/A3ADE00C-2CFF-4D28-AF8C-61E12C370BD1]
E7974301-A6A6-4273-9B72-2992FB99D6C2;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/93B81F66-3E82-4286-9DF4-0BDD9604C602/manage/69F45915-47B6-41B5-B32E-1E916CD56FE0/batches/E7974301-A6A6-4273-9B72-2992FB99D6C2]
4C013D17-343B-42D8-BAB4-91772EF4E4E3;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/93B81F66-3E82-4286-9DF4-0BDD9604C602/manage/69F45915-47B6-41B5-B32E-1E916CD56FE0/batches/4C013D17-343B-42D8-BAB4-91772EF4E4E3]
2647D1C6-E7C1-4E2B-BB5B-C96D50851415;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/93B81F66-3E82-4286-9DF4-0BDD9604C602/manage/69F45915-47B6-41B5-B32E-1E916CD56FE0/batches/2647D1C6-E7C1-4E2B-BB5B-C96D50851415]
ACDB878A-6203-4E61-8A7B-B2E490E8B2B7;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/93B81F66-3E82-4286-9DF4-0BDD9604C602/manage/69F45915-47B6-41B5-B32E-1E916CD56FE0/batches/ACDB878A-6203-4E61-8A7B-B2E490E8B2B7]
BA6F70D4-080D-4852-A923-AE86B6EFB637;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/93B81F66-3E82-4286-9DF4-0BDD9604C602/manage/69F45915-47B6-41B5-B32E-1E916CD56FE0/batches/BA6F70D4-080D-4852-A923-AE86B6EFB637]
F076A25A-DF15-4994-A08D-EB8F5F9D8C18;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/93B81F66-3E82-4286-9DF4-0BDD9604C602/manage/69F45915-47B6-41B5-B32E-1E916CD56FE0/batches/F076A25A-DF15-4994-A08D-EB8F5F9D8C18]
CD542D8C-8012-496E-AA8F-FFD72A3F2D1E;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/93B81F66-3E82-4286-9DF4-0BDD9604C602/manage/69F45915-47B6-41B5-B32E-1E916CD56FE0/batches/CD542D8C-8012-496E-AA8F-FFD72A3F2D1E]
