Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 78;
004569533_00686 (imageset: 5714E4D6-5819-4B30-96B4-5358DA6D277B);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/94106A76-08D1-43A7-8763-20BD92C17BC4/manage/5714E4D6-5819-4B30-96B4-5358DA6D277B/batches/9B771CCF-C568-442B-AACD-7E6E2F8A8A15]
004518850_00446 (imageset: 86D9A5C4-A346-4A5F-8CDA-56553CFFC53E);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/94106A76-08D1-43A7-8763-20BD92C17BC4/manage/86D9A5C4-A346-4A5F-8CDA-56553CFFC53E/batches/2A83BA01-30A8-45AE-82C1-9833B2E02739]
004569523_00400 (imageset: BEF523E1-1039-4EF9-A60A-30A8067171BB);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/94106A76-08D1-43A7-8763-20BD92C17BC4/manage/BEF523E1-1039-4EF9-A60A-30A8067171BB/batches/78421377-B0A1-425D-8151-AB15ED2FC2D7]
004569541_00465 (imageset: F4293E51-CB2E-4473-9157-246F6260E03D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/94106A76-08D1-43A7-8763-20BD92C17BC4/manage/F4293E51-CB2E-4473-9157-246F6260E03D/batches/EA0C0C8D-E19B-4EFC-97A2-D8886115C1E4]
004570770_00144 (imageset: F281DBA9-C89F-41CF-8F12-1400DE32989C);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/94106A76-08D1-43A7-8763-20BD92C17BC4/manage/F281DBA9-C89F-41CF-8F12-1400DE32989C/batches/DFC28060-CD8F-4111-9FC3-B523A43FF5FD]
004570832_00788 (imageset: FEBEF3DF-8D06-457C-9A66-87B474BDEFD2);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/94106A76-08D1-43A7-8763-20BD92C17BC4/manage/FEBEF3DF-8D06-457C-9A66-87B474BDEFD2/batches/AE747A62-213C-4C9B-80D7-18DE8822A2BC]
004569541_00464 (imageset: F4293E51-CB2E-4473-9157-246F6260E03D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/94106A76-08D1-43A7-8763-20BD92C17BC4/manage/F4293E51-CB2E-4473-9157-246F6260E03D/batches/EA0C0C8D-E19B-4EFC-97A2-D8886115C1E4]
004570869_00551 (imageset: F45B8A19-0959-4F2F-AD03-A6F8EB2A7B08);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/94106A76-08D1-43A7-8763-20BD92C17BC4/manage/F45B8A19-0959-4F2F-AD03-A6F8EB2A7B08/batches/426BDBD1-816C-4630-89B9-8A4C0E3F16D9]
004569564_00016 (imageset: EF4C8882-9B08-495D-9505-5E683CEE01EE);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/94106A76-08D1-43A7-8763-20BD92C17BC4/manage/EF4C8882-9B08-495D-9505-5E683CEE01EE/batches/E7C6570F-F538-44E2-8BA2-AE3626289F98]
004570924_00231 (imageset: 194AB7E6-CEB9-4439-BC06-9C224570C5DD);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/94106A76-08D1-43A7-8763-20BD92C17BC4/manage/194AB7E6-CEB9-4439-BC06-9C224570C5DD/batches/77B7CA28-A4D6-4169-BB1E-7C30C29269F4]
004518694_00017 (imageset: 572420A5-84A5-46CB-A3D6-2EE0E8BAD363);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/94106A76-08D1-43A7-8763-20BD92C17BC4/manage/572420A5-84A5-46CB-A3D6-2EE0E8BAD363/batches/B7260971-1FE0-4E56-B2B1-8ABA070E8E8B]
004570924_00230 (imageset: 194AB7E6-CEB9-4439-BC06-9C224570C5DD);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/94106A76-08D1-43A7-8763-20BD92C17BC4/manage/194AB7E6-CEB9-4439-BC06-9C224570C5DD/batches/77B7CA28-A4D6-4169-BB1E-7C30C29269F4]
004569565_00430 (imageset: CED39BC0-5481-487A-A215-F1BD28EE2905);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/94106A76-08D1-43A7-8763-20BD92C17BC4/manage/CED39BC0-5481-487A-A215-F1BD28EE2905/batches/0BE14B1D-1753-4D1D-8A07-6DC89838C850]
004518694_00019 (imageset: 572420A5-84A5-46CB-A3D6-2EE0E8BAD363);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/94106A76-08D1-43A7-8763-20BD92C17BC4/manage/572420A5-84A5-46CB-A3D6-2EE0E8BAD363/batches/B7260971-1FE0-4E56-B2B1-8ABA070E8E8B]
004570739_00048 (imageset: B2CF7A11-EA85-45F4-8B39-9D8BE23E0191);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/94106A76-08D1-43A7-8763-20BD92C17BC4/manage/B2CF7A11-EA85-45F4-8B39-9D8BE23E0191/batches/0F29926B-C4B0-4C7E-8C01-29715E0B293B]
004518694_00018 (imageset: 572420A5-84A5-46CB-A3D6-2EE0E8BAD363);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/94106A76-08D1-43A7-8763-20BD92C17BC4/manage/572420A5-84A5-46CB-A3D6-2EE0E8BAD363/batches/B7260971-1FE0-4E56-B2B1-8ABA070E8E8B]
004518922_00206 (imageset: 775BF74A-A125-4F57-8D08-8104775451B4);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/94106A76-08D1-43A7-8763-20BD92C17BC4/manage/775BF74A-A125-4F57-8D08-8104775451B4/batches/E2A4B9A8-EBA9-423B-9361-8D5F0E0E3374]
004570924_00229 (imageset: 194AB7E6-CEB9-4439-BC06-9C224570C5DD);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/94106A76-08D1-43A7-8763-20BD92C17BC4/manage/194AB7E6-CEB9-4439-BC06-9C224570C5DD/batches/77B7CA28-A4D6-4169-BB1E-7C30C29269F4]
