Item;Item Type;Note;Item Link
ReportItem instance counts;;PROJECT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT_AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE: 100;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT_NO_BLOCKED_IMAGES: 1;
ReportItem instance counts;;BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 100;
ReportItem instance counts;;IMAGE_NO_INDEXING_BATCH: 100;
64AB0C32-6480-46A3-898A-63E8DAE87E38;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/95B10D7B-BD1F-4BC4-98DF-006A1288D792/manage/5CE0A21D-5313-4163-BE78-56E8366EF343/batches/64AB0C32-6480-46A3-898A-63E8DAE87E38]
2DCB8125-0306-4871-9E58-9B5BD0E02190;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/95B10D7B-BD1F-4BC4-98DF-006A1288D792/manage/5CE0A21D-5313-4163-BE78-56E8366EF343/batches/2DCB8125-0306-4871-9E58-9B5BD0E02190]
007857695_03114 (imageset: 5CE0A21D-5313-4163-BE78-56E8366EF343);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/95B10D7B-BD1F-4BC4-98DF-006A1288D792/manage/5CE0A21D-5313-4163-BE78-56E8366EF343/batches/1A749961-7FDA-4F01-9EE6-FBDC5E1C701F]
007857696_03326 (imageset: F594EF3D-8CFF-4B30-A287-53D3D5A6D0E4);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/95B10D7B-BD1F-4BC4-98DF-006A1288D792/manage/F594EF3D-8CFF-4B30-A287-53D3D5A6D0E4/batches/1E19A2A3-B278-4B36-ACE0-FEE1C167EED5]
AB5B8746-6744-4F1D-B0ED-CE1C46830200;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/95B10D7B-BD1F-4BC4-98DF-006A1288D792/manage/5CE0A21D-5313-4163-BE78-56E8366EF343/batches/AB5B8746-6744-4F1D-B0ED-CE1C46830200]
C496CC04-601F-4D31-A386-7A894227B887;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/95B10D7B-BD1F-4BC4-98DF-006A1288D792/manage/5CE0A21D-5313-4163-BE78-56E8366EF343/batches/C496CC04-601F-4D31-A386-7A894227B887]
B454AFF9-5A0A-40F0-8C10-4FAD8A328B81;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/95B10D7B-BD1F-4BC4-98DF-006A1288D792/manage/5CE0A21D-5313-4163-BE78-56E8366EF343/batches/B454AFF9-5A0A-40F0-8C10-4FAD8A328B81]
4D38DCC9-A8D5-4C10-BAC6-D4FDDA102A67;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/95B10D7B-BD1F-4BC4-98DF-006A1288D792/manage/5CE0A21D-5313-4163-BE78-56E8366EF343/batches/4D38DCC9-A8D5-4C10-BAC6-D4FDDA102A67]
06B16707-2B54-48DE-9A0A-734DA6B05F52;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/95B10D7B-BD1F-4BC4-98DF-006A1288D792/manage/5CE0A21D-5313-4163-BE78-56E8366EF343/batches/06B16707-2B54-48DE-9A0A-734DA6B05F52]
007857695_02947 (imageset: 5CE0A21D-5313-4163-BE78-56E8366EF343);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/95B10D7B-BD1F-4BC4-98DF-006A1288D792/manage/5CE0A21D-5313-4163-BE78-56E8366EF343/batches/1A749961-7FDA-4F01-9EE6-FBDC5E1C701F]
3B624B1C-BDF1-4F1D-9149-1C59C0E20A8E;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/95B10D7B-BD1F-4BC4-98DF-006A1288D792/manage/5CE0A21D-5313-4163-BE78-56E8366EF343/batches/3B624B1C-BDF1-4F1D-9149-1C59C0E20A8E]
08601B6C-D0DC-453D-B63C-60A3C82852F6;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/95B10D7B-BD1F-4BC4-98DF-006A1288D792/manage/5CE0A21D-5313-4163-BE78-56E8366EF343/batches/08601B6C-D0DC-453D-B63C-60A3C82852F6]
007857696_03324 (imageset: F594EF3D-8CFF-4B30-A287-53D3D5A6D0E4);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/95B10D7B-BD1F-4BC4-98DF-006A1288D792/manage/F594EF3D-8CFF-4B30-A287-53D3D5A6D0E4/batches/1E19A2A3-B278-4B36-ACE0-FEE1C167EED5]
007857695_02949 (imageset: 5CE0A21D-5313-4163-BE78-56E8366EF343);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/95B10D7B-BD1F-4BC4-98DF-006A1288D792/manage/5CE0A21D-5313-4163-BE78-56E8366EF343/batches/1A749961-7FDA-4F01-9EE6-FBDC5E1C701F]
E8421C6A-5785-4B4D-BD30-632B96C53F6C;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/95B10D7B-BD1F-4BC4-98DF-006A1288D792/manage/5CE0A21D-5313-4163-BE78-56E8366EF343/batches/E8421C6A-5785-4B4D-BD30-632B96C53F6C]
6673C3AE-F07A-4C4D-9AD2-1C319E36D972;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/95B10D7B-BD1F-4BC4-98DF-006A1288D792/manage/5CE0A21D-5313-4163-BE78-56E8366EF343/batches/6673C3AE-F07A-4C4D-9AD2-1C319E36D972]
007857696_03325 (imageset: F594EF3D-8CFF-4B30-A287-53D3D5A6D0E4);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/95B10D7B-BD1F-4BC4-98DF-006A1288D792/manage/F594EF3D-8CFF-4B30-A287-53D3D5A6D0E4/batches/1E19A2A3-B278-4B36-ACE0-FEE1C167EED5]
007857695_02948 (imageset: 5CE0A21D-5313-4163-BE78-56E8366EF343);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/95B10D7B-BD1F-4BC4-98DF-006A1288D792/manage/5CE0A21D-5313-4163-BE78-56E8366EF343/batches/1A749961-7FDA-4F01-9EE6-FBDC5E1C701F]
BD78CA91-2FE4-4074-AFF0-62DB25B113AD;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/95B10D7B-BD1F-4BC4-98DF-006A1288D792/manage/5CE0A21D-5313-4163-BE78-56E8366EF343/batches/BD78CA91-2FE4-4074-AFF0-62DB25B113AD]
007857697_01001 (imageset: 0796541F-1292-4FB7-9D68-D6C3BFEF43FC);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/95B10D7B-BD1F-4BC4-98DF-006A1288D792/manage/0796541F-1292-4FB7-9D68-D6C3BFEF43FC/batches/E5FDAB68-4370-42F1-B1EF-BE45136444C2]
91E01172-1EB5-4B9B-82E7-3C35E4660596;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/95B10D7B-BD1F-4BC4-98DF-006A1288D792/manage/5CE0A21D-5313-4163-BE78-56E8366EF343/batches/91E01172-1EB5-4B9B-82E7-3C35E4660596]
007857697_01000 (imageset: 0796541F-1292-4FB7-9D68-D6C3BFEF43FC);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/95B10D7B-BD1F-4BC4-98DF-006A1288D792/manage/0796541F-1292-4FB7-9D68-D6C3BFEF43FC/batches/E5FDAB68-4370-42F1-B1EF-BE45136444C2]
007857697_00713 (imageset: 0796541F-1292-4FB7-9D68-D6C3BFEF43FC);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/95B10D7B-BD1F-4BC4-98DF-006A1288D792/manage/0796541F-1292-4FB7-9D68-D6C3BFEF43FC/batches/E5FDAB68-4370-42F1-B1EF-BE45136444C2]
6A3C8022-D622-4DF7-A9E3-18089BB26395;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/95B10D7B-BD1F-4BC4-98DF-006A1288D792/manage/5CE0A21D-5313-4163-BE78-56E8366EF343/batches/6A3C8022-D622-4DF7-A9E3-18089BB26395]
D6F553AE-F311-4DE8-B8B5-F9E03E9DCD3C;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/95B10D7B-BD1F-4BC4-98DF-006A1288D792/manage/5CE0A21D-5313-4163-BE78-56E8366EF343/batches/D6F553AE-F311-4DE8-B8B5-F9E03E9DCD3C]
65ABE29D-3654-402E-B096-B94F888A40AE;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/95B10D7B-BD1F-4BC4-98DF-006A1288D792/manage/5CE0A21D-5313-4163-BE78-56E8366EF343/batches/65ABE29D-3654-402E-B096-B94F888A40AE]
6505CB48-6079-4225-91B5-77753615341E;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/95B10D7B-BD1F-4BC4-98DF-006A1288D792/manage/5CE0A21D-5313-4163-BE78-56E8366EF343/batches/6505CB48-6079-4225-91B5-77753615341E]
