Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA: 158;
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 20;
007843930 (B3E86E00-CBE2-49A9-B134-DADEBA2708DF);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/95DBCA8B-E998-43F9-ADB7-AA4CD60D5914/manage/B3E86E00-CBE2-49A9-B134-DADEBA2708DF/batches/list]
007843828 (5F82478C-3738-4B68-AC16-1E0B2D00F840);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/95DBCA8B-E998-43F9-ADB7-AA4CD60D5914/manage/5F82478C-3738-4B68-AC16-1E0B2D00F840/batches/list]
007843900 (5E7D85AF-54DF-49EF-B9BB-5002B969BC77);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/95DBCA8B-E998-43F9-ADB7-AA4CD60D5914/manage/5E7D85AF-54DF-49EF-B9BB-5002B969BC77/batches/list]
007843498 (E4681BE7-3E37-475E-B989-EC896E26632A);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/95DBCA8B-E998-43F9-ADB7-AA4CD60D5914/manage/E4681BE7-3E37-475E-B989-EC896E26632A/batches/list]
007843927 (76FA9041-5C9D-4384-AD4A-CDE9267BB8EF);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/95DBCA8B-E998-43F9-ADB7-AA4CD60D5914/manage/76FA9041-5C9D-4384-AD4A-CDE9267BB8EF/batches/list]
007843560 (ECA17B35-BDD7-4D85-B467-532EF4FECA74);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/95DBCA8B-E998-43F9-ADB7-AA4CD60D5914/manage/ECA17B35-BDD7-4D85-B467-532EF4FECA74/batches/list]
007843928 (894BB7BC-A3DE-4B90-A542-502C00D3D3E6);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/95DBCA8B-E998-43F9-ADB7-AA4CD60D5914/manage/894BB7BC-A3DE-4B90-A542-502C00D3D3E6/batches/list]
007843876 (1C26663C-A836-4F19-B4E4-E06638A5D95A);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/95DBCA8B-E998-43F9-ADB7-AA4CD60D5914/manage/1C26663C-A836-4F19-B4E4-E06638A5D95A/batches/list]
