Item;Item Type;Note;Item Link
ReportItem instance counts;;PROJECT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT_AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 1009;
ReportItem instance counts;;BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 20164;
ReportItem instance counts;;IMAGE_IN_REJECTED_STATE: 10;
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 20;
ReportItem instance counts;;BATCH_NO_WORKFLOW_STATE: 21173;
98D490FA-2E58-4732-AD89-714D68562CA7;PROJECT;PROJECT_BATCH_COUNTS_ARE_NOT_EQUAL \\ PROJECT_AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL;[PROJECT|https://www.familysearch.org/indexing/admin-new/#/projects/98D490FA-2E58-4732-AD89-714D68562CA7/overview]
005097603_01790 (imageset: AD12860D-F10E-4609-A4AA-54EC8BB51472);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/98D490FA-2E58-4732-AD89-714D68562CA7/manage/AD12860D-F10E-4609-A4AA-54EC8BB51472/batches/CDD05553-8CCB-47F7-B266-4377E47BE08E]
005097603_01791 (imageset: AD12860D-F10E-4609-A4AA-54EC8BB51472);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/98D490FA-2E58-4732-AD89-714D68562CA7/manage/AD12860D-F10E-4609-A4AA-54EC8BB51472/batches/CDD05553-8CCB-47F7-B266-4377E47BE08E]
005097603_01787 (imageset: AD12860D-F10E-4609-A4AA-54EC8BB51472);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/98D490FA-2E58-4732-AD89-714D68562CA7/manage/AD12860D-F10E-4609-A4AA-54EC8BB51472/batches/CDD05553-8CCB-47F7-B266-4377E47BE08E]
005097603_01786 (imageset: AD12860D-F10E-4609-A4AA-54EC8BB51472);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/98D490FA-2E58-4732-AD89-714D68562CA7/manage/AD12860D-F10E-4609-A4AA-54EC8BB51472/batches/CDD05553-8CCB-47F7-B266-4377E47BE08E]
005097603_01785 (imageset: AD12860D-F10E-4609-A4AA-54EC8BB51472);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/98D490FA-2E58-4732-AD89-714D68562CA7/manage/AD12860D-F10E-4609-A4AA-54EC8BB51472/batches/CDD05553-8CCB-47F7-B266-4377E47BE08E]
005097603_01784 (imageset: AD12860D-F10E-4609-A4AA-54EC8BB51472);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/98D490FA-2E58-4732-AD89-714D68562CA7/manage/AD12860D-F10E-4609-A4AA-54EC8BB51472/batches/CDD05553-8CCB-47F7-B266-4377E47BE08E]
005097603_01789 (imageset: AD12860D-F10E-4609-A4AA-54EC8BB51472);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/98D490FA-2E58-4732-AD89-714D68562CA7/manage/AD12860D-F10E-4609-A4AA-54EC8BB51472/batches/CDD05553-8CCB-47F7-B266-4377E47BE08E]
005097603_01788 (imageset: AD12860D-F10E-4609-A4AA-54EC8BB51472);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/98D490FA-2E58-4732-AD89-714D68562CA7/manage/AD12860D-F10E-4609-A4AA-54EC8BB51472/batches/CDD05553-8CCB-47F7-B266-4377E47BE08E]
005097603_01783 (imageset: AD12860D-F10E-4609-A4AA-54EC8BB51472);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/98D490FA-2E58-4732-AD89-714D68562CA7/manage/AD12860D-F10E-4609-A4AA-54EC8BB51472/batches/CDD05553-8CCB-47F7-B266-4377E47BE08E]
005097603_01782 (imageset: AD12860D-F10E-4609-A4AA-54EC8BB51472);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/98D490FA-2E58-4732-AD89-714D68562CA7/manage/AD12860D-F10E-4609-A4AA-54EC8BB51472/batches/CDD05553-8CCB-47F7-B266-4377E47BE08E]
005096371_00851 (imageset: 12D02329-6FB0-4EBA-8350-32C2D9457EDA);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/98D490FA-2E58-4732-AD89-714D68562CA7/manage/12D02329-6FB0-4EBA-8350-32C2D9457EDA/batches/FB4C04E8-0B88-4A7E-9AFE-913088DFE19F]
005096696_00641 (imageset: F0142AF2-4F43-431C-9B2F-8D52149CFC20);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/98D490FA-2E58-4732-AD89-714D68562CA7/manage/F0142AF2-4F43-431C-9B2F-8D52149CFC20/batches/EA222685-7EFD-4608-B970-05E94AC007C9]
005096696_00640 (imageset: F0142AF2-4F43-431C-9B2F-8D52149CFC20);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/98D490FA-2E58-4732-AD89-714D68562CA7/manage/F0142AF2-4F43-431C-9B2F-8D52149CFC20/batches/EA222685-7EFD-4608-B970-05E94AC007C9]
005096696_00638 (imageset: F0142AF2-4F43-431C-9B2F-8D52149CFC20);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/98D490FA-2E58-4732-AD89-714D68562CA7/manage/F0142AF2-4F43-431C-9B2F-8D52149CFC20/batches/EA222685-7EFD-4608-B970-05E94AC007C9]
005096696_00639 (imageset: F0142AF2-4F43-431C-9B2F-8D52149CFC20);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/98D490FA-2E58-4732-AD89-714D68562CA7/manage/F0142AF2-4F43-431C-9B2F-8D52149CFC20/batches/EA222685-7EFD-4608-B970-05E94AC007C9]
005096696_00636 (imageset: F0142AF2-4F43-431C-9B2F-8D52149CFC20);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/98D490FA-2E58-4732-AD89-714D68562CA7/manage/F0142AF2-4F43-431C-9B2F-8D52149CFC20/batches/EA222685-7EFD-4608-B970-05E94AC007C9]
005096696_00637 (imageset: F0142AF2-4F43-431C-9B2F-8D52149CFC20);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/98D490FA-2E58-4732-AD89-714D68562CA7/manage/F0142AF2-4F43-431C-9B2F-8D52149CFC20/batches/EA222685-7EFD-4608-B970-05E94AC007C9]
005096696_00634 (imageset: F0142AF2-4F43-431C-9B2F-8D52149CFC20);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/98D490FA-2E58-4732-AD89-714D68562CA7/manage/F0142AF2-4F43-431C-9B2F-8D52149CFC20/batches/EA222685-7EFD-4608-B970-05E94AC007C9]
005096696_00635 (imageset: F0142AF2-4F43-431C-9B2F-8D52149CFC20);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/98D490FA-2E58-4732-AD89-714D68562CA7/manage/F0142AF2-4F43-431C-9B2F-8D52149CFC20/batches/EA222685-7EFD-4608-B970-05E94AC007C9]
005096696_00632 (imageset: F0142AF2-4F43-431C-9B2F-8D52149CFC20);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/98D490FA-2E58-4732-AD89-714D68562CA7/manage/F0142AF2-4F43-431C-9B2F-8D52149CFC20/batches/EA222685-7EFD-4608-B970-05E94AC007C9]
005096696_00633 (imageset: F0142AF2-4F43-431C-9B2F-8D52149CFC20);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/98D490FA-2E58-4732-AD89-714D68562CA7/manage/F0142AF2-4F43-431C-9B2F-8D52149CFC20/batches/EA222685-7EFD-4608-B970-05E94AC007C9]
005097738_03649 (imageset: 9E17ABA8-8784-4D48-93BD-605E74446149);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/98D490FA-2E58-4732-AD89-714D68562CA7/manage/9E17ABA8-8784-4D48-93BD-605E74446149/batches/391BBC15-110B-4145-AEA2-F8DBF857E75C]
005097439_01237 (imageset: 24F06371-58F0-4A6F-AA84-006A8EA2EE26);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/98D490FA-2E58-4732-AD89-714D68562CA7/manage/24F06371-58F0-4A6F-AA84-006A8EA2EE26/batches/D6799304-E2CC-43DA-BEB4-223BEA5DF3C6]
005097738_03569 (imageset: 9E17ABA8-8784-4D48-93BD-605E74446149);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/98D490FA-2E58-4732-AD89-714D68562CA7/manage/9E17ABA8-8784-4D48-93BD-605E74446149/batches/C0C2B3D9-7DF7-425E-B6B8-1504CEC67665]
005097213_01565 (imageset: 62B24458-66AC-450D-B5F2-778FB54C2A8D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/98D490FA-2E58-4732-AD89-714D68562CA7/manage/62B24458-66AC-450D-B5F2-778FB54C2A8D/batches/D84B1359-7AA4-478D-9352-029361D8D3C4]
005097699_00532 (imageset: B30B1843-538E-4BD0-BE7A-7753A7FB49D1);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/98D490FA-2E58-4732-AD89-714D68562CA7/manage/B30B1843-538E-4BD0-BE7A-7753A7FB49D1/batches/BD1BFB1B-1872-4126-B2F9-66EDDAD6F4A1]
005097699_00943 (imageset: B30B1843-538E-4BD0-BE7A-7753A7FB49D1);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/98D490FA-2E58-4732-AD89-714D68562CA7/manage/B30B1843-538E-4BD0-BE7A-7753A7FB49D1/batches/0636A5DC-48E6-492D-A73B-5E9448AC2F78]
005097699_00942 (imageset: B30B1843-538E-4BD0-BE7A-7753A7FB49D1);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/98D490FA-2E58-4732-AD89-714D68562CA7/manage/B30B1843-538E-4BD0-BE7A-7753A7FB49D1/batches/0636A5DC-48E6-492D-A73B-5E9448AC2F78]
