Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGESET_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA_BUT_NOT_IN_PROJECT: 10;
ReportItem instance counts;;DGS_MISSASSIGNMENTS: 1;
19-1410;DGS_ASSIGNMENT;DGS_MISSASSIGNMENTS;[19-1410 DgsMisassignments|19-1410 DgsMisassignments]
103195335 (no imageset for: 103195335);IMAGESET;IMAGESET_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA_BUT_NOT_IN_PROJECT;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/99B325FB-DFAC-4CF9-86F0-F29047F28FA8/manage/no imageset for: 103195335/batches/list]
007678394 (no imageset for: 007678394);IMAGESET;IMAGESET_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA_BUT_NOT_IN_PROJECT;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/99B325FB-DFAC-4CF9-86F0-F29047F28FA8/manage/no imageset for: 007678394/batches/list]
103195336 (no imageset for: 103195336);IMAGESET;IMAGESET_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA_BUT_NOT_IN_PROJECT;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/99B325FB-DFAC-4CF9-86F0-F29047F28FA8/manage/no imageset for: 103195336/batches/list]
103195337 (no imageset for: 103195337);IMAGESET;IMAGESET_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA_BUT_NOT_IN_PROJECT;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/99B325FB-DFAC-4CF9-86F0-F29047F28FA8/manage/no imageset for: 103195337/batches/list]
103195338 (no imageset for: 103195338);IMAGESET;IMAGESET_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA_BUT_NOT_IN_PROJECT;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/99B325FB-DFAC-4CF9-86F0-F29047F28FA8/manage/no imageset for: 103195338/batches/list]
103195332 (no imageset for: 103195332);IMAGESET;IMAGESET_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA_BUT_NOT_IN_PROJECT;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/99B325FB-DFAC-4CF9-86F0-F29047F28FA8/manage/no imageset for: 103195332/batches/list]
103195333 (no imageset for: 103195333);IMAGESET;IMAGESET_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA_BUT_NOT_IN_PROJECT;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/99B325FB-DFAC-4CF9-86F0-F29047F28FA8/manage/no imageset for: 103195333/batches/list]
103195334 (no imageset for: 103195334);IMAGESET;IMAGESET_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA_BUT_NOT_IN_PROJECT;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/99B325FB-DFAC-4CF9-86F0-F29047F28FA8/manage/no imageset for: 103195334/batches/list]
103195340 (no imageset for: 103195340);IMAGESET;IMAGESET_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA_BUT_NOT_IN_PROJECT;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/99B325FB-DFAC-4CF9-86F0-F29047F28FA8/manage/no imageset for: 103195340/batches/list]
103195339 (no imageset for: 103195339);IMAGESET;IMAGESET_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA_BUT_NOT_IN_PROJECT;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/99B325FB-DFAC-4CF9-86F0-F29047F28FA8/manage/no imageset for: 103195339/batches/list]
