Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA: 5;
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 20;
004205642 (865F3ED7-5026-462E-814F-6979C15414D4);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/99C6EBA9-E05E-4B74-B16C-B775F8D8B21B/manage/865F3ED7-5026-462E-814F-6979C15414D4/batches/list]
004205581 (15615EBA-187F-411C-8C91-344825CC4E66);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/99C6EBA9-E05E-4B74-B16C-B775F8D8B21B/manage/15615EBA-187F-411C-8C91-344825CC4E66/batches/list]
004207291 (2ED11F25-7E5D-4778-91FC-6A5B3E4B51E2);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/99C6EBA9-E05E-4B74-B16C-B775F8D8B21B/manage/2ED11F25-7E5D-4778-91FC-6A5B3E4B51E2/batches/list]
004205592 (C71ABE88-32F5-4493-9EDA-4302784C3E8A);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/99C6EBA9-E05E-4B74-B16C-B775F8D8B21B/manage/C71ABE88-32F5-4493-9EDA-4302784C3E8A/batches/list]
004207380 (8F025DBB-F45E-47E9-AAD2-2B80882155BD);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/99C6EBA9-E05E-4B74-B16C-B775F8D8B21B/manage/8F025DBB-F45E-47E9-AAD2-2B80882155BD/batches/list]
004205592_00191 (imageset: C71ABE88-32F5-4493-9EDA-4302784C3E8A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/99C6EBA9-E05E-4B74-B16C-B775F8D8B21B/manage/C71ABE88-32F5-4493-9EDA-4302784C3E8A/batches/3815B2BE-8836-411D-A5EE-7B7ACFE2FFA3]
004205592_00180 (imageset: C71ABE88-32F5-4493-9EDA-4302784C3E8A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/99C6EBA9-E05E-4B74-B16C-B775F8D8B21B/manage/C71ABE88-32F5-4493-9EDA-4302784C3E8A/batches/3815B2BE-8836-411D-A5EE-7B7ACFE2FFA3]
004205592_00192 (imageset: C71ABE88-32F5-4493-9EDA-4302784C3E8A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/99C6EBA9-E05E-4B74-B16C-B775F8D8B21B/manage/C71ABE88-32F5-4493-9EDA-4302784C3E8A/batches/3815B2BE-8836-411D-A5EE-7B7ACFE2FFA3]
004205592_00093 (imageset: C71ABE88-32F5-4493-9EDA-4302784C3E8A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/99C6EBA9-E05E-4B74-B16C-B775F8D8B21B/manage/C71ABE88-32F5-4493-9EDA-4302784C3E8A/batches/BB275FDC-BAA7-4838-9322-1E43EF8BEC00]
004205592_00190 (imageset: C71ABE88-32F5-4493-9EDA-4302784C3E8A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/99C6EBA9-E05E-4B74-B16C-B775F8D8B21B/manage/C71ABE88-32F5-4493-9EDA-4302784C3E8A/batches/3815B2BE-8836-411D-A5EE-7B7ACFE2FFA3]
004205592_00080 (imageset: C71ABE88-32F5-4493-9EDA-4302784C3E8A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/99C6EBA9-E05E-4B74-B16C-B775F8D8B21B/manage/C71ABE88-32F5-4493-9EDA-4302784C3E8A/batches/9E66C7FC-C66C-4494-A517-30184609353F]
004205592_00199 (imageset: C71ABE88-32F5-4493-9EDA-4302784C3E8A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/99C6EBA9-E05E-4B74-B16C-B775F8D8B21B/manage/C71ABE88-32F5-4493-9EDA-4302784C3E8A/batches/3815B2BE-8836-411D-A5EE-7B7ACFE2FFA3]
004205592_00188 (imageset: C71ABE88-32F5-4493-9EDA-4302784C3E8A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/99C6EBA9-E05E-4B74-B16C-B775F8D8B21B/manage/C71ABE88-32F5-4493-9EDA-4302784C3E8A/batches/3815B2BE-8836-411D-A5EE-7B7ACFE2FFA3]
004205592_00189 (imageset: C71ABE88-32F5-4493-9EDA-4302784C3E8A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/99C6EBA9-E05E-4B74-B16C-B775F8D8B21B/manage/C71ABE88-32F5-4493-9EDA-4302784C3E8A/batches/3815B2BE-8836-411D-A5EE-7B7ACFE2FFA3]
004205592_00197 (imageset: C71ABE88-32F5-4493-9EDA-4302784C3E8A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/99C6EBA9-E05E-4B74-B16C-B775F8D8B21B/manage/C71ABE88-32F5-4493-9EDA-4302784C3E8A/batches/3815B2BE-8836-411D-A5EE-7B7ACFE2FFA3]
004205592_00186 (imageset: C71ABE88-32F5-4493-9EDA-4302784C3E8A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/99C6EBA9-E05E-4B74-B16C-B775F8D8B21B/manage/C71ABE88-32F5-4493-9EDA-4302784C3E8A/batches/3815B2BE-8836-411D-A5EE-7B7ACFE2FFA3]
004205592_00198 (imageset: C71ABE88-32F5-4493-9EDA-4302784C3E8A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/99C6EBA9-E05E-4B74-B16C-B775F8D8B21B/manage/C71ABE88-32F5-4493-9EDA-4302784C3E8A/batches/3815B2BE-8836-411D-A5EE-7B7ACFE2FFA3]
004205592_00196 (imageset: C71ABE88-32F5-4493-9EDA-4302784C3E8A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/99C6EBA9-E05E-4B74-B16C-B775F8D8B21B/manage/C71ABE88-32F5-4493-9EDA-4302784C3E8A/batches/3815B2BE-8836-411D-A5EE-7B7ACFE2FFA3]
004205592_00185 (imageset: C71ABE88-32F5-4493-9EDA-4302784C3E8A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/99C6EBA9-E05E-4B74-B16C-B775F8D8B21B/manage/C71ABE88-32F5-4493-9EDA-4302784C3E8A/batches/3815B2BE-8836-411D-A5EE-7B7ACFE2FFA3]
004205592_00193 (imageset: C71ABE88-32F5-4493-9EDA-4302784C3E8A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/99C6EBA9-E05E-4B74-B16C-B775F8D8B21B/manage/C71ABE88-32F5-4493-9EDA-4302784C3E8A/batches/3815B2BE-8836-411D-A5EE-7B7ACFE2FFA3]
004205642_00486 (imageset: 865F3ED7-5026-462E-814F-6979C15414D4);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/99C6EBA9-E05E-4B74-B16C-B775F8D8B21B/manage/865F3ED7-5026-462E-814F-6979C15414D4/batches/CE172B8F-0CC5-4770-B1FD-5A067ABBC710]
004205642_00488 (imageset: 865F3ED7-5026-462E-814F-6979C15414D4);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/99C6EBA9-E05E-4B74-B16C-B775F8D8B21B/manage/865F3ED7-5026-462E-814F-6979C15414D4/batches/CE172B8F-0CC5-4770-B1FD-5A067ABBC710]
004205642_00257 (imageset: 865F3ED7-5026-462E-814F-6979C15414D4);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/99C6EBA9-E05E-4B74-B16C-B775F8D8B21B/manage/865F3ED7-5026-462E-814F-6979C15414D4/batches/D34F5040-01BF-47C5-985E-341CF4BCAFAA]
004205642_00186 (imageset: 865F3ED7-5026-462E-814F-6979C15414D4);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/99C6EBA9-E05E-4B74-B16C-B775F8D8B21B/manage/865F3ED7-5026-462E-814F-6979C15414D4/batches/4E15DAF4-185F-433F-9805-D546FEFE8004]
004205642_00484 (imageset: 865F3ED7-5026-462E-814F-6979C15414D4);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/99C6EBA9-E05E-4B74-B16C-B775F8D8B21B/manage/865F3ED7-5026-462E-814F-6979C15414D4/batches/CE172B8F-0CC5-4770-B1FD-5A067ABBC710]
