Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 20;
104280473_00153 (imageset: C4D8E7AB-AACE-4D2D-9213-6F55B7896BC2);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9A2DA742-1ABC-4C44-9C9B-466B9B99D10C/manage/C4D8E7AB-AACE-4D2D-9213-6F55B7896BC2/batches/5DB47BB4-3B99-4BF2-BC9D-ECFE43FD6038]
104202386_00026 (imageset: 39CD1EEA-5E32-4298-B183-24D28C1697A8);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9A2DA742-1ABC-4C44-9C9B-466B9B99D10C/manage/39CD1EEA-5E32-4298-B183-24D28C1697A8/batches/0A6AF391-6B69-4785-ACC5-585B6DF4E780]
104202386_00025 (imageset: 39CD1EEA-5E32-4298-B183-24D28C1697A8);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9A2DA742-1ABC-4C44-9C9B-466B9B99D10C/manage/39CD1EEA-5E32-4298-B183-24D28C1697A8/batches/0A6AF391-6B69-4785-ACC5-585B6DF4E780]
104202386_00189 (imageset: 39CD1EEA-5E32-4298-B183-24D28C1697A8);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9A2DA742-1ABC-4C44-9C9B-466B9B99D10C/manage/39CD1EEA-5E32-4298-B183-24D28C1697A8/batches/4960097E-CD49-49BC-966A-4877F70C7CC2]
104202386_00024 (imageset: 39CD1EEA-5E32-4298-B183-24D28C1697A8);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9A2DA742-1ABC-4C44-9C9B-466B9B99D10C/manage/39CD1EEA-5E32-4298-B183-24D28C1697A8/batches/0A6AF391-6B69-4785-ACC5-585B6DF4E780]
104202386_00188 (imageset: 39CD1EEA-5E32-4298-B183-24D28C1697A8);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9A2DA742-1ABC-4C44-9C9B-466B9B99D10C/manage/39CD1EEA-5E32-4298-B183-24D28C1697A8/batches/4960097E-CD49-49BC-966A-4877F70C7CC2]
104202386_00023 (imageset: 39CD1EEA-5E32-4298-B183-24D28C1697A8);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9A2DA742-1ABC-4C44-9C9B-466B9B99D10C/manage/39CD1EEA-5E32-4298-B183-24D28C1697A8/batches/0A6AF391-6B69-4785-ACC5-585B6DF4E780]
104202386_00029 (imageset: 39CD1EEA-5E32-4298-B183-24D28C1697A8);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9A2DA742-1ABC-4C44-9C9B-466B9B99D10C/manage/39CD1EEA-5E32-4298-B183-24D28C1697A8/batches/0A6AF391-6B69-4785-ACC5-585B6DF4E780]
104202386_00028 (imageset: 39CD1EEA-5E32-4298-B183-24D28C1697A8);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9A2DA742-1ABC-4C44-9C9B-466B9B99D10C/manage/39CD1EEA-5E32-4298-B183-24D28C1697A8/batches/0A6AF391-6B69-4785-ACC5-585B6DF4E780]
