Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES: 8974;
ReportItem instance counts;;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE: 20;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;IMAGE_NO_INDEXING_BATCH: 20;
9B4EABA8-CC2B-4C97-B0BE-62C016C690B2;PROJECT;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL;[PROJECT|https://www.familysearch.org/indexing/admin-new/#/projects/9B4EABA8-CC2B-4C97-B0BE-62C016C690B2/overview]
100260122_00602 (imageset: FEB9FC9D-AE5B-410B-B651-8AAB9D2327AC);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9B4EABA8-CC2B-4C97-B0BE-62C016C690B2/manage/FEB9FC9D-AE5B-410B-B651-8AAB9D2327AC/batches/list]
100260122_00604 (imageset: FEB9FC9D-AE5B-410B-B651-8AAB9D2327AC);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9B4EABA8-CC2B-4C97-B0BE-62C016C690B2/manage/FEB9FC9D-AE5B-410B-B651-8AAB9D2327AC/batches/list]
100260122_00606 (imageset: FEB9FC9D-AE5B-410B-B651-8AAB9D2327AC);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9B4EABA8-CC2B-4C97-B0BE-62C016C690B2/manage/FEB9FC9D-AE5B-410B-B651-8AAB9D2327AC/batches/list]
100260122_00607 (imageset: FEB9FC9D-AE5B-410B-B651-8AAB9D2327AC);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9B4EABA8-CC2B-4C97-B0BE-62C016C690B2/manage/FEB9FC9D-AE5B-410B-B651-8AAB9D2327AC/batches/list]
100260122_00609 (imageset: FEB9FC9D-AE5B-410B-B651-8AAB9D2327AC);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9B4EABA8-CC2B-4C97-B0BE-62C016C690B2/manage/FEB9FC9D-AE5B-410B-B651-8AAB9D2327AC/batches/list]
100568085_00049 (imageset: 37C4BEE8-5AEE-46CF-9138-1501F2035326);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9B4EABA8-CC2B-4C97-B0BE-62C016C690B2/manage/37C4BEE8-5AEE-46CF-9138-1501F2035326/batches/list]
100568085_00047 (imageset: 37C4BEE8-5AEE-46CF-9138-1501F2035326);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9B4EABA8-CC2B-4C97-B0BE-62C016C690B2/manage/37C4BEE8-5AEE-46CF-9138-1501F2035326/batches/list]
100568085_00048 (imageset: 37C4BEE8-5AEE-46CF-9138-1501F2035326);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9B4EABA8-CC2B-4C97-B0BE-62C016C690B2/manage/37C4BEE8-5AEE-46CF-9138-1501F2035326/batches/list]
100568085_00045 (imageset: 37C4BEE8-5AEE-46CF-9138-1501F2035326);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9B4EABA8-CC2B-4C97-B0BE-62C016C690B2/manage/37C4BEE8-5AEE-46CF-9138-1501F2035326/batches/list]
