Item;Item Type;Note;Item Link
ReportItem instance counts;;BATCH:NOT_IN_IMAGE_EXPORT_TABLE: 100;
ReportItem instance counts;;PROJECT:IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT:BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT:AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ED9F408A-3F04-48FB-9D32-31FD81B9C3D3;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/9BF99D74-EE9C-4691-B1D2-67FC0E0CB252/manage/990F4BCE-59C1-44B8-9642-402FDA0774D1/batches/ED9F408A-3F04-48FB-9D32-31FD81B9C3D3]
618B63C4-B2E0-4DC8-B348-7B7EC81D6E2F;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/9BF99D74-EE9C-4691-B1D2-67FC0E0CB252/manage/CA38D2AC-57CD-46A2-BEF2-D40C511B5749/batches/618B63C4-B2E0-4DC8-B348-7B7EC81D6E2F]
81702700-F011-4DD8-933F-819C5C8A461D;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/9BF99D74-EE9C-4691-B1D2-67FC0E0CB252/manage/CBF54F2B-C396-4C22-8502-E1B01A925E08/batches/81702700-F011-4DD8-933F-819C5C8A461D]
3CDCE433-4B1C-4B11-82F5-5B86D09CF29A;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/9BF99D74-EE9C-4691-B1D2-67FC0E0CB252/manage/CBF54F2B-C396-4C22-8502-E1B01A925E08/batches/3CDCE433-4B1C-4B11-82F5-5B86D09CF29A]
08C3C127-5438-48DF-8328-8A8C63AF8A65;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/9BF99D74-EE9C-4691-B1D2-67FC0E0CB252/manage/214A6DC1-FE7D-41C6-8690-5C4CAFA565EF/batches/08C3C127-5438-48DF-8328-8A8C63AF8A65]
A701ABBB-D08D-43BE-9A79-4B23D13791EA;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/9BF99D74-EE9C-4691-B1D2-67FC0E0CB252/manage/CBF54F2B-C396-4C22-8502-E1B01A925E08/batches/A701ABBB-D08D-43BE-9A79-4B23D13791EA]
21B22775-1F46-4B7C-8831-38B1490615D3;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/9BF99D74-EE9C-4691-B1D2-67FC0E0CB252/manage/CBF54F2B-C396-4C22-8502-E1B01A925E08/batches/21B22775-1F46-4B7C-8831-38B1490615D3]
2D959189-1759-4747-BC7E-455735F50BD1;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/9BF99D74-EE9C-4691-B1D2-67FC0E0CB252/manage/5B640015-A156-47BD-8E6B-A2661CE52441/batches/2D959189-1759-4747-BC7E-455735F50BD1]
A8AF664C-1005-4466-8412-E3ADAFBAD9F4;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/9BF99D74-EE9C-4691-B1D2-67FC0E0CB252/manage/0FD8C471-B1FF-4731-869B-2A0A8CF27FEF/batches/A8AF664C-1005-4466-8412-E3ADAFBAD9F4]
D54CA533-791E-46A8-A9D6-D9A708915808;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/9BF99D74-EE9C-4691-B1D2-67FC0E0CB252/manage/CBF54F2B-C396-4C22-8502-E1B01A925E08/batches/D54CA533-791E-46A8-A9D6-D9A708915808]
D2F91A0B-3A80-4B13-8971-3BC3850DE7C5;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/9BF99D74-EE9C-4691-B1D2-67FC0E0CB252/manage/86E75E71-83E4-4DB1-BD52-0D85F938B31F/batches/D2F91A0B-3A80-4B13-8971-3BC3850DE7C5]
0002C1EA-1148-4DE9-8D8D-33591F98B130;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/9BF99D74-EE9C-4691-B1D2-67FC0E0CB252/manage/CA38D2AC-57CD-46A2-BEF2-D40C511B5749/batches/0002C1EA-1148-4DE9-8D8D-33591F98B130]
C75F57C5-89F4-43C6-9535-E9ACB4470849;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/9BF99D74-EE9C-4691-B1D2-67FC0E0CB252/manage/CA38D2AC-57CD-46A2-BEF2-D40C511B5749/batches/C75F57C5-89F4-43C6-9535-E9ACB4470849]
