Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_REJECTED_STATE: 20;
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 20;
004418322_00010 (imageset: D7EEE195-7942-4CA4-9C5B-DF84E3E271EB);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9CBC2424-94D6-435F-9AFA-858856371A35/manage/D7EEE195-7942-4CA4-9C5B-DF84E3E271EB/batches/2A316F6B-2424-42EB-A4C1-C42EC7CF423C]
004418322_00011 (imageset: D7EEE195-7942-4CA4-9C5B-DF84E3E271EB);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9CBC2424-94D6-435F-9AFA-858856371A35/manage/D7EEE195-7942-4CA4-9C5B-DF84E3E271EB/batches/2A316F6B-2424-42EB-A4C1-C42EC7CF423C]
004418046_00139 (imageset: 149584BC-8ED7-4889-AD34-511E40CEA997);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9CBC2424-94D6-435F-9AFA-858856371A35/manage/149584BC-8ED7-4889-AD34-511E40CEA997/batches/05B65BCA-353D-4893-87F2-F64B5D1450C1]
004418046_00138 (imageset: 149584BC-8ED7-4889-AD34-511E40CEA997);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9CBC2424-94D6-435F-9AFA-858856371A35/manage/149584BC-8ED7-4889-AD34-511E40CEA997/batches/05B65BCA-353D-4893-87F2-F64B5D1450C1]
004418046_00137 (imageset: 149584BC-8ED7-4889-AD34-511E40CEA997);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9CBC2424-94D6-435F-9AFA-858856371A35/manage/149584BC-8ED7-4889-AD34-511E40CEA997/batches/05B65BCA-353D-4893-87F2-F64B5D1450C1]
004418046_00136 (imageset: 149584BC-8ED7-4889-AD34-511E40CEA997);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9CBC2424-94D6-435F-9AFA-858856371A35/manage/149584BC-8ED7-4889-AD34-511E40CEA997/batches/05B65BCA-353D-4893-87F2-F64B5D1450C1]
004418046_00135 (imageset: 149584BC-8ED7-4889-AD34-511E40CEA997);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9CBC2424-94D6-435F-9AFA-858856371A35/manage/149584BC-8ED7-4889-AD34-511E40CEA997/batches/05B65BCA-353D-4893-87F2-F64B5D1450C1]
004418046_00134 (imageset: 149584BC-8ED7-4889-AD34-511E40CEA997);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9CBC2424-94D6-435F-9AFA-858856371A35/manage/149584BC-8ED7-4889-AD34-511E40CEA997/batches/05B65BCA-353D-4893-87F2-F64B5D1450C1]
004418046_00133 (imageset: 149584BC-8ED7-4889-AD34-511E40CEA997);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9CBC2424-94D6-435F-9AFA-858856371A35/manage/149584BC-8ED7-4889-AD34-511E40CEA997/batches/05B65BCA-353D-4893-87F2-F64B5D1450C1]
004418046_00141 (imageset: 149584BC-8ED7-4889-AD34-511E40CEA997);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9CBC2424-94D6-435F-9AFA-858856371A35/manage/149584BC-8ED7-4889-AD34-511E40CEA997/batches/05B65BCA-353D-4893-87F2-F64B5D1450C1]
004418719_00010 (imageset: E81DB115-51F3-4233-AD85-C51151A162A4);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9CBC2424-94D6-435F-9AFA-858856371A35/manage/E81DB115-51F3-4233-AD85-C51151A162A4/batches/33D157CB-6C1C-464A-8ED4-311EDB8CEA36]
004418046_00140 (imageset: 149584BC-8ED7-4889-AD34-511E40CEA997);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9CBC2424-94D6-435F-9AFA-858856371A35/manage/149584BC-8ED7-4889-AD34-511E40CEA997/batches/05B65BCA-353D-4893-87F2-F64B5D1450C1]
004418719_00011 (imageset: E81DB115-51F3-4233-AD85-C51151A162A4);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9CBC2424-94D6-435F-9AFA-858856371A35/manage/E81DB115-51F3-4233-AD85-C51151A162A4/batches/33D157CB-6C1C-464A-8ED4-311EDB8CEA36]
004418322_00003 (imageset: D7EEE195-7942-4CA4-9C5B-DF84E3E271EB);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9CBC2424-94D6-435F-9AFA-858856371A35/manage/D7EEE195-7942-4CA4-9C5B-DF84E3E271EB/batches/2A316F6B-2424-42EB-A4C1-C42EC7CF423C]
004418322_00002 (imageset: D7EEE195-7942-4CA4-9C5B-DF84E3E271EB);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9CBC2424-94D6-435F-9AFA-858856371A35/manage/D7EEE195-7942-4CA4-9C5B-DF84E3E271EB/batches/2A316F6B-2424-42EB-A4C1-C42EC7CF423C]
004418322_00005 (imageset: D7EEE195-7942-4CA4-9C5B-DF84E3E271EB);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9CBC2424-94D6-435F-9AFA-858856371A35/manage/D7EEE195-7942-4CA4-9C5B-DF84E3E271EB/batches/2A316F6B-2424-42EB-A4C1-C42EC7CF423C]
004418322_00004 (imageset: D7EEE195-7942-4CA4-9C5B-DF84E3E271EB);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9CBC2424-94D6-435F-9AFA-858856371A35/manage/D7EEE195-7942-4CA4-9C5B-DF84E3E271EB/batches/2A316F6B-2424-42EB-A4C1-C42EC7CF423C]
004418322_00007 (imageset: D7EEE195-7942-4CA4-9C5B-DF84E3E271EB);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9CBC2424-94D6-435F-9AFA-858856371A35/manage/D7EEE195-7942-4CA4-9C5B-DF84E3E271EB/batches/2A316F6B-2424-42EB-A4C1-C42EC7CF423C]
004418719_00007 (imageset: E81DB115-51F3-4233-AD85-C51151A162A4);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9CBC2424-94D6-435F-9AFA-858856371A35/manage/E81DB115-51F3-4233-AD85-C51151A162A4/batches/33D157CB-6C1C-464A-8ED4-311EDB8CEA36]
004418322_00006 (imageset: D7EEE195-7942-4CA4-9C5B-DF84E3E271EB);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9CBC2424-94D6-435F-9AFA-858856371A35/manage/D7EEE195-7942-4CA4-9C5B-DF84E3E271EB/batches/2A316F6B-2424-42EB-A4C1-C42EC7CF423C]
004418719_00006 (imageset: E81DB115-51F3-4233-AD85-C51151A162A4);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9CBC2424-94D6-435F-9AFA-858856371A35/manage/E81DB115-51F3-4233-AD85-C51151A162A4/batches/33D157CB-6C1C-464A-8ED4-311EDB8CEA36]
004418322_00009 (imageset: D7EEE195-7942-4CA4-9C5B-DF84E3E271EB);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9CBC2424-94D6-435F-9AFA-858856371A35/manage/D7EEE195-7942-4CA4-9C5B-DF84E3E271EB/batches/2A316F6B-2424-42EB-A4C1-C42EC7CF423C]
004418719_00009 (imageset: E81DB115-51F3-4233-AD85-C51151A162A4);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9CBC2424-94D6-435F-9AFA-858856371A35/manage/E81DB115-51F3-4233-AD85-C51151A162A4/batches/33D157CB-6C1C-464A-8ED4-311EDB8CEA36]
004418322_00008 (imageset: D7EEE195-7942-4CA4-9C5B-DF84E3E271EB);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9CBC2424-94D6-435F-9AFA-858856371A35/manage/D7EEE195-7942-4CA4-9C5B-DF84E3E271EB/batches/2A316F6B-2424-42EB-A4C1-C42EC7CF423C]
004418719_00008 (imageset: E81DB115-51F3-4233-AD85-C51151A162A4);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9CBC2424-94D6-435F-9AFA-858856371A35/manage/E81DB115-51F3-4233-AD85-C51151A162A4/batches/33D157CB-6C1C-464A-8ED4-311EDB8CEA36]
004418719_00003 (imageset: E81DB115-51F3-4233-AD85-C51151A162A4);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9CBC2424-94D6-435F-9AFA-858856371A35/manage/E81DB115-51F3-4233-AD85-C51151A162A4/batches/33D157CB-6C1C-464A-8ED4-311EDB8CEA36]
004418719_00002 (imageset: E81DB115-51F3-4233-AD85-C51151A162A4);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9CBC2424-94D6-435F-9AFA-858856371A35/manage/E81DB115-51F3-4233-AD85-C51151A162A4/batches/33D157CB-6C1C-464A-8ED4-311EDB8CEA36]
004418046_00143 (imageset: 149584BC-8ED7-4889-AD34-511E40CEA997);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9CBC2424-94D6-435F-9AFA-858856371A35/manage/149584BC-8ED7-4889-AD34-511E40CEA997/batches/07CDFB6F-691B-4C5F-9C06-59044C2D4EF2]
004418719_00005 (imageset: E81DB115-51F3-4233-AD85-C51151A162A4);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9CBC2424-94D6-435F-9AFA-858856371A35/manage/E81DB115-51F3-4233-AD85-C51151A162A4/batches/33D157CB-6C1C-464A-8ED4-311EDB8CEA36]
004418691_00002 (imageset: 9DEA5ED9-E253-46BA-A9AD-88FDA1FD3DF1);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9CBC2424-94D6-435F-9AFA-858856371A35/manage/9DEA5ED9-E253-46BA-A9AD-88FDA1FD3DF1/batches/3CAE9BFE-3FE1-41AF-B797-9C70E3DC3CA5]
004418719_00004 (imageset: E81DB115-51F3-4233-AD85-C51151A162A4);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9CBC2424-94D6-435F-9AFA-858856371A35/manage/E81DB115-51F3-4233-AD85-C51151A162A4/batches/33D157CB-6C1C-464A-8ED4-311EDB8CEA36]
004418960_00002 (imageset: C5F4B8FB-329C-4986-B52E-BC94B4606069);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9CBC2424-94D6-435F-9AFA-858856371A35/manage/C5F4B8FB-329C-4986-B52E-BC94B4606069/batches/B45C209E-09B8-4B90-8845-A9C7E69181A1]
004418960_00003 (imageset: C5F4B8FB-329C-4986-B52E-BC94B4606069);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9CBC2424-94D6-435F-9AFA-858856371A35/manage/C5F4B8FB-329C-4986-B52E-BC94B4606069/batches/B45C209E-09B8-4B90-8845-A9C7E69181A1]
004418960_00004 (imageset: C5F4B8FB-329C-4986-B52E-BC94B4606069);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9CBC2424-94D6-435F-9AFA-858856371A35/manage/C5F4B8FB-329C-4986-B52E-BC94B4606069/batches/B45C209E-09B8-4B90-8845-A9C7E69181A1]
004417763_00002 (imageset: 7EB2D16B-F9E5-46DB-9E2A-C0270816C6C6);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9CBC2424-94D6-435F-9AFA-858856371A35/manage/7EB2D16B-F9E5-46DB-9E2A-C0270816C6C6/batches/EFD6F325-8140-4C3C-923C-3EADB407F600]
004418960_00005 (imageset: C5F4B8FB-329C-4986-B52E-BC94B4606069);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9CBC2424-94D6-435F-9AFA-858856371A35/manage/C5F4B8FB-329C-4986-B52E-BC94B4606069/batches/B45C209E-09B8-4B90-8845-A9C7E69181A1]
004418960_00006 (imageset: C5F4B8FB-329C-4986-B52E-BC94B4606069);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9CBC2424-94D6-435F-9AFA-858856371A35/manage/C5F4B8FB-329C-4986-B52E-BC94B4606069/batches/B45C209E-09B8-4B90-8845-A9C7E69181A1]
004417367_00002 (imageset: 376754C6-E099-4D8E-82BF-D699D5EF3C33);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9CBC2424-94D6-435F-9AFA-858856371A35/manage/376754C6-E099-4D8E-82BF-D699D5EF3C33/batches/79DB6A00-DCD3-4224-8BEB-63687089BDC7]
004418960_00007 (imageset: C5F4B8FB-329C-4986-B52E-BC94B4606069);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9CBC2424-94D6-435F-9AFA-858856371A35/manage/C5F4B8FB-329C-4986-B52E-BC94B4606069/batches/B45C209E-09B8-4B90-8845-A9C7E69181A1]
004418960_00008 (imageset: C5F4B8FB-329C-4986-B52E-BC94B4606069);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9CBC2424-94D6-435F-9AFA-858856371A35/manage/C5F4B8FB-329C-4986-B52E-BC94B4606069/batches/B45C209E-09B8-4B90-8845-A9C7E69181A1]
