Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES: 4509;
ReportItem instance counts;;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE: 529;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;IMAGE_NO_INDEXING_BATCH: 529;
9D174D87-DC52-4621-B5DA-5A978D0F00CC;PROJECT;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL;[PROJECT|https://www.familysearch.org/indexing/admin-new/#/projects/9D174D87-DC52-4621-B5DA-5A978D0F00CC/overview]
104706378_00585 (imageset: 95F65F55-6B7F-4685-A6D4-D06FDE941D1B);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9D174D87-DC52-4621-B5DA-5A978D0F00CC/manage/95F65F55-6B7F-4685-A6D4-D06FDE941D1B/batches/list]
104706378_00587 (imageset: 95F65F55-6B7F-4685-A6D4-D06FDE941D1B);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9D174D87-DC52-4621-B5DA-5A978D0F00CC/manage/95F65F55-6B7F-4685-A6D4-D06FDE941D1B/batches/list]
104706396_00603 (imageset: F6841652-75AD-4EB1-B083-1E909B421C1D);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9D174D87-DC52-4621-B5DA-5A978D0F00CC/manage/F6841652-75AD-4EB1-B083-1E909B421C1D/batches/list]
104706396_00601 (imageset: F6841652-75AD-4EB1-B083-1E909B421C1D);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9D174D87-DC52-4621-B5DA-5A978D0F00CC/manage/F6841652-75AD-4EB1-B083-1E909B421C1D/batches/list]
104706392_00475 (imageset: 6F7948E4-258D-44EB-9E87-5659E8723404);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9D174D87-DC52-4621-B5DA-5A978D0F00CC/manage/6F7948E4-258D-44EB-9E87-5659E8723404/batches/list]
104706389_00274 (imageset: 554062F7-4761-43C6-B4AE-3261BDCC6289);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9D174D87-DC52-4621-B5DA-5A978D0F00CC/manage/554062F7-4761-43C6-B4AE-3261BDCC6289/batches/list]
104706406_00297 (imageset: F12E3D7F-5830-4E6E-93C5-05731959D7FA);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH \\ IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9D174D87-DC52-4621-B5DA-5A978D0F00CC/manage/F12E3D7F-5830-4E6E-93C5-05731959D7FA/batches/887C26D4-EF9C-4932-86C4-3F4DC214F86C]
104706396_00608 (imageset: F6841652-75AD-4EB1-B083-1E909B421C1D);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9D174D87-DC52-4621-B5DA-5A978D0F00CC/manage/F6841652-75AD-4EB1-B083-1E909B421C1D/batches/list]
104706406_00299 (imageset: F12E3D7F-5830-4E6E-93C5-05731959D7FA);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH \\ IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9D174D87-DC52-4621-B5DA-5A978D0F00CC/manage/F12E3D7F-5830-4E6E-93C5-05731959D7FA/batches/887C26D4-EF9C-4932-86C4-3F4DC214F86C]
104706401_00276 (imageset: 3B439D6F-4B60-41B1-947E-1AC2D60FBC16);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9D174D87-DC52-4621-B5DA-5A978D0F00CC/manage/3B439D6F-4B60-41B1-947E-1AC2D60FBC16/batches/list]
104706389_00272 (imageset: 554062F7-4761-43C6-B4AE-3261BDCC6289);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9D174D87-DC52-4621-B5DA-5A978D0F00CC/manage/554062F7-4761-43C6-B4AE-3261BDCC6289/batches/list]
104706384_00254 (imageset: 8B400197-0206-4FB0-BC26-29AE73A64412);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9D174D87-DC52-4621-B5DA-5A978D0F00CC/manage/8B400197-0206-4FB0-BC26-29AE73A64412/batches/list]
104706401_00274 (imageset: 3B439D6F-4B60-41B1-947E-1AC2D60FBC16);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9D174D87-DC52-4621-B5DA-5A978D0F00CC/manage/3B439D6F-4B60-41B1-947E-1AC2D60FBC16/batches/list]
104706401_00272 (imageset: 3B439D6F-4B60-41B1-947E-1AC2D60FBC16);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9D174D87-DC52-4621-B5DA-5A978D0F00CC/manage/3B439D6F-4B60-41B1-947E-1AC2D60FBC16/batches/list]
104706401_00270 (imageset: 3B439D6F-4B60-41B1-947E-1AC2D60FBC16);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9D174D87-DC52-4621-B5DA-5A978D0F00CC/manage/3B439D6F-4B60-41B1-947E-1AC2D60FBC16/batches/list]
104706378_00596 (imageset: 95F65F55-6B7F-4685-A6D4-D06FDE941D1B);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9D174D87-DC52-4621-B5DA-5A978D0F00CC/manage/95F65F55-6B7F-4685-A6D4-D06FDE941D1B/batches/list]
104706378_00598 (imageset: 95F65F55-6B7F-4685-A6D4-D06FDE941D1B);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9D174D87-DC52-4621-B5DA-5A978D0F00CC/manage/95F65F55-6B7F-4685-A6D4-D06FDE941D1B/batches/list]
104706392_00466 (imageset: 6F7948E4-258D-44EB-9E87-5659E8723404);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9D174D87-DC52-4621-B5DA-5A978D0F00CC/manage/6F7948E4-258D-44EB-9E87-5659E8723404/batches/list]
104706397_00481 (imageset: FF0F87DA-3B95-49A8-96B8-B9F17B225FEC);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9D174D87-DC52-4621-B5DA-5A978D0F00CC/manage/FF0F87DA-3B95-49A8-96B8-B9F17B225FEC/batches/list]
104706378_00592 (imageset: 95F65F55-6B7F-4685-A6D4-D06FDE941D1B);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9D174D87-DC52-4621-B5DA-5A978D0F00CC/manage/95F65F55-6B7F-4685-A6D4-D06FDE941D1B/batches/list]
104706397_00484 (imageset: FF0F87DA-3B95-49A8-96B8-B9F17B225FEC);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9D174D87-DC52-4621-B5DA-5A978D0F00CC/manage/FF0F87DA-3B95-49A8-96B8-B9F17B225FEC/batches/list]
104706392_00464 (imageset: 6F7948E4-258D-44EB-9E87-5659E8723404);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9D174D87-DC52-4621-B5DA-5A978D0F00CC/manage/6F7948E4-258D-44EB-9E87-5659E8723404/batches/list]
104706384_00272 (imageset: 8B400197-0206-4FB0-BC26-29AE73A64412);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9D174D87-DC52-4621-B5DA-5A978D0F00CC/manage/8B400197-0206-4FB0-BC26-29AE73A64412/batches/list]
104706378_00594 (imageset: 95F65F55-6B7F-4685-A6D4-D06FDE941D1B);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9D174D87-DC52-4621-B5DA-5A978D0F00CC/manage/95F65F55-6B7F-4685-A6D4-D06FDE941D1B/batches/list]
104706397_00488 (imageset: FF0F87DA-3B95-49A8-96B8-B9F17B225FEC);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9D174D87-DC52-4621-B5DA-5A978D0F00CC/manage/FF0F87DA-3B95-49A8-96B8-B9F17B225FEC/batches/list]
104706396_00616 (imageset: F6841652-75AD-4EB1-B083-1E909B421C1D);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9D174D87-DC52-4621-B5DA-5A978D0F00CC/manage/F6841652-75AD-4EB1-B083-1E909B421C1D/batches/list]
104706392_00468 (imageset: 6F7948E4-258D-44EB-9E87-5659E8723404);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9D174D87-DC52-4621-B5DA-5A978D0F00CC/manage/6F7948E4-258D-44EB-9E87-5659E8723404/batches/list]
104706384_00268 (imageset: 8B400197-0206-4FB0-BC26-29AE73A64412);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9D174D87-DC52-4621-B5DA-5A978D0F00CC/manage/8B400197-0206-4FB0-BC26-29AE73A64412/batches/list]
104706389_00287 (imageset: 554062F7-4761-43C6-B4AE-3261BDCC6289);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9D174D87-DC52-4621-B5DA-5A978D0F00CC/manage/554062F7-4761-43C6-B4AE-3261BDCC6289/batches/list]
104706389_00286 (imageset: 554062F7-4761-43C6-B4AE-3261BDCC6289);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9D174D87-DC52-4621-B5DA-5A978D0F00CC/manage/554062F7-4761-43C6-B4AE-3261BDCC6289/batches/list]
104706392_00473 (imageset: 6F7948E4-258D-44EB-9E87-5659E8723404);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9D174D87-DC52-4621-B5DA-5A978D0F00CC/manage/6F7948E4-258D-44EB-9E87-5659E8723404/batches/list]
104706384_00264 (imageset: 8B400197-0206-4FB0-BC26-29AE73A64412);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9D174D87-DC52-4621-B5DA-5A978D0F00CC/manage/8B400197-0206-4FB0-BC26-29AE73A64412/batches/list]
104706389_00280 (imageset: 554062F7-4761-43C6-B4AE-3261BDCC6289);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9D174D87-DC52-4621-B5DA-5A978D0F00CC/manage/554062F7-4761-43C6-B4AE-3261BDCC6289/batches/list]
