Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_FAILED_STATE: 4;
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 20;
101432128_00008 (imageset: E0C3F82C-A5F4-497A-9148-9B690AB28812);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9F0DE112-43BF-48F4-A5EB-4678D32DEB92/manage/E0C3F82C-A5F4-497A-9148-9B690AB28812/batches/60B2543A-B586-48EE-B9A2-7FDD48AF5617]
101467071_00009 (imageset: 33DFA6C4-830C-4749-A094-E19B84E6A80D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9F0DE112-43BF-48F4-A5EB-4678D32DEB92/manage/33DFA6C4-830C-4749-A094-E19B84E6A80D/batches/82F2ABA6-C324-4345-AF74-BF18906F34B3]
101432128_00009 (imageset: E0C3F82C-A5F4-497A-9148-9B690AB28812);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9F0DE112-43BF-48F4-A5EB-4678D32DEB92/manage/E0C3F82C-A5F4-497A-9148-9B690AB28812/batches/60B2543A-B586-48EE-B9A2-7FDD48AF5617]
101432128_00007 (imageset: E0C3F82C-A5F4-497A-9148-9B690AB28812);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9F0DE112-43BF-48F4-A5EB-4678D32DEB92/manage/E0C3F82C-A5F4-497A-9148-9B690AB28812/batches/60B2543A-B586-48EE-B9A2-7FDD48AF5617]
101467014_00056 (imageset: EE232B7B-20CE-4FAB-8FD3-20B7F37368D3);IMAGE;IMAGE_IN_FAILED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9F0DE112-43BF-48F4-A5EB-4678D32DEB92/manage/EE232B7B-20CE-4FAB-8FD3-20B7F37368D3/batches/D3A6FDCB-FDF7-4309-A4F6-B1D0010C1A91]
101467014_00055 (imageset: EE232B7B-20CE-4FAB-8FD3-20B7F37368D3);IMAGE;IMAGE_IN_FAILED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9F0DE112-43BF-48F4-A5EB-4678D32DEB92/manage/EE232B7B-20CE-4FAB-8FD3-20B7F37368D3/batches/D3A6FDCB-FDF7-4309-A4F6-B1D0010C1A91]
101467014_00054 (imageset: EE232B7B-20CE-4FAB-8FD3-20B7F37368D3);IMAGE;IMAGE_IN_FAILED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9F0DE112-43BF-48F4-A5EB-4678D32DEB92/manage/EE232B7B-20CE-4FAB-8FD3-20B7F37368D3/batches/D3A6FDCB-FDF7-4309-A4F6-B1D0010C1A91]
101467014_00053 (imageset: EE232B7B-20CE-4FAB-8FD3-20B7F37368D3);IMAGE;IMAGE_IN_FAILED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9F0DE112-43BF-48F4-A5EB-4678D32DEB92/manage/EE232B7B-20CE-4FAB-8FD3-20B7F37368D3/batches/D3A6FDCB-FDF7-4309-A4F6-B1D0010C1A91]
