Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_FAILED_STATE: 20;
ReportItem instance counts;;BATCH_HAS_TOO_MANY_IMAGES: 1;
ReportItem instance counts;;PROJECT_BATCHES_WITH_TOO_MANY_IMAGES: 1;
5A183B17-C211-4A34-90F2-294AD26DC9C9;BATCH;BATCH_HAS_TOO_MANY_IMAGES;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/9FC323A4-31F6-4254-8AD6-E4D40437C088/manage/7FC1C9F6-2D51-49D4-86DA-CB91832B11E3/batches/5A183B17-C211-4A34-90F2-294AD26DC9C9]
007945105_00276 (imageset: 13CBF286-FB9A-4661-8087-27F99253258C);IMAGE;IMAGE_IN_FAILED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9FC323A4-31F6-4254-8AD6-E4D40437C088/manage/13CBF286-FB9A-4661-8087-27F99253258C/batches/9C886804-9F5A-46DD-9524-11089850F7A9]
007945105_00277 (imageset: 13CBF286-FB9A-4661-8087-27F99253258C);IMAGE;IMAGE_IN_FAILED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9FC323A4-31F6-4254-8AD6-E4D40437C088/manage/13CBF286-FB9A-4661-8087-27F99253258C/batches/9C886804-9F5A-46DD-9524-11089850F7A9]
007945105_00278 (imageset: 13CBF286-FB9A-4661-8087-27F99253258C);IMAGE;IMAGE_IN_FAILED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9FC323A4-31F6-4254-8AD6-E4D40437C088/manage/13CBF286-FB9A-4661-8087-27F99253258C/batches/9C886804-9F5A-46DD-9524-11089850F7A9]
007945105_00279 (imageset: 13CBF286-FB9A-4661-8087-27F99253258C);IMAGE;IMAGE_IN_FAILED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9FC323A4-31F6-4254-8AD6-E4D40437C088/manage/13CBF286-FB9A-4661-8087-27F99253258C/batches/9C886804-9F5A-46DD-9524-11089850F7A9]
007944851_01289 (imageset: 59F13644-FDEC-4525-AD10-57C2B6C06671);IMAGE;IMAGE_IN_FAILED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9FC323A4-31F6-4254-8AD6-E4D40437C088/manage/59F13644-FDEC-4525-AD10-57C2B6C06671/batches/6A5579B7-E9B1-46A6-B368-C070F6047C6A]
007945105_00272 (imageset: 13CBF286-FB9A-4661-8087-27F99253258C);IMAGE;IMAGE_IN_FAILED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9FC323A4-31F6-4254-8AD6-E4D40437C088/manage/13CBF286-FB9A-4661-8087-27F99253258C/batches/9C886804-9F5A-46DD-9524-11089850F7A9]
007944851_01288 (imageset: 59F13644-FDEC-4525-AD10-57C2B6C06671);IMAGE;IMAGE_IN_FAILED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9FC323A4-31F6-4254-8AD6-E4D40437C088/manage/59F13644-FDEC-4525-AD10-57C2B6C06671/batches/6A5579B7-E9B1-46A6-B368-C070F6047C6A]
007944851_01298 (imageset: 59F13644-FDEC-4525-AD10-57C2B6C06671);IMAGE;IMAGE_IN_FAILED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9FC323A4-31F6-4254-8AD6-E4D40437C088/manage/59F13644-FDEC-4525-AD10-57C2B6C06671/batches/6A5579B7-E9B1-46A6-B368-C070F6047C6A]
007944851_01297 (imageset: 59F13644-FDEC-4525-AD10-57C2B6C06671);IMAGE;IMAGE_IN_FAILED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9FC323A4-31F6-4254-8AD6-E4D40437C088/manage/59F13644-FDEC-4525-AD10-57C2B6C06671/batches/6A5579B7-E9B1-46A6-B368-C070F6047C6A]
007945105_00275 (imageset: 13CBF286-FB9A-4661-8087-27F99253258C);IMAGE;IMAGE_IN_FAILED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9FC323A4-31F6-4254-8AD6-E4D40437C088/manage/13CBF286-FB9A-4661-8087-27F99253258C/batches/9C886804-9F5A-46DD-9524-11089850F7A9]
007944851_01296 (imageset: 59F13644-FDEC-4525-AD10-57C2B6C06671);IMAGE;IMAGE_IN_FAILED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9FC323A4-31F6-4254-8AD6-E4D40437C088/manage/59F13644-FDEC-4525-AD10-57C2B6C06671/batches/6A5579B7-E9B1-46A6-B368-C070F6047C6A]
007945105_01093 (imageset: 13CBF286-FB9A-4661-8087-27F99253258C);IMAGE;IMAGE_IN_FAILED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9FC323A4-31F6-4254-8AD6-E4D40437C088/manage/13CBF286-FB9A-4661-8087-27F99253258C/batches/3A23719E-DEFA-4F27-B105-FEE95E0C13F5]
007944851_01284 (imageset: 59F13644-FDEC-4525-AD10-57C2B6C06671);IMAGE;IMAGE_IN_FAILED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9FC323A4-31F6-4254-8AD6-E4D40437C088/manage/59F13644-FDEC-4525-AD10-57C2B6C06671/batches/6A5579B7-E9B1-46A6-B368-C070F6047C6A]
007945105_00280 (imageset: 13CBF286-FB9A-4661-8087-27F99253258C);IMAGE;IMAGE_IN_FAILED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9FC323A4-31F6-4254-8AD6-E4D40437C088/manage/13CBF286-FB9A-4661-8087-27F99253258C/batches/9C886804-9F5A-46DD-9524-11089850F7A9]
007944851_01283 (imageset: 59F13644-FDEC-4525-AD10-57C2B6C06671);IMAGE;IMAGE_IN_FAILED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9FC323A4-31F6-4254-8AD6-E4D40437C088/manage/59F13644-FDEC-4525-AD10-57C2B6C06671/batches/6A5579B7-E9B1-46A6-B368-C070F6047C6A]
007945105_01095 (imageset: 13CBF286-FB9A-4661-8087-27F99253258C);IMAGE;IMAGE_IN_FAILED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9FC323A4-31F6-4254-8AD6-E4D40437C088/manage/13CBF286-FB9A-4661-8087-27F99253258C/batches/3A23719E-DEFA-4F27-B105-FEE95E0C13F5]
007945105_01096 (imageset: 13CBF286-FB9A-4661-8087-27F99253258C);IMAGE;IMAGE_IN_FAILED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9FC323A4-31F6-4254-8AD6-E4D40437C088/manage/13CBF286-FB9A-4661-8087-27F99253258C/batches/3A23719E-DEFA-4F27-B105-FEE95E0C13F5]
007945105_00271 (imageset: 13CBF286-FB9A-4661-8087-27F99253258C);IMAGE;IMAGE_IN_FAILED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9FC323A4-31F6-4254-8AD6-E4D40437C088/manage/13CBF286-FB9A-4661-8087-27F99253258C/batches/9C886804-9F5A-46DD-9524-11089850F7A9]
007944851_01280 (imageset: 59F13644-FDEC-4525-AD10-57C2B6C06671);IMAGE;IMAGE_IN_FAILED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9FC323A4-31F6-4254-8AD6-E4D40437C088/manage/59F13644-FDEC-4525-AD10-57C2B6C06671/batches/6A5579B7-E9B1-46A6-B368-C070F6047C6A]
007945105_01092 (imageset: 13CBF286-FB9A-4661-8087-27F99253258C);IMAGE;IMAGE_IN_FAILED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9FC323A4-31F6-4254-8AD6-E4D40437C088/manage/13CBF286-FB9A-4661-8087-27F99253258C/batches/3A23719E-DEFA-4F27-B105-FEE95E0C13F5]
9FC323A4-31F6-4254-8AD6-E4D40437C088;PROJECT;PROJECT_BATCHES_WITH_TOO_MANY_IMAGES;[PROJECT|https://www.familysearch.org/indexing/admin-new/#/projects/9FC323A4-31F6-4254-8AD6-E4D40437C088/overview]
