Item;Item Type;Note;Item Link
ReportItem instance counts;;BATCH:NOT_IN_IMAGE_EXPORT_TABLE: 100;
ReportItem instance counts;;PROJECT:IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT:BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT:AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
2ADC794D-1E4C-4891-A635-71FF4EF5F1E7;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/A0A28FDD-1BC5-473E-9438-8FD37004A57A/manage/BEF344E7-A2AB-4D74-94D0-E620DF2673C1/batches/2ADC794D-1E4C-4891-A635-71FF4EF5F1E7]
305C0C0F-C55B-4B98-B321-5968E2DCB09B;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/A0A28FDD-1BC5-473E-9438-8FD37004A57A/manage/B5EFBFFF-1A5B-4179-A44A-361D49F71835/batches/305C0C0F-C55B-4B98-B321-5968E2DCB09B]
87582D45-1CA0-4A1C-A2CD-F40DF7987302;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/A0A28FDD-1BC5-473E-9438-8FD37004A57A/manage/182015D1-B69A-4D27-B353-25C25EF24BD2/batches/87582D45-1CA0-4A1C-A2CD-F40DF7987302]
B9B2BF1D-7D8A-41FD-9122-76D49973629C;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/A0A28FDD-1BC5-473E-9438-8FD37004A57A/manage/7B9F9FE2-6D03-4F83-9B6D-02F26FD22E0F/batches/B9B2BF1D-7D8A-41FD-9122-76D49973629C]
28DEEEFA-4390-444B-9D64-66E73B904639;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/A0A28FDD-1BC5-473E-9438-8FD37004A57A/manage/6CAE6763-D2F6-471E-9E7F-F7BF3F2F7C69/batches/28DEEEFA-4390-444B-9D64-66E73B904639]
96894F37-D117-4E21-AFD1-28BAAF03C812;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/A0A28FDD-1BC5-473E-9438-8FD37004A57A/manage/6CAE6763-D2F6-471E-9E7F-F7BF3F2F7C69/batches/96894F37-D117-4E21-AFD1-28BAAF03C812]
1785F17B-7DCE-4A2D-B623-9955D91CFDB2;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/A0A28FDD-1BC5-473E-9438-8FD37004A57A/manage/6CAE6763-D2F6-471E-9E7F-F7BF3F2F7C69/batches/1785F17B-7DCE-4A2D-B623-9955D91CFDB2]
1954611F-E95A-49DE-A2BC-66F315A97182;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/A0A28FDD-1BC5-473E-9438-8FD37004A57A/manage/6CAE6763-D2F6-471E-9E7F-F7BF3F2F7C69/batches/1954611F-E95A-49DE-A2BC-66F315A97182]
1700639C-6D00-46B5-BD03-0941C0FD605D;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/A0A28FDD-1BC5-473E-9438-8FD37004A57A/manage/6CAE6763-D2F6-471E-9E7F-F7BF3F2F7C69/batches/1700639C-6D00-46B5-BD03-0941C0FD605D]
3ABA8E71-097C-45B8-8861-5C05E99A879F;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/A0A28FDD-1BC5-473E-9438-8FD37004A57A/manage/B5EFBFFF-1A5B-4179-A44A-361D49F71835/batches/3ABA8E71-097C-45B8-8861-5C05E99A879F]
9217E1CD-C21E-4776-B3AF-DD9AD937CEFD;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/A0A28FDD-1BC5-473E-9438-8FD37004A57A/manage/27769CCE-4A6F-4C1F-A349-5EA234D2A759/batches/9217E1CD-C21E-4776-B3AF-DD9AD937CEFD]
3666C3B5-57A7-4DEF-9F26-9111DEA60B94;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/A0A28FDD-1BC5-473E-9438-8FD37004A57A/manage/1A0983EA-3419-466D-8991-041EFE12FF3E/batches/3666C3B5-57A7-4DEF-9F26-9111DEA60B94]
A4F86132-AFAD-45CB-AAA4-E306AFEC4A9C;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/A0A28FDD-1BC5-473E-9438-8FD37004A57A/manage/182015D1-B69A-4D27-B353-25C25EF24BD2/batches/A4F86132-AFAD-45CB-AAA4-E306AFEC4A9C]
