Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 20;
102280600_00111 (imageset: 3DCB7DA5-B8CB-4352-A075-96C50314B4A8);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A0C84831-E3D6-4CD7-9421-7F8C7EF5CEE3/manage/3DCB7DA5-B8CB-4352-A075-96C50314B4A8/batches/56313385-828E-4959-9928-8B3138D8E5E1]
102280571_00318 (imageset: 3732D0BD-334B-4493-AEB5-0930C1276D86);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A0C84831-E3D6-4CD7-9421-7F8C7EF5CEE3/manage/3732D0BD-334B-4493-AEB5-0930C1276D86/batches/A3CF3A7F-D31C-4377-9338-319AB633BA40]
102280571_00317 (imageset: 3732D0BD-334B-4493-AEB5-0930C1276D86);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A0C84831-E3D6-4CD7-9421-7F8C7EF5CEE3/manage/3732D0BD-334B-4493-AEB5-0930C1276D86/batches/A3CF3A7F-D31C-4377-9338-319AB633BA40]
102755700_00197 (imageset: DA415D96-96A4-453A-8E1D-C1C095B291B0);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A0C84831-E3D6-4CD7-9421-7F8C7EF5CEE3/manage/DA415D96-96A4-453A-8E1D-C1C095B291B0/batches/2BD2B947-0A8B-4FF4-9984-7D025EBFB018]
102755700_00196 (imageset: DA415D96-96A4-453A-8E1D-C1C095B291B0);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A0C84831-E3D6-4CD7-9421-7F8C7EF5CEE3/manage/DA415D96-96A4-453A-8E1D-C1C095B291B0/batches/2BD2B947-0A8B-4FF4-9984-7D025EBFB018]
102280571_00034 (imageset: 3732D0BD-334B-4493-AEB5-0930C1276D86);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A0C84831-E3D6-4CD7-9421-7F8C7EF5CEE3/manage/3732D0BD-334B-4493-AEB5-0930C1276D86/batches/8DD85535-112E-433C-AD5D-51D6633895CA]
102280571_00004 (imageset: 3732D0BD-334B-4493-AEB5-0930C1276D86);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A0C84831-E3D6-4CD7-9421-7F8C7EF5CEE3/manage/3732D0BD-334B-4493-AEB5-0930C1276D86/batches/0F21A543-7D8D-4E44-BAB2-209A259AF7E9]
102408985_00078 (imageset: 51A57387-CCE3-4188-886B-A446EAD12709);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A0C84831-E3D6-4CD7-9421-7F8C7EF5CEE3/manage/51A57387-CCE3-4188-886B-A446EAD12709/batches/E88315AC-9234-49FF-9327-DD8870F98165]
102280571_00237 (imageset: 3732D0BD-334B-4493-AEB5-0930C1276D86);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A0C84831-E3D6-4CD7-9421-7F8C7EF5CEE3/manage/3732D0BD-334B-4493-AEB5-0930C1276D86/batches/12839196-96AC-4C47-A6EA-11924C875D56]
