Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES: 26802;
ReportItem instance counts;;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE: 4;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;IMAGE_NO_INDEXING_BATCH: 4;
103939435_00025 (imageset: 6F973670-8E9A-415B-AA66-94681BD00565);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A21328DF-DA70-4950-91AA-8E68B749FFBC/manage/6F973670-8E9A-415B-AA66-94681BD00565/batches/list]
103939435_00026 (imageset: 6F973670-8E9A-415B-AA66-94681BD00565);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A21328DF-DA70-4950-91AA-8E68B749FFBC/manage/6F973670-8E9A-415B-AA66-94681BD00565/batches/list]
103939435_00023 (imageset: 6F973670-8E9A-415B-AA66-94681BD00565);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A21328DF-DA70-4950-91AA-8E68B749FFBC/manage/6F973670-8E9A-415B-AA66-94681BD00565/batches/list]
103600630_00058 (imageset: 1E02B586-86B3-4E3F-BAC7-F1E54F374F97);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A21328DF-DA70-4950-91AA-8E68B749FFBC/manage/1E02B586-86B3-4E3F-BAC7-F1E54F374F97/batches/list]
103939435_00022 (imageset: 6F973670-8E9A-415B-AA66-94681BD00565);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A21328DF-DA70-4950-91AA-8E68B749FFBC/manage/6F973670-8E9A-415B-AA66-94681BD00565/batches/list]
103939435_00020 (imageset: 6F973670-8E9A-415B-AA66-94681BD00565);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A21328DF-DA70-4950-91AA-8E68B749FFBC/manage/6F973670-8E9A-415B-AA66-94681BD00565/batches/list]
103600630_00053 (imageset: 1E02B586-86B3-4E3F-BAC7-F1E54F374F97);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A21328DF-DA70-4950-91AA-8E68B749FFBC/manage/1E02B586-86B3-4E3F-BAC7-F1E54F374F97/batches/list]
103600630_00054 (imageset: 1E02B586-86B3-4E3F-BAC7-F1E54F374F97);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A21328DF-DA70-4950-91AA-8E68B749FFBC/manage/1E02B586-86B3-4E3F-BAC7-F1E54F374F97/batches/list]
103939435_00036 (imageset: 6F973670-8E9A-415B-AA66-94681BD00565);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A21328DF-DA70-4950-91AA-8E68B749FFBC/manage/6F973670-8E9A-415B-AA66-94681BD00565/batches/list]
103939435_00037 (imageset: 6F973670-8E9A-415B-AA66-94681BD00565);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A21328DF-DA70-4950-91AA-8E68B749FFBC/manage/6F973670-8E9A-415B-AA66-94681BD00565/batches/list]
103939435_00034 (imageset: 6F973670-8E9A-415B-AA66-94681BD00565);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A21328DF-DA70-4950-91AA-8E68B749FFBC/manage/6F973670-8E9A-415B-AA66-94681BD00565/batches/list]
103939435_00039 (imageset: 6F973670-8E9A-415B-AA66-94681BD00565);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A21328DF-DA70-4950-91AA-8E68B749FFBC/manage/6F973670-8E9A-415B-AA66-94681BD00565/batches/list]
103600630_00049 (imageset: 1E02B586-86B3-4E3F-BAC7-F1E54F374F97);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A21328DF-DA70-4950-91AA-8E68B749FFBC/manage/1E02B586-86B3-4E3F-BAC7-F1E54F374F97/batches/list]
103600630_00047 (imageset: 1E02B586-86B3-4E3F-BAC7-F1E54F374F97);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A21328DF-DA70-4950-91AA-8E68B749FFBC/manage/1E02B586-86B3-4E3F-BAC7-F1E54F374F97/batches/list]
103939435_00033 (imageset: 6F973670-8E9A-415B-AA66-94681BD00565);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A21328DF-DA70-4950-91AA-8E68B749FFBC/manage/6F973670-8E9A-415B-AA66-94681BD00565/batches/list]
103939435_00030 (imageset: 6F973670-8E9A-415B-AA66-94681BD00565);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A21328DF-DA70-4950-91AA-8E68B749FFBC/manage/6F973670-8E9A-415B-AA66-94681BD00565/batches/list]
103939435_00031 (imageset: 6F973670-8E9A-415B-AA66-94681BD00565);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A21328DF-DA70-4950-91AA-8E68B749FFBC/manage/6F973670-8E9A-415B-AA66-94681BD00565/batches/list]
103939435_00047 (imageset: 6F973670-8E9A-415B-AA66-94681BD00565);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A21328DF-DA70-4950-91AA-8E68B749FFBC/manage/6F973670-8E9A-415B-AA66-94681BD00565/batches/list]
103939435_00048 (imageset: 6F973670-8E9A-415B-AA66-94681BD00565);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A21328DF-DA70-4950-91AA-8E68B749FFBC/manage/6F973670-8E9A-415B-AA66-94681BD00565/batches/list]
