Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 111;
104132643_00685 (imageset: 7857BF94-8147-4FEF-952C-51A4DD45B0ED);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A2436A9B-4CEA-4C55-93DA-F3510D497F81/manage/7857BF94-8147-4FEF-952C-51A4DD45B0ED/batches/0480BB65-8516-4D8E-A004-C8C61AE6B364]
104132635_00903 (imageset: 424B0DDF-BB72-45B2-AB04-4DA7F491D600);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A2436A9B-4CEA-4C55-93DA-F3510D497F81/manage/424B0DDF-BB72-45B2-AB04-4DA7F491D600/batches/348C8566-47D9-44F9-B0E1-BB3A7FDBB09F]
104132642_00870 (imageset: B784517F-2804-4A56-9404-18CD7DF463C9);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A2436A9B-4CEA-4C55-93DA-F3510D497F81/manage/B784517F-2804-4A56-9404-18CD7DF463C9/batches/806D6585-C355-4EF6-B098-1F9422D312ED]
104132633_00722 (imageset: F398FBC9-37DA-4617-8C9E-AACD671608FE);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A2436A9B-4CEA-4C55-93DA-F3510D497F81/manage/F398FBC9-37DA-4617-8C9E-AACD671608FE/batches/60BB0247-2FD2-4745-A285-9746FBF1D5AE]
104132642_00877 (imageset: B784517F-2804-4A56-9404-18CD7DF463C9);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A2436A9B-4CEA-4C55-93DA-F3510D497F81/manage/B784517F-2804-4A56-9404-18CD7DF463C9/batches/712D9556-A228-44F0-8D9D-BC7BBB5690E5]
104132642_01209 (imageset: B784517F-2804-4A56-9404-18CD7DF463C9);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A2436A9B-4CEA-4C55-93DA-F3510D497F81/manage/B784517F-2804-4A56-9404-18CD7DF463C9/batches/7EA06503-BF4D-45A8-93C8-FAE5213BBB7A]
104132642_01447 (imageset: B784517F-2804-4A56-9404-18CD7DF463C9);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A2436A9B-4CEA-4C55-93DA-F3510D497F81/manage/B784517F-2804-4A56-9404-18CD7DF463C9/batches/638277DE-D830-42A0-B124-6606EEF4AD97]
104132642_01325 (imageset: B784517F-2804-4A56-9404-18CD7DF463C9);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A2436A9B-4CEA-4C55-93DA-F3510D497F81/manage/B784517F-2804-4A56-9404-18CD7DF463C9/batches/BBE39F36-B55A-48D9-AD55-AE40A3CBB105]
104132642_00599 (imageset: B784517F-2804-4A56-9404-18CD7DF463C9);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A2436A9B-4CEA-4C55-93DA-F3510D497F81/manage/B784517F-2804-4A56-9404-18CD7DF463C9/batches/ECB613F0-8A9E-4EDF-9DFF-ADC41957B562]
104132635_00073 (imageset: 424B0DDF-BB72-45B2-AB04-4DA7F491D600);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A2436A9B-4CEA-4C55-93DA-F3510D497F81/manage/424B0DDF-BB72-45B2-AB04-4DA7F491D600/batches/DA4E4B2F-EA06-4456-A4E4-3B6CC2D48702]
104132649_01531 (imageset: 94EFE2AD-945F-4BD0-9A51-E3E6D41176A2);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A2436A9B-4CEA-4C55-93DA-F3510D497F81/manage/94EFE2AD-945F-4BD0-9A51-E3E6D41176A2/batches/5F8F3890-CEEB-4597-977A-CC8FBCBBCAE4]
104132642_01155 (imageset: B784517F-2804-4A56-9404-18CD7DF463C9);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A2436A9B-4CEA-4C55-93DA-F3510D497F81/manage/B784517F-2804-4A56-9404-18CD7DF463C9/batches/6C4CD6AC-86FD-4993-BA7E-E06475C6FFC8]
104132642_01275 (imageset: B784517F-2804-4A56-9404-18CD7DF463C9);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A2436A9B-4CEA-4C55-93DA-F3510D497F81/manage/B784517F-2804-4A56-9404-18CD7DF463C9/batches/995042D0-5BC9-49AA-8188-E54067A53037]
104132642_01553 (imageset: B784517F-2804-4A56-9404-18CD7DF463C9);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A2436A9B-4CEA-4C55-93DA-F3510D497F81/manage/B784517F-2804-4A56-9404-18CD7DF463C9/batches/E682012A-A387-4C6B-9A90-68F0FD833053]
104132642_00860 (imageset: B784517F-2804-4A56-9404-18CD7DF463C9);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A2436A9B-4CEA-4C55-93DA-F3510D497F81/manage/B784517F-2804-4A56-9404-18CD7DF463C9/batches/4B2A719B-76AD-47BD-835A-383A0C186E8A]
104132642_01552 (imageset: B784517F-2804-4A56-9404-18CD7DF463C9);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A2436A9B-4CEA-4C55-93DA-F3510D497F81/manage/B784517F-2804-4A56-9404-18CD7DF463C9/batches/3379F322-07C0-4FDB-9EEA-3FD9E5AC5C27]
