Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES: 18381;
ReportItem instance counts;;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE: 3;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;IMAGE_NO_INDEXING_BATCH: 3;
A25AE7EC-61DC-4751-A138-273FE5802830;PROJECT;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL;[PROJECT|https://www.familysearch.org/indexing/admin-new/#/projects/A25AE7EC-61DC-4751-A138-273FE5802830/overview]
004874334_02589 (imageset: B740B411-EA98-42FA-9AFB-D66659077045);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A25AE7EC-61DC-4751-A138-273FE5802830/manage/B740B411-EA98-42FA-9AFB-D66659077045/batches/list]
004874334_02588 (imageset: B740B411-EA98-42FA-9AFB-D66659077045);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A25AE7EC-61DC-4751-A138-273FE5802830/manage/B740B411-EA98-42FA-9AFB-D66659077045/batches/list]
004875884_03112 (imageset: 70DAD48F-9E6F-4ED4-B739-B435EB3B082C);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A25AE7EC-61DC-4751-A138-273FE5802830/manage/70DAD48F-9E6F-4ED4-B739-B435EB3B082C/batches/list]
004875884_03111 (imageset: 70DAD48F-9E6F-4ED4-B739-B435EB3B082C);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A25AE7EC-61DC-4751-A138-273FE5802830/manage/70DAD48F-9E6F-4ED4-B739-B435EB3B082C/batches/list]
004875884_03110 (imageset: 70DAD48F-9E6F-4ED4-B739-B435EB3B082C);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A25AE7EC-61DC-4751-A138-273FE5802830/manage/70DAD48F-9E6F-4ED4-B739-B435EB3B082C/batches/list]
004875884_03114 (imageset: 70DAD48F-9E6F-4ED4-B739-B435EB3B082C);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A25AE7EC-61DC-4751-A138-273FE5802830/manage/70DAD48F-9E6F-4ED4-B739-B435EB3B082C/batches/list]
004875884_03113 (imageset: 70DAD48F-9E6F-4ED4-B739-B435EB3B082C);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A25AE7EC-61DC-4751-A138-273FE5802830/manage/70DAD48F-9E6F-4ED4-B739-B435EB3B082C/batches/list]
004874334_02587 (imageset: B740B411-EA98-42FA-9AFB-D66659077045);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A25AE7EC-61DC-4751-A138-273FE5802830/manage/B740B411-EA98-42FA-9AFB-D66659077045/batches/list]
004875668_01508 (imageset: 461ED763-8905-4317-9A0A-D23CAC4085A7);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A25AE7EC-61DC-4751-A138-273FE5802830/manage/461ED763-8905-4317-9A0A-D23CAC4085A7/batches/list]
004875668_01507 (imageset: 461ED763-8905-4317-9A0A-D23CAC4085A7);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A25AE7EC-61DC-4751-A138-273FE5802830/manage/461ED763-8905-4317-9A0A-D23CAC4085A7/batches/list]
004875907_00783 (imageset: F247262A-84C7-4488-8638-A3478A4DC753);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A25AE7EC-61DC-4751-A138-273FE5802830/manage/F247262A-84C7-4488-8638-A3478A4DC753/batches/list]
004875668_01506 (imageset: 461ED763-8905-4317-9A0A-D23CAC4085A7);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A25AE7EC-61DC-4751-A138-273FE5802830/manage/461ED763-8905-4317-9A0A-D23CAC4085A7/batches/list]
004874334_02580 (imageset: B740B411-EA98-42FA-9AFB-D66659077045);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A25AE7EC-61DC-4751-A138-273FE5802830/manage/B740B411-EA98-42FA-9AFB-D66659077045/batches/list]
004875668_01505 (imageset: 461ED763-8905-4317-9A0A-D23CAC4085A7);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A25AE7EC-61DC-4751-A138-273FE5802830/manage/461ED763-8905-4317-9A0A-D23CAC4085A7/batches/list]
004875668_01504 (imageset: 461ED763-8905-4317-9A0A-D23CAC4085A7);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A25AE7EC-61DC-4751-A138-273FE5802830/manage/461ED763-8905-4317-9A0A-D23CAC4085A7/batches/list]
004874372_01065 (imageset: FC9BCC07-2D0D-4004-A8F1-BFCB8B76E981);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A25AE7EC-61DC-4751-A138-273FE5802830/manage/FC9BCC07-2D0D-4004-A8F1-BFCB8B76E981/batches/list]
004874386_01950 (imageset: 147EC52F-EB8D-45A9-AAE3-891C58E7B726);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A25AE7EC-61DC-4751-A138-273FE5802830/manage/147EC52F-EB8D-45A9-AAE3-891C58E7B726/batches/list]
004874386_01954 (imageset: 147EC52F-EB8D-45A9-AAE3-891C58E7B726);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A25AE7EC-61DC-4751-A138-273FE5802830/manage/147EC52F-EB8D-45A9-AAE3-891C58E7B726/batches/list]
004874334_02576 (imageset: B740B411-EA98-42FA-9AFB-D66659077045);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A25AE7EC-61DC-4751-A138-273FE5802830/manage/B740B411-EA98-42FA-9AFB-D66659077045/batches/list]
004874318_02169 (imageset: C4B024AF-9224-4EDD-B5F1-71BD59971D5F);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A25AE7EC-61DC-4751-A138-273FE5802830/manage/C4B024AF-9224-4EDD-B5F1-71BD59971D5F/batches/list]
004875914_02026 (imageset: B4AA2C13-8E12-4E53-B184-EEBCB940263F);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A25AE7EC-61DC-4751-A138-273FE5802830/manage/B4AA2C13-8E12-4E53-B184-EEBCB940263F/batches/list]
004875684_01954 (imageset: D5E22CD5-55D4-479D-BBFA-3A60A5C80C6C);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A25AE7EC-61DC-4751-A138-273FE5802830/manage/D5E22CD5-55D4-479D-BBFA-3A60A5C80C6C/batches/list]
004874318_02170 (imageset: C4B024AF-9224-4EDD-B5F1-71BD59971D5F);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A25AE7EC-61DC-4751-A138-273FE5802830/manage/C4B024AF-9224-4EDD-B5F1-71BD59971D5F/batches/list]
004874267_02382 (imageset: 5BB26468-A4EC-498F-86DE-200E6CAF977C);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A25AE7EC-61DC-4751-A138-273FE5802830/manage/5BB26468-A4EC-498F-86DE-200E6CAF977C/batches/list]
004875914_02027 (imageset: B4AA2C13-8E12-4E53-B184-EEBCB940263F);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A25AE7EC-61DC-4751-A138-273FE5802830/manage/B4AA2C13-8E12-4E53-B184-EEBCB940263F/batches/list]
004875684_01953 (imageset: D5E22CD5-55D4-479D-BBFA-3A60A5C80C6C);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A25AE7EC-61DC-4751-A138-273FE5802830/manage/D5E22CD5-55D4-479D-BBFA-3A60A5C80C6C/batches/list]
004874267_02381 (imageset: 5BB26468-A4EC-498F-86DE-200E6CAF977C);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A25AE7EC-61DC-4751-A138-273FE5802830/manage/5BB26468-A4EC-498F-86DE-200E6CAF977C/batches/list]
004874267_02380 (imageset: 5BB26468-A4EC-498F-86DE-200E6CAF977C);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A25AE7EC-61DC-4751-A138-273FE5802830/manage/5BB26468-A4EC-498F-86DE-200E6CAF977C/batches/list]
004875914_02025 (imageset: B4AA2C13-8E12-4E53-B184-EEBCB940263F);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A25AE7EC-61DC-4751-A138-273FE5802830/manage/B4AA2C13-8E12-4E53-B184-EEBCB940263F/batches/list]
004875684_01955 (imageset: D5E22CD5-55D4-479D-BBFA-3A60A5C80C6C);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A25AE7EC-61DC-4751-A138-273FE5802830/manage/D5E22CD5-55D4-479D-BBFA-3A60A5C80C6C/batches/list]
004874318_02173 (imageset: C4B024AF-9224-4EDD-B5F1-71BD59971D5F);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A25AE7EC-61DC-4751-A138-273FE5802830/manage/C4B024AF-9224-4EDD-B5F1-71BD59971D5F/batches/list]
004874318_02172 (imageset: C4B024AF-9224-4EDD-B5F1-71BD59971D5F);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A25AE7EC-61DC-4751-A138-273FE5802830/manage/C4B024AF-9224-4EDD-B5F1-71BD59971D5F/batches/list]
004874318_02171 (imageset: C4B024AF-9224-4EDD-B5F1-71BD59971D5F);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A25AE7EC-61DC-4751-A138-273FE5802830/manage/C4B024AF-9224-4EDD-B5F1-71BD59971D5F/batches/list]
004875914_02028 (imageset: B4AA2C13-8E12-4E53-B184-EEBCB940263F);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A25AE7EC-61DC-4751-A138-273FE5802830/manage/B4AA2C13-8E12-4E53-B184-EEBCB940263F/batches/list]
004875914_02029 (imageset: B4AA2C13-8E12-4E53-B184-EEBCB940263F);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A25AE7EC-61DC-4751-A138-273FE5802830/manage/B4AA2C13-8E12-4E53-B184-EEBCB940263F/batches/list]
004874371_02532 (imageset: 1467BED5-6B83-41CE-A10C-97F0EFD144C3);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A25AE7EC-61DC-4751-A138-273FE5802830/manage/1467BED5-6B83-41CE-A10C-97F0EFD144C3/batches/list]
004874312_00569 (imageset: 845A76F1-6FFD-4161-9087-66A3764D2C10);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A25AE7EC-61DC-4751-A138-273FE5802830/manage/845A76F1-6FFD-4161-9087-66A3764D2C10/batches/list]
004874312_00568 (imageset: 845A76F1-6FFD-4161-9087-66A3764D2C10);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A25AE7EC-61DC-4751-A138-273FE5802830/manage/845A76F1-6FFD-4161-9087-66A3764D2C10/batches/list]
004874312_00567 (imageset: 845A76F1-6FFD-4161-9087-66A3764D2C10);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A25AE7EC-61DC-4751-A138-273FE5802830/manage/845A76F1-6FFD-4161-9087-66A3764D2C10/batches/list]
004533362_00224 (imageset: 9F0C1626-7CFC-4C4E-975B-1472151046B5);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A25AE7EC-61DC-4751-A138-273FE5802830/manage/9F0C1626-7CFC-4C4E-975B-1472151046B5/batches/list]
004874312_00566 (imageset: 845A76F1-6FFD-4161-9087-66A3764D2C10);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A25AE7EC-61DC-4751-A138-273FE5802830/manage/845A76F1-6FFD-4161-9087-66A3764D2C10/batches/list]
004875877_00542 (imageset: 49AE019E-46A9-46FC-BF86-9B53B0901D1D);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A25AE7EC-61DC-4751-A138-273FE5802830/manage/49AE019E-46A9-46FC-BF86-9B53B0901D1D/batches/list]
004875877_00541 (imageset: 49AE019E-46A9-46FC-BF86-9B53B0901D1D);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A25AE7EC-61DC-4751-A138-273FE5802830/manage/49AE019E-46A9-46FC-BF86-9B53B0901D1D/batches/list]
004874368_00590 (imageset: D4C3C91D-9279-4AE4-B9B5-214D0E25C158);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A25AE7EC-61DC-4751-A138-273FE5802830/manage/D4C3C91D-9279-4AE4-B9B5-214D0E25C158/batches/list]
004875877_00545 (imageset: 49AE019E-46A9-46FC-BF86-9B53B0901D1D);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A25AE7EC-61DC-4751-A138-273FE5802830/manage/49AE019E-46A9-46FC-BF86-9B53B0901D1D/batches/list]
