Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_REJECTED_STATE: 527;
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 4298;
004580093_01059 (imageset: 5FDC547F-D366-400E-AB42-C56C2EAA7246);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A343B930-B3E3-4FEC-BE45-FD38935BFA54/manage/5FDC547F-D366-400E-AB42-C56C2EAA7246/batches/0D9BAC06-254A-4A16-9337-BA54E98B8827]
004581057_00503 (imageset: D4806907-AE4B-4AC6-84DC-69D70A9E1197);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A343B930-B3E3-4FEC-BE45-FD38935BFA54/manage/D4806907-AE4B-4AC6-84DC-69D70A9E1197/batches/1A79E75D-2CC6-48CB-91A8-3B2BACF85C5B]
004581057_00504 (imageset: D4806907-AE4B-4AC6-84DC-69D70A9E1197);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A343B930-B3E3-4FEC-BE45-FD38935BFA54/manage/D4806907-AE4B-4AC6-84DC-69D70A9E1197/batches/1A79E75D-2CC6-48CB-91A8-3B2BACF85C5B]
004581057_00505 (imageset: D4806907-AE4B-4AC6-84DC-69D70A9E1197);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A343B930-B3E3-4FEC-BE45-FD38935BFA54/manage/D4806907-AE4B-4AC6-84DC-69D70A9E1197/batches/1A79E75D-2CC6-48CB-91A8-3B2BACF85C5B]
004581057_00506 (imageset: D4806907-AE4B-4AC6-84DC-69D70A9E1197);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A343B930-B3E3-4FEC-BE45-FD38935BFA54/manage/D4806907-AE4B-4AC6-84DC-69D70A9E1197/batches/1A79E75D-2CC6-48CB-91A8-3B2BACF85C5B]
004581057_00501 (imageset: D4806907-AE4B-4AC6-84DC-69D70A9E1197);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A343B930-B3E3-4FEC-BE45-FD38935BFA54/manage/D4806907-AE4B-4AC6-84DC-69D70A9E1197/batches/8B394D93-7333-4502-804D-8B886355991D]
004581057_00502 (imageset: D4806907-AE4B-4AC6-84DC-69D70A9E1197);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A343B930-B3E3-4FEC-BE45-FD38935BFA54/manage/D4806907-AE4B-4AC6-84DC-69D70A9E1197/batches/1A79E75D-2CC6-48CB-91A8-3B2BACF85C5B]
004581091_00191 (imageset: EEC8D5EE-B0B9-420B-B23A-795F5DB975DD);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A343B930-B3E3-4FEC-BE45-FD38935BFA54/manage/EEC8D5EE-B0B9-420B-B23A-795F5DB975DD/batches/AA73FF61-3F70-407A-9474-32E0D0294F29]
004581091_00190 (imageset: EEC8D5EE-B0B9-420B-B23A-795F5DB975DD);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A343B930-B3E3-4FEC-BE45-FD38935BFA54/manage/EEC8D5EE-B0B9-420B-B23A-795F5DB975DD/batches/AA73FF61-3F70-407A-9474-32E0D0294F29]
004580125_02231 (imageset: D28D824B-2EDF-4BD6-BC1B-48B43E3F2F36);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A343B930-B3E3-4FEC-BE45-FD38935BFA54/manage/D28D824B-2EDF-4BD6-BC1B-48B43E3F2F36/batches/B3643D13-3BE7-4620-BAFE-AD5AAD598386]
004580125_02232 (imageset: D28D824B-2EDF-4BD6-BC1B-48B43E3F2F36);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A343B930-B3E3-4FEC-BE45-FD38935BFA54/manage/D28D824B-2EDF-4BD6-BC1B-48B43E3F2F36/batches/B3643D13-3BE7-4620-BAFE-AD5AAD598386]
