Item;Item Type;Note;Item Link
ReportItem instance counts;;PROJECT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;BATCH_SHOULD_BE_EXPORTED: 329;
ReportItem instance counts;;PROJECT_AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE: 7052;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 17;
ReportItem instance counts;;BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 312;
A36797A7-EB5D-4385-B82A-631373342699;PROJECT;PROJECT_BATCH_COUNTS_ARE_NOT_EQUAL \\ PROJECT_AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL \\ PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL;[PROJECT|https:///www.familysearch.org/indexing/admin-new/#/projects/A36797A7-EB5D-4385-B82A-631373342699/overview]
005253467_05600 (imageset: 830649FD-FA2F-45B3-9071-59B8FD0EFAA1);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A36797A7-EB5D-4385-B82A-631373342699/manage/830649FD-FA2F-45B3-9071-59B8FD0EFAA1/batches/5EC81845-23AD-431A-A211-BE20FAFEC5D3]
005253453_00759 (imageset: C0F06B4F-C1D6-484B-BDA7-F95021B605B9);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A36797A7-EB5D-4385-B82A-631373342699/manage/C0F06B4F-C1D6-484B-BDA7-F95021B605B9/batches/AD9CCDE9-F124-437B-AFDF-162424C8CC98]
005253467_01256 (imageset: 830649FD-FA2F-45B3-9071-59B8FD0EFAA1);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A36797A7-EB5D-4385-B82A-631373342699/manage/830649FD-FA2F-45B3-9071-59B8FD0EFAA1/batches/5EC81845-23AD-431A-A211-BE20FAFEC5D3]
005253467_01257 (imageset: 830649FD-FA2F-45B3-9071-59B8FD0EFAA1);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A36797A7-EB5D-4385-B82A-631373342699/manage/830649FD-FA2F-45B3-9071-59B8FD0EFAA1/batches/5EC81845-23AD-431A-A211-BE20FAFEC5D3]
005253453_00757 (imageset: C0F06B4F-C1D6-484B-BDA7-F95021B605B9);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A36797A7-EB5D-4385-B82A-631373342699/manage/C0F06B4F-C1D6-484B-BDA7-F95021B605B9/batches/AD9CCDE9-F124-437B-AFDF-162424C8CC98]
