Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE:NOT_IN_IMAGE_EXPORT_TABLE: 100;
ReportItem instance counts;;IMAGE:NO_INDEXING_BATCH: 100;
004298261_00049 (imageset: EC70DDA0-39EF-4E68-B8E8-A8CD8D65ACBF);IMAGE;NOT_IN_IMAGE_EXPORT_TABLE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A4BCB53C-B37C-4E45-BF20-519B58599789/manage/EC70DDA0-39EF-4E68-B8E8-A8CD8D65ACBF/batches/CE69CEDF-D602-414F-BD3E-28185F8C935F]
004298261_00049 (imageset: EC70DDA0-39EF-4E68-B8E8-A8CD8D65ACBF);IMAGE;NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A4BCB53C-B37C-4E45-BF20-519B58599789/manage/EC70DDA0-39EF-4E68-B8E8-A8CD8D65ACBF/batches/CE69CEDF-D602-414F-BD3E-28185F8C935F]
004298261_00016 (imageset: EC70DDA0-39EF-4E68-B8E8-A8CD8D65ACBF);IMAGE;NOT_IN_IMAGE_EXPORT_TABLE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A4BCB53C-B37C-4E45-BF20-519B58599789/manage/EC70DDA0-39EF-4E68-B8E8-A8CD8D65ACBF/batches/CE69CEDF-D602-414F-BD3E-28185F8C935F]
004298261_00016 (imageset: EC70DDA0-39EF-4E68-B8E8-A8CD8D65ACBF);IMAGE;NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A4BCB53C-B37C-4E45-BF20-519B58599789/manage/EC70DDA0-39EF-4E68-B8E8-A8CD8D65ACBF/batches/CE69CEDF-D602-414F-BD3E-28185F8C935F]
004298261_00085 (imageset: EC70DDA0-39EF-4E68-B8E8-A8CD8D65ACBF);IMAGE;NOT_IN_IMAGE_EXPORT_TABLE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A4BCB53C-B37C-4E45-BF20-519B58599789/manage/EC70DDA0-39EF-4E68-B8E8-A8CD8D65ACBF/batches/CE69CEDF-D602-414F-BD3E-28185F8C935F]
004298261_00085 (imageset: EC70DDA0-39EF-4E68-B8E8-A8CD8D65ACBF);IMAGE;NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A4BCB53C-B37C-4E45-BF20-519B58599789/manage/EC70DDA0-39EF-4E68-B8E8-A8CD8D65ACBF/batches/CE69CEDF-D602-414F-BD3E-28185F8C935F]
004298261_00052 (imageset: EC70DDA0-39EF-4E68-B8E8-A8CD8D65ACBF);IMAGE;NOT_IN_IMAGE_EXPORT_TABLE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A4BCB53C-B37C-4E45-BF20-519B58599789/manage/EC70DDA0-39EF-4E68-B8E8-A8CD8D65ACBF/batches/CE69CEDF-D602-414F-BD3E-28185F8C935F]
004298261_00052 (imageset: EC70DDA0-39EF-4E68-B8E8-A8CD8D65ACBF);IMAGE;NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A4BCB53C-B37C-4E45-BF20-519B58599789/manage/EC70DDA0-39EF-4E68-B8E8-A8CD8D65ACBF/batches/CE69CEDF-D602-414F-BD3E-28185F8C935F]
004298261_00014 (imageset: EC70DDA0-39EF-4E68-B8E8-A8CD8D65ACBF);IMAGE;NOT_IN_IMAGE_EXPORT_TABLE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A4BCB53C-B37C-4E45-BF20-519B58599789/manage/EC70DDA0-39EF-4E68-B8E8-A8CD8D65ACBF/batches/CE69CEDF-D602-414F-BD3E-28185F8C935F]
004298261_00014 (imageset: EC70DDA0-39EF-4E68-B8E8-A8CD8D65ACBF);IMAGE;NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A4BCB53C-B37C-4E45-BF20-519B58599789/manage/EC70DDA0-39EF-4E68-B8E8-A8CD8D65ACBF/batches/CE69CEDF-D602-414F-BD3E-28185F8C935F]
004298261_00054 (imageset: EC70DDA0-39EF-4E68-B8E8-A8CD8D65ACBF);IMAGE;NOT_IN_IMAGE_EXPORT_TABLE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A4BCB53C-B37C-4E45-BF20-519B58599789/manage/EC70DDA0-39EF-4E68-B8E8-A8CD8D65ACBF/batches/CE69CEDF-D602-414F-BD3E-28185F8C935F]
004298261_00054 (imageset: EC70DDA0-39EF-4E68-B8E8-A8CD8D65ACBF);IMAGE;NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A4BCB53C-B37C-4E45-BF20-519B58599789/manage/EC70DDA0-39EF-4E68-B8E8-A8CD8D65ACBF/batches/CE69CEDF-D602-414F-BD3E-28185F8C935F]
004298261_00047 (imageset: EC70DDA0-39EF-4E68-B8E8-A8CD8D65ACBF);IMAGE;NOT_IN_IMAGE_EXPORT_TABLE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A4BCB53C-B37C-4E45-BF20-519B58599789/manage/EC70DDA0-39EF-4E68-B8E8-A8CD8D65ACBF/batches/CE69CEDF-D602-414F-BD3E-28185F8C935F]
004298261_00047 (imageset: EC70DDA0-39EF-4E68-B8E8-A8CD8D65ACBF);IMAGE;NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A4BCB53C-B37C-4E45-BF20-519B58599789/manage/EC70DDA0-39EF-4E68-B8E8-A8CD8D65ACBF/batches/CE69CEDF-D602-414F-BD3E-28185F8C935F]
004298261_00090 (imageset: EC70DDA0-39EF-4E68-B8E8-A8CD8D65ACBF);IMAGE;NOT_IN_IMAGE_EXPORT_TABLE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A4BCB53C-B37C-4E45-BF20-519B58599789/manage/EC70DDA0-39EF-4E68-B8E8-A8CD8D65ACBF/batches/CE69CEDF-D602-414F-BD3E-28185F8C935F]
