Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 20;
101797265_00293 (imageset: 1B559661-A9AE-41C9-A7FC-6035D739F916);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A4DFF96C-4626-4CDD-BC2B-662D7EE1FC86/manage/1B559661-A9AE-41C9-A7FC-6035D739F916/batches/7915AB13-095C-4323-8969-BA0099B6FC00]
101797265_00172 (imageset: 1B559661-A9AE-41C9-A7FC-6035D739F916);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A4DFF96C-4626-4CDD-BC2B-662D7EE1FC86/manage/1B559661-A9AE-41C9-A7FC-6035D739F916/batches/0E4F5560-B6AD-43DE-8836-D338D0F17A8D]
101797265_00292 (imageset: 1B559661-A9AE-41C9-A7FC-6035D739F916);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A4DFF96C-4626-4CDD-BC2B-662D7EE1FC86/manage/1B559661-A9AE-41C9-A7FC-6035D739F916/batches/7915AB13-095C-4323-8969-BA0099B6FC00]
101797265_00171 (imageset: 1B559661-A9AE-41C9-A7FC-6035D739F916);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A4DFF96C-4626-4CDD-BC2B-662D7EE1FC86/manage/1B559661-A9AE-41C9-A7FC-6035D739F916/batches/0E4F5560-B6AD-43DE-8836-D338D0F17A8D]
101797265_00295 (imageset: 1B559661-A9AE-41C9-A7FC-6035D739F916);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A4DFF96C-4626-4CDD-BC2B-662D7EE1FC86/manage/1B559661-A9AE-41C9-A7FC-6035D739F916/batches/7915AB13-095C-4323-8969-BA0099B6FC00]
101797265_00174 (imageset: 1B559661-A9AE-41C9-A7FC-6035D739F916);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A4DFF96C-4626-4CDD-BC2B-662D7EE1FC86/manage/1B559661-A9AE-41C9-A7FC-6035D739F916/batches/0E4F5560-B6AD-43DE-8836-D338D0F17A8D]
101797265_00294 (imageset: 1B559661-A9AE-41C9-A7FC-6035D739F916);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A4DFF96C-4626-4CDD-BC2B-662D7EE1FC86/manage/1B559661-A9AE-41C9-A7FC-6035D739F916/batches/7915AB13-095C-4323-8969-BA0099B6FC00]
101797265_00291 (imageset: 1B559661-A9AE-41C9-A7FC-6035D739F916);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A4DFF96C-4626-4CDD-BC2B-662D7EE1FC86/manage/1B559661-A9AE-41C9-A7FC-6035D739F916/batches/7915AB13-095C-4323-8969-BA0099B6FC00]
101797265_00170 (imageset: 1B559661-A9AE-41C9-A7FC-6035D739F916);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A4DFF96C-4626-4CDD-BC2B-662D7EE1FC86/manage/1B559661-A9AE-41C9-A7FC-6035D739F916/batches/0E4F5560-B6AD-43DE-8836-D338D0F17A8D]
101797265_00290 (imageset: 1B559661-A9AE-41C9-A7FC-6035D739F916);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A4DFF96C-4626-4CDD-BC2B-662D7EE1FC86/manage/1B559661-A9AE-41C9-A7FC-6035D739F916/batches/7915AB13-095C-4323-8969-BA0099B6FC00]
101797265_00169 (imageset: 1B559661-A9AE-41C9-A7FC-6035D739F916);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A4DFF96C-4626-4CDD-BC2B-662D7EE1FC86/manage/1B559661-A9AE-41C9-A7FC-6035D739F916/batches/0E4F5560-B6AD-43DE-8836-D338D0F17A8D]
101797265_00289 (imageset: 1B559661-A9AE-41C9-A7FC-6035D739F916);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A4DFF96C-4626-4CDD-BC2B-662D7EE1FC86/manage/1B559661-A9AE-41C9-A7FC-6035D739F916/batches/7915AB13-095C-4323-8969-BA0099B6FC00]
101797265_00168 (imageset: 1B559661-A9AE-41C9-A7FC-6035D739F916);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A4DFF96C-4626-4CDD-BC2B-662D7EE1FC86/manage/1B559661-A9AE-41C9-A7FC-6035D739F916/batches/0E4F5560-B6AD-43DE-8836-D338D0F17A8D]
101797265_00247 (imageset: 1B559661-A9AE-41C9-A7FC-6035D739F916);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A4DFF96C-4626-4CDD-BC2B-662D7EE1FC86/manage/1B559661-A9AE-41C9-A7FC-6035D739F916/batches/528BF8F9-79DB-4E2F-9802-B8A3F5C89FE1]
101797265_00165 (imageset: 1B559661-A9AE-41C9-A7FC-6035D739F916);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A4DFF96C-4626-4CDD-BC2B-662D7EE1FC86/manage/1B559661-A9AE-41C9-A7FC-6035D739F916/batches/0E4F5560-B6AD-43DE-8836-D338D0F17A8D]
101797265_00296 (imageset: 1B559661-A9AE-41C9-A7FC-6035D739F916);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A4DFF96C-4626-4CDD-BC2B-662D7EE1FC86/manage/1B559661-A9AE-41C9-A7FC-6035D739F916/batches/7915AB13-095C-4323-8969-BA0099B6FC00]
101797265_00288 (imageset: 1B559661-A9AE-41C9-A7FC-6035D739F916);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A4DFF96C-4626-4CDD-BC2B-662D7EE1FC86/manage/1B559661-A9AE-41C9-A7FC-6035D739F916/batches/7915AB13-095C-4323-8969-BA0099B6FC00]
