Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 5400;
004246166_00817 (imageset: 5F0C2CB1-A477-4366-8D42-BA4B1448DD86);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A7054A29-FD47-4740-A510-F082F961DC7C/manage/5F0C2CB1-A477-4366-8D42-BA4B1448DD86/batches/BD24830E-9072-4CBF-9D7D-B76CB89F8EF7]
004246166_00818 (imageset: 5F0C2CB1-A477-4366-8D42-BA4B1448DD86);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A7054A29-FD47-4740-A510-F082F961DC7C/manage/5F0C2CB1-A477-4366-8D42-BA4B1448DD86/batches/BD24830E-9072-4CBF-9D7D-B76CB89F8EF7]
004246166_00815 (imageset: 5F0C2CB1-A477-4366-8D42-BA4B1448DD86);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A7054A29-FD47-4740-A510-F082F961DC7C/manage/5F0C2CB1-A477-4366-8D42-BA4B1448DD86/batches/BD24830E-9072-4CBF-9D7D-B76CB89F8EF7]
004246166_00816 (imageset: 5F0C2CB1-A477-4366-8D42-BA4B1448DD86);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A7054A29-FD47-4740-A510-F082F961DC7C/manage/5F0C2CB1-A477-4366-8D42-BA4B1448DD86/batches/BD24830E-9072-4CBF-9D7D-B76CB89F8EF7]
004246271_00827 (imageset: A233AD0B-3BBC-459A-8177-B6BC5452B274);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A7054A29-FD47-4740-A510-F082F961DC7C/manage/A233AD0B-3BBC-459A-8177-B6BC5452B274/batches/9AF505D5-D48F-49B9-A946-12C6E9510871]
004246271_00828 (imageset: A233AD0B-3BBC-459A-8177-B6BC5452B274);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A7054A29-FD47-4740-A510-F082F961DC7C/manage/A233AD0B-3BBC-459A-8177-B6BC5452B274/batches/9AF505D5-D48F-49B9-A946-12C6E9510871]
004246271_00829 (imageset: A233AD0B-3BBC-459A-8177-B6BC5452B274);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A7054A29-FD47-4740-A510-F082F961DC7C/manage/A233AD0B-3BBC-459A-8177-B6BC5452B274/batches/9AF505D5-D48F-49B9-A946-12C6E9510871]
004246271_00826 (imageset: A233AD0B-3BBC-459A-8177-B6BC5452B274);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A7054A29-FD47-4740-A510-F082F961DC7C/manage/A233AD0B-3BBC-459A-8177-B6BC5452B274/batches/9AF505D5-D48F-49B9-A946-12C6E9510871]
004246166_00828 (imageset: 5F0C2CB1-A477-4366-8D42-BA4B1448DD86);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A7054A29-FD47-4740-A510-F082F961DC7C/manage/5F0C2CB1-A477-4366-8D42-BA4B1448DD86/batches/18EC21CA-1F79-47F6-B612-1135892AEAB6]
