Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_REJECTED_STATE: 34;
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 1006;
104017742_00144 (imageset: BDF6BDE3-1365-45F6-B0DF-F39376F94490);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A7477752-A494-4AF3-9098-7DDD0CE65670/manage/BDF6BDE3-1365-45F6-B0DF-F39376F94490/batches/DD774A84-F3F5-45AB-9D78-67F8BE8E5B7D]
104110243_00253 (imageset: 543E0F99-5BAA-4461-8B6B-A651933F7FA9);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A7477752-A494-4AF3-9098-7DDD0CE65670/manage/543E0F99-5BAA-4461-8B6B-A651933F7FA9/batches/D86116E3-D5DC-4F84-B99F-2C8B8A8736A3]
104202451_00251 (imageset: A12004E6-A5EC-4352-93C5-EF290140BFBB);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A7477752-A494-4AF3-9098-7DDD0CE65670/manage/A12004E6-A5EC-4352-93C5-EF290140BFBB/batches/5E9CF1AA-585B-48AB-9721-D2FDB03E472F]
104202451_00253 (imageset: A12004E6-A5EC-4352-93C5-EF290140BFBB);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A7477752-A494-4AF3-9098-7DDD0CE65670/manage/A12004E6-A5EC-4352-93C5-EF290140BFBB/batches/5E9CF1AA-585B-48AB-9721-D2FDB03E472F]
103966331_00208 (imageset: 71538B2C-F868-4E73-BA4B-89FAA3A8BC78);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A7477752-A494-4AF3-9098-7DDD0CE65670/manage/71538B2C-F868-4E73-BA4B-89FAA3A8BC78/batches/E7B78375-FEFD-40EC-B744-5BD693CF332A]
103966331_00209 (imageset: 71538B2C-F868-4E73-BA4B-89FAA3A8BC78);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A7477752-A494-4AF3-9098-7DDD0CE65670/manage/71538B2C-F868-4E73-BA4B-89FAA3A8BC78/batches/E7B78375-FEFD-40EC-B744-5BD693CF332A]
103966331_00206 (imageset: 71538B2C-F868-4E73-BA4B-89FAA3A8BC78);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A7477752-A494-4AF3-9098-7DDD0CE65670/manage/71538B2C-F868-4E73-BA4B-89FAA3A8BC78/batches/E7B78375-FEFD-40EC-B744-5BD693CF332A]
103966331_00207 (imageset: 71538B2C-F868-4E73-BA4B-89FAA3A8BC78);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A7477752-A494-4AF3-9098-7DDD0CE65670/manage/71538B2C-F868-4E73-BA4B-89FAA3A8BC78/batches/E7B78375-FEFD-40EC-B744-5BD693CF332A]
103966331_00204 (imageset: 71538B2C-F868-4E73-BA4B-89FAA3A8BC78);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A7477752-A494-4AF3-9098-7DDD0CE65670/manage/71538B2C-F868-4E73-BA4B-89FAA3A8BC78/batches/EB80ACC5-9189-423E-A627-FC06603E034F]
