Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 309;
101432771_00340 (imageset: 9E497F96-DB08-4BF8-A819-F739749E2EFC);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A86706F1-6B69-4E00-A031-362A543F26B8/manage/9E497F96-DB08-4BF8-A819-F739749E2EFC/batches/30C88AAC-9922-4EC0-B41E-9F44B2FA180F]
102168079_00048 (imageset: D7B7E711-41DA-4AFB-AC84-11BAE21C8EE3);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A86706F1-6B69-4E00-A031-362A543F26B8/manage/D7B7E711-41DA-4AFB-AC84-11BAE21C8EE3/batches/F955B82B-96A8-4155-950A-712FC2CF8EE4]
102168079_00047 (imageset: D7B7E711-41DA-4AFB-AC84-11BAE21C8EE3);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A86706F1-6B69-4E00-A031-362A543F26B8/manage/D7B7E711-41DA-4AFB-AC84-11BAE21C8EE3/batches/F955B82B-96A8-4155-950A-712FC2CF8EE4]
101432771_00101 (imageset: 9E497F96-DB08-4BF8-A819-F739749E2EFC);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A86706F1-6B69-4E00-A031-362A543F26B8/manage/9E497F96-DB08-4BF8-A819-F739749E2EFC/batches/54DC3BB0-7D2F-4135-B461-12198C3979BF]
101432771_00100 (imageset: 9E497F96-DB08-4BF8-A819-F739749E2EFC);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A86706F1-6B69-4E00-A031-362A543F26B8/manage/9E497F96-DB08-4BF8-A819-F739749E2EFC/batches/54DC3BB0-7D2F-4135-B461-12198C3979BF]
101227509_00039 (imageset: C29F1595-621A-45EE-840A-6D2F37F5467E);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A86706F1-6B69-4E00-A031-362A543F26B8/manage/C29F1595-621A-45EE-840A-6D2F37F5467E/batches/76A162C8-1E9D-4FB1-9F71-DFBD75C6E996]
101467686_00363 (imageset: 632025F1-50D7-42FE-8C94-B06FACCD7E53);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A86706F1-6B69-4E00-A031-362A543F26B8/manage/632025F1-50D7-42FE-8C94-B06FACCD7E53/batches/CF359BF3-E800-43C4-9718-635337631270]
101467686_00362 (imageset: 632025F1-50D7-42FE-8C94-B06FACCD7E53);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A86706F1-6B69-4E00-A031-362A543F26B8/manage/632025F1-50D7-42FE-8C94-B06FACCD7E53/batches/CF359BF3-E800-43C4-9718-635337631270]
102631036_00054 (imageset: 227F227C-2FB9-412B-9C6C-2BBE8AD6D9ED);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/A86706F1-6B69-4E00-A031-362A543F26B8/manage/227F227C-2FB9-412B-9C6C-2BBE8AD6D9ED/batches/7AB49BC3-4A87-468B-B869-CC1E1AFBF6E5]
