Item;Item Type;Note;Item Link
ReportItem instance counts;;PROJECT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT_AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 100;
B18AF8C2-AE6F-4B4C-881B-906C521AA6A4;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/A8F8FD6F-E47D-42AC-B023-FEC22E8FD7F7/manage/074EF035-D4C2-4072-AE17-BDE94F72E3F0/batches/B18AF8C2-AE6F-4B4C-881B-906C521AA6A4]
D048834A-1A3D-42AE-B7D8-3BE43595642C;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/A8F8FD6F-E47D-42AC-B023-FEC22E8FD7F7/manage/3B647E92-0341-4CAD-9EF5-1F8045C51FAF/batches/D048834A-1A3D-42AE-B7D8-3BE43595642C]
72D54334-8EF4-4AFB-921F-A744A6B21C9B;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/A8F8FD6F-E47D-42AC-B023-FEC22E8FD7F7/manage/446644BE-57DB-47D8-B102-96BB43D1FD9D/batches/72D54334-8EF4-4AFB-921F-A744A6B21C9B]
A33DBD16-3056-409C-992B-2F3A23730FB2;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/A8F8FD6F-E47D-42AC-B023-FEC22E8FD7F7/manage/3B647E92-0341-4CAD-9EF5-1F8045C51FAF/batches/A33DBD16-3056-409C-992B-2F3A23730FB2]
D37C09D0-A9AA-4E9E-ADC8-7DED0EC225B0;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/A8F8FD6F-E47D-42AC-B023-FEC22E8FD7F7/manage/8A122F72-A1B0-4233-A092-E5FF359A2B4A/batches/D37C09D0-A9AA-4E9E-ADC8-7DED0EC225B0]
90C63498-D22E-4AA0-93E3-5F5FF0AA96EF;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/A8F8FD6F-E47D-42AC-B023-FEC22E8FD7F7/manage/594CE202-8802-471B-B1C8-62DB4D0BD861/batches/90C63498-D22E-4AA0-93E3-5F5FF0AA96EF]
8454ED9F-4364-4713-9A45-E5BAE04EAA1B;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/A8F8FD6F-E47D-42AC-B023-FEC22E8FD7F7/manage/20D39785-6ABD-4BB4-9BCA-AEA4FA784360/batches/8454ED9F-4364-4713-9A45-E5BAE04EAA1B]
67D9BA30-2B68-4B32-B4A9-1061FA990382;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/A8F8FD6F-E47D-42AC-B023-FEC22E8FD7F7/manage/DE6DE03A-304F-430A-A356-1B29304BFD10/batches/67D9BA30-2B68-4B32-B4A9-1061FA990382]
a8f8fd6f-e47d-42ac-b023-fec22e8fd7f7;PROJECT;PROJECT_BATCH_COUNTS_ARE_NOT_EQUAL \\ PROJECT_AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL \\ PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL;[PROJECT|https://www.familysearch.org/indexing/admin-new/#/projects/a8f8fd6f-e47d-42ac-b023-fec22e8fd7f7/overview]
6D4D2E89-4FE8-4F23-BC7D-096ADE5DD335;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/A8F8FD6F-E47D-42AC-B023-FEC22E8FD7F7/manage/6CA07A31-A512-4952-90A1-5ED630AB1613/batches/6D4D2E89-4FE8-4F23-BC7D-096ADE5DD335]
FC1629FE-D373-4BB5-BEB4-B5051D355B03;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/A8F8FD6F-E47D-42AC-B023-FEC22E8FD7F7/manage/87EBF83C-065F-4498-B98D-443CDF109095/batches/FC1629FE-D373-4BB5-BEB4-B5051D355B03]
8462ADFD-09C3-487F-9075-7240CE654DB8;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/A8F8FD6F-E47D-42AC-B023-FEC22E8FD7F7/manage/DE6DE03A-304F-430A-A356-1B29304BFD10/batches/8462ADFD-09C3-487F-9075-7240CE654DB8]
EAA7F115-9A19-4156-9D38-CA402C971476;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/A8F8FD6F-E47D-42AC-B023-FEC22E8FD7F7/manage/F2472BFA-E829-4F1A-A08D-4A7026A08384/batches/EAA7F115-9A19-4156-9D38-CA402C971476]
31B193FC-02E0-454E-96A6-084ECC9CD970;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/A8F8FD6F-E47D-42AC-B023-FEC22E8FD7F7/manage/EB6D00FF-37F5-4B18-8970-8796B9A2002A/batches/31B193FC-02E0-454E-96A6-084ECC9CD970]
5BDFFF57-BBB6-463C-AB23-A3609BBBC86C;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/A8F8FD6F-E47D-42AC-B023-FEC22E8FD7F7/manage/50985FEE-382C-488F-A3D5-3AADE2ABAE2B/batches/5BDFFF57-BBB6-463C-AB23-A3609BBBC86C]
B02A090F-4B48-492C-B68C-97DA6DB0625E;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/A8F8FD6F-E47D-42AC-B023-FEC22E8FD7F7/manage/8A122F72-A1B0-4233-A092-E5FF359A2B4A/batches/B02A090F-4B48-492C-B68C-97DA6DB0625E]
7F921E60-6852-4086-89A7-6FC918E03A4D;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/A8F8FD6F-E47D-42AC-B023-FEC22E8FD7F7/manage/BB58BF5A-E4C9-4773-82F6-A4E8E8E2CD73/batches/7F921E60-6852-4086-89A7-6FC918E03A4D]
53DC6911-B7D8-4D48-A976-EFE447F27C15;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/A8F8FD6F-E47D-42AC-B023-FEC22E8FD7F7/manage/BB58BF5A-E4C9-4773-82F6-A4E8E8E2CD73/batches/53DC6911-B7D8-4D48-A976-EFE447F27C15]
58CE8243-9778-4796-902E-94DA906BE0A5;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/A8F8FD6F-E47D-42AC-B023-FEC22E8FD7F7/manage/8A122F72-A1B0-4233-A092-E5FF359A2B4A/batches/58CE8243-9778-4796-902E-94DA906BE0A5]
F5139846-A4B4-4F60-8B29-6C20C6B978F0;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/A8F8FD6F-E47D-42AC-B023-FEC22E8FD7F7/manage/6FA2F728-D212-4798-A312-420ADF7484B9/batches/F5139846-A4B4-4F60-8B29-6C20C6B978F0]
4A93428F-8829-4C17-A98B-7A8F4009155E;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/A8F8FD6F-E47D-42AC-B023-FEC22E8FD7F7/manage/EB6D00FF-37F5-4B18-8970-8796B9A2002A/batches/4A93428F-8829-4C17-A98B-7A8F4009155E]
78E4A3F5-7D74-40AE-90A2-E10F3FC75773;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/A8F8FD6F-E47D-42AC-B023-FEC22E8FD7F7/manage/E5781D25-D335-497C-B377-82A5C4315E4D/batches/78E4A3F5-7D74-40AE-90A2-E10F3FC75773]
261B531C-35F5-49DE-9618-0B70411802B7;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/A8F8FD6F-E47D-42AC-B023-FEC22E8FD7F7/manage/B1739CB2-A140-466D-9FC8-489EC06599E8/batches/261B531C-35F5-49DE-9618-0B70411802B7]
33B1D992-CD10-4730-AFA2-80E72EB39AD8;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/A8F8FD6F-E47D-42AC-B023-FEC22E8FD7F7/manage/594CE202-8802-471B-B1C8-62DB4D0BD861/batches/33B1D992-CD10-4730-AFA2-80E72EB39AD8]
84ED713C-6036-4FBC-84F3-2135151A41B0;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/A8F8FD6F-E47D-42AC-B023-FEC22E8FD7F7/manage/BE8A3B34-A510-4AA2-9D7E-3A1596B31C3A/batches/84ED713C-6036-4FBC-84F3-2135151A41B0]
7DA1EB3A-9A15-4176-B877-166172F845FD;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/A8F8FD6F-E47D-42AC-B023-FEC22E8FD7F7/manage/3B647E92-0341-4CAD-9EF5-1F8045C51FAF/batches/7DA1EB3A-9A15-4176-B877-166172F845FD]
9BBB93CB-8850-472D-B64F-C36C4ABD0E37;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/A8F8FD6F-E47D-42AC-B023-FEC22E8FD7F7/manage/BB58BF5A-E4C9-4773-82F6-A4E8E8E2CD73/batches/9BBB93CB-8850-472D-B64F-C36C4ABD0E37]
0807CCCE-41D0-4283-9ED5-A0CB59967761;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/A8F8FD6F-E47D-42AC-B023-FEC22E8FD7F7/manage/A5516340-F465-4E10-85FB-617C6E70D1AB/batches/0807CCCE-41D0-4283-9ED5-A0CB59967761]
9487ADCA-B902-4263-B284-CC2193458F7F;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/A8F8FD6F-E47D-42AC-B023-FEC22E8FD7F7/manage/594CE202-8802-471B-B1C8-62DB4D0BD861/batches/9487ADCA-B902-4263-B284-CC2193458F7F]
