Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 128;
004134146_00074 (imageset: 505E279F-1895-4466-8DA3-B7C271AE6921);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AB484CE6-DBBC-4995-9672-8F1BF8F76901/manage/505E279F-1895-4466-8DA3-B7C271AE6921/batches/4445A52D-319F-45F1-97F0-A01FE7937BF0]
004134311_00017 (imageset: D40CBA26-8A8B-4474-AB21-75ADF149F1BC);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AB484CE6-DBBC-4995-9672-8F1BF8F76901/manage/D40CBA26-8A8B-4474-AB21-75ADF149F1BC/batches/7ECA8615-55BB-4568-BCB1-A211A2CBFE87]
004134185_00024 (imageset: 71298F7E-5076-4EA6-A2E4-B3E3F68F3323);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AB484CE6-DBBC-4995-9672-8F1BF8F76901/manage/71298F7E-5076-4EA6-A2E4-B3E3F68F3323/batches/39F18763-D0AD-4233-A37F-C465FD4B4FC0]
004134307_00005 (imageset: 15F174E6-03FC-42B3-81BE-D9601C11BF2A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AB484CE6-DBBC-4995-9672-8F1BF8F76901/manage/15F174E6-03FC-42B3-81BE-D9601C11BF2A/batches/52146D59-1FD0-41ED-A6CF-1D4C8A5D738D]
004134309_00028 (imageset: F8CEAA5C-1D3E-47BB-9E73-D026F58E2E41);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AB484CE6-DBBC-4995-9672-8F1BF8F76901/manage/F8CEAA5C-1D3E-47BB-9E73-D026F58E2E41/batches/EFE7EB47-9487-4D21-8B00-9A3200D6A6DB]
004134307_00007 (imageset: 15F174E6-03FC-42B3-81BE-D9601C11BF2A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AB484CE6-DBBC-4995-9672-8F1BF8F76901/manage/15F174E6-03FC-42B3-81BE-D9601C11BF2A/batches/34481E7F-7F61-45A5-A535-FE300F6E4601]
004134307_00006 (imageset: 15F174E6-03FC-42B3-81BE-D9601C11BF2A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AB484CE6-DBBC-4995-9672-8F1BF8F76901/manage/15F174E6-03FC-42B3-81BE-D9601C11BF2A/batches/AA30D769-AF67-4121-886E-526ABE0AC740]
004134177_00046 (imageset: 4297A0B5-F320-447D-A033-609C4624E409);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AB484CE6-DBBC-4995-9672-8F1BF8F76901/manage/4297A0B5-F320-447D-A033-609C4624E409/batches/9D585BA1-82C2-4703-91E8-CDDA049774A1]
004134177_00048 (imageset: 4297A0B5-F320-447D-A033-609C4624E409);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AB484CE6-DBBC-4995-9672-8F1BF8F76901/manage/4297A0B5-F320-447D-A033-609C4624E409/batches/EDFE0C7D-EBD2-4B81-80DA-D1F38918CF43]
004134311_00019 (imageset: D40CBA26-8A8B-4474-AB21-75ADF149F1BC);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AB484CE6-DBBC-4995-9672-8F1BF8F76901/manage/D40CBA26-8A8B-4474-AB21-75ADF149F1BC/batches/0371A47A-1BA1-4FAD-8FCE-1742107A2DEC]
004134313_00043 (imageset: 67B91D50-F1D0-41C9-A78E-F44FD49585C5);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AB484CE6-DBBC-4995-9672-8F1BF8F76901/manage/67B91D50-F1D0-41C9-A78E-F44FD49585C5/batches/8E367F9C-FC83-4C4A-971A-A87046EF0CBE]
004134314_00018 (imageset: 50496903-DCEC-4A80-8E17-75384BD81FC8);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AB484CE6-DBBC-4995-9672-8F1BF8F76901/manage/50496903-DCEC-4A80-8E17-75384BD81FC8/batches/3ADB7E84-764F-4211-A2C9-32347832839B]
004134277_00064 (imageset: CCD0F192-CFF4-491D-97F1-9072F96B76BD);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AB484CE6-DBBC-4995-9672-8F1BF8F76901/manage/CCD0F192-CFF4-491D-97F1-9072F96B76BD/batches/1735E5F1-D5DB-49BB-B3A2-65859977B004]
004134182_00026 (imageset: AA6ACD63-9CF7-4788-B511-A5E17061A4EF);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AB484CE6-DBBC-4995-9672-8F1BF8F76901/manage/AA6ACD63-9CF7-4788-B511-A5E17061A4EF/batches/4B47E76E-778D-4542-A79F-0FD9C1A9646B]
004134177_00044 (imageset: 4297A0B5-F320-447D-A033-609C4624E409);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AB484CE6-DBBC-4995-9672-8F1BF8F76901/manage/4297A0B5-F320-447D-A033-609C4624E409/batches/C5D5CCBA-0AFF-416B-9BB5-FF3F9BB6A6C8]
004134136_00116 (imageset: 4A2FA6EE-7C15-46FF-9F4B-0064FFB86B82);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AB484CE6-DBBC-4995-9672-8F1BF8F76901/manage/4A2FA6EE-7C15-46FF-9F4B-0064FFB86B82/batches/0E1F1AFF-DE91-4ED2-A6EA-573F324A023F]
004134309_00037 (imageset: F8CEAA5C-1D3E-47BB-9E73-D026F58E2E41);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AB484CE6-DBBC-4995-9672-8F1BF8F76901/manage/F8CEAA5C-1D3E-47BB-9E73-D026F58E2E41/batches/06D25690-93D5-43C3-BA03-FADA9091C462]
004134146_00112 (imageset: 505E279F-1895-4466-8DA3-B7C271AE6921);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AB484CE6-DBBC-4995-9672-8F1BF8F76901/manage/505E279F-1895-4466-8DA3-B7C271AE6921/batches/48DE42E7-3597-47F8-9521-2EDBFA566A2C]
004134279_00016 (imageset: BF23D775-8F37-46B7-AC48-99289DF05BDD);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AB484CE6-DBBC-4995-9672-8F1BF8F76901/manage/BF23D775-8F37-46B7-AC48-99289DF05BDD/batches/8C85435A-D2E0-4B01-A4FC-7E30A91055FC]
