Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_REJECTED_STATE: 1;
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 129;
100662179_01023 (imageset: 77992D37-2884-48C2-9250-EF4F27497FF5);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AB63C6A3-6191-47AA-807D-995B1F8C1F4A/manage/77992D37-2884-48C2-9250-EF4F27497FF5/batches/1BB199C2-6DF7-43E7-ABFA-9A2084E01143]
100662183_00066 (imageset: F9338D69-AA66-46A9-B5AB-34C4FD368997);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AB63C6A3-6191-47AA-807D-995B1F8C1F4A/manage/F9338D69-AA66-46A9-B5AB-34C4FD368997/batches/81524FD2-D75C-415A-A872-E215243D72C5]
100662179_00693 (imageset: 77992D37-2884-48C2-9250-EF4F27497FF5);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AB63C6A3-6191-47AA-807D-995B1F8C1F4A/manage/77992D37-2884-48C2-9250-EF4F27497FF5/batches/6630EE23-FAA3-4D7A-9B9F-01684CF975ED]
101967762_00201 (imageset: 7EB1270A-483E-41C1-B644-C2A509ECD2AD);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AB63C6A3-6191-47AA-807D-995B1F8C1F4A/manage/7EB1270A-483E-41C1-B644-C2A509ECD2AD/batches/1EFBAEAB-F74E-4F28-B7A0-6957644BC9C1]
101967813_00153 (imageset: 0DF96C64-B434-4B3C-82DF-857A7753926C);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AB63C6A3-6191-47AA-807D-995B1F8C1F4A/manage/0DF96C64-B434-4B3C-82DF-857A7753926C/batches/5AEC2C2D-8170-4C68-89AB-6F71E6D0E823]
101967762_00202 (imageset: 7EB1270A-483E-41C1-B644-C2A509ECD2AD);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AB63C6A3-6191-47AA-807D-995B1F8C1F4A/manage/7EB1270A-483E-41C1-B644-C2A509ECD2AD/batches/1EFBAEAB-F74E-4F28-B7A0-6957644BC9C1]
100759321_00267 (imageset: 4F90A31D-208F-4B25-8270-9DC91E14AE71);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AB63C6A3-6191-47AA-807D-995B1F8C1F4A/manage/4F90A31D-208F-4B25-8270-9DC91E14AE71/batches/6EEAA291-EED0-4B8C-84D8-6658A4029FD7]
101764911_00494 (imageset: 88129BCF-0E49-4608-9029-96B9A83D2E48);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AB63C6A3-6191-47AA-807D-995B1F8C1F4A/manage/88129BCF-0E49-4608-9029-96B9A83D2E48/batches/AF66F4CD-76B3-4D28-8471-047AA2D0A045]
101468151_00183 (imageset: 870B5C60-F9E9-422C-942E-BA77BE7F06D7);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AB63C6A3-6191-47AA-807D-995B1F8C1F4A/manage/870B5C60-F9E9-422C-942E-BA77BE7F06D7/batches/A496D754-A790-481B-B12F-09CFE28C279A]
100759324_00410 (imageset: 65660BFA-C624-47A7-B93C-3CEB3F424685);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AB63C6A3-6191-47AA-807D-995B1F8C1F4A/manage/65660BFA-C624-47A7-B93C-3CEB3F424685/batches/5FB3A3B9-D4EC-4A16-8FC4-0E6C8F209658]
100662181_00395 (imageset: DB7BA030-57B7-4223-9530-EAC127B1CBF6);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AB63C6A3-6191-47AA-807D-995B1F8C1F4A/manage/DB7BA030-57B7-4223-9530-EAC127B1CBF6/batches/04F38CA2-1E32-44B0-ADE8-18D891116A43]
101967759_00124 (imageset: C62D7FBC-FD92-4448-86A7-D421F1389013);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AB63C6A3-6191-47AA-807D-995B1F8C1F4A/manage/C62D7FBC-FD92-4448-86A7-D421F1389013/batches/0252B60D-27D7-40D4-9863-3599E072045A]
100662181_00277 (imageset: DB7BA030-57B7-4223-9530-EAC127B1CBF6);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AB63C6A3-6191-47AA-807D-995B1F8C1F4A/manage/DB7BA030-57B7-4223-9530-EAC127B1CBF6/batches/777653C3-0CFE-4EB9-AA2B-5C547B47EBB2]
100662181_00156 (imageset: DB7BA030-57B7-4223-9530-EAC127B1CBF6);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AB63C6A3-6191-47AA-807D-995B1F8C1F4A/manage/DB7BA030-57B7-4223-9530-EAC127B1CBF6/batches/063A89FE-3B12-4058-8F34-8DAAA83DC76F]
100662181_00278 (imageset: DB7BA030-57B7-4223-9530-EAC127B1CBF6);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AB63C6A3-6191-47AA-807D-995B1F8C1F4A/manage/DB7BA030-57B7-4223-9530-EAC127B1CBF6/batches/777653C3-0CFE-4EB9-AA2B-5C547B47EBB2]
100662181_00396 (imageset: DB7BA030-57B7-4223-9530-EAC127B1CBF6);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AB63C6A3-6191-47AA-807D-995B1F8C1F4A/manage/DB7BA030-57B7-4223-9530-EAC127B1CBF6/batches/04F38CA2-1E32-44B0-ADE8-18D891116A43]
100662181_00155 (imageset: DB7BA030-57B7-4223-9530-EAC127B1CBF6);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AB63C6A3-6191-47AA-807D-995B1F8C1F4A/manage/DB7BA030-57B7-4223-9530-EAC127B1CBF6/batches/063A89FE-3B12-4058-8F34-8DAAA83DC76F]
100662179_00321 (imageset: 77992D37-2884-48C2-9250-EF4F27497FF5);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AB63C6A3-6191-47AA-807D-995B1F8C1F4A/manage/77992D37-2884-48C2-9250-EF4F27497FF5/batches/6B81ACDC-D6B4-4EDC-9D33-4501E7725B34]
101764898_00390 (imageset: C12104BB-7BE3-4115-9AEB-28CD3EC82830);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AB63C6A3-6191-47AA-807D-995B1F8C1F4A/manage/C12104BB-7BE3-4115-9AEB-28CD3EC82830/batches/08DC8CA3-17A3-425B-91BA-9CDA6704C2DA]
101967875_00601 (imageset: 1AA3A9A4-0CD7-41B9-AE14-4F8CB9F5BF66);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AB63C6A3-6191-47AA-807D-995B1F8C1F4A/manage/1AA3A9A4-0CD7-41B9-AE14-4F8CB9F5BF66/batches/A3C0AAC4-23BB-4550-BA67-B25C0E19563B]
101967817_00102 (imageset: 533C1C85-9A44-41C8-B13D-369ED2C4F295);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AB63C6A3-6191-47AA-807D-995B1F8C1F4A/manage/533C1C85-9A44-41C8-B13D-369ED2C4F295/batches/1B447C6E-D6B4-4733-B99F-4CC032CC806E]
101967817_00101 (imageset: 533C1C85-9A44-41C8-B13D-369ED2C4F295);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AB63C6A3-6191-47AA-807D-995B1F8C1F4A/manage/533C1C85-9A44-41C8-B13D-369ED2C4F295/batches/1B447C6E-D6B4-4733-B99F-4CC032CC806E]
101764900_00217 (imageset: 6413291E-DF45-400B-8239-CE874B210F16);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AB63C6A3-6191-47AA-807D-995B1F8C1F4A/manage/6413291E-DF45-400B-8239-CE874B210F16/batches/62B31D4E-7C7C-42C7-8454-2E9AA79B6C86]
100759375_00344 (imageset: B9AF8396-D1FC-408A-8C23-B10F8433DA0F);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AB63C6A3-6191-47AA-807D-995B1F8C1F4A/manage/B9AF8396-D1FC-408A-8C23-B10F8433DA0F/batches/7FA0C2A2-1712-4662-A2EE-1E850F0B5D3C]
