Item;Item Type;Note;Item Link
ReportItem instance counts;;BATCH_HAS_TOO_MANY_IMAGES: 1;
ReportItem instance counts;;PROJECT_BATCHES_WITH_TOO_MANY_IMAGES: 1;
ReportItem instance counts;;IMAGE_IN_REJECTED_STATE: 3;
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 20;
34353B02-9289-4FE5-B406-1AD3FDE13CF7;BATCH;BATCH_HAS_TOO_MANY_IMAGES;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/AE034C04-1373-4014-AC14-3983765B9880/manage/B1C5CB08-32D2-4C51-BAB8-AE911CD02B3C/batches/34353B02-9289-4FE5-B406-1AD3FDE13CF7]
AE034C04-1373-4014-AC14-3983765B9880;PROJECT;PROJECT_BATCHES_WITH_TOO_MANY_IMAGES;[PROJECT|https://www.familysearch.org/indexing/admin-new/#/projects/AE034C04-1373-4014-AC14-3983765B9880/overview]
004884316_00718 (imageset: D318B824-96FD-47D2-B9FA-5C5338462EE5);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AE034C04-1373-4014-AC14-3983765B9880/manage/D318B824-96FD-47D2-B9FA-5C5338462EE5/batches/80CDA961-0E3C-4ADD-A091-D576B275C922]
004884342_00056 (imageset: 81A91024-6E43-4C70-A009-10D404BC0AF6);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AE034C04-1373-4014-AC14-3983765B9880/manage/81A91024-6E43-4C70-A009-10D404BC0AF6/batches/20272973-0A68-42DF-B3B8-C5D02E6EEA5F]
004887230_00100 (imageset: 4CD2CD4A-190E-4B9B-A635-1E3BCC7E1AF1);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AE034C04-1373-4014-AC14-3983765B9880/manage/4CD2CD4A-190E-4B9B-A635-1E3BCC7E1AF1/batches/644A33C2-A1B2-4832-8944-815A24B04114]
004887230_00078 (imageset: 4CD2CD4A-190E-4B9B-A635-1E3BCC7E1AF1);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AE034C04-1373-4014-AC14-3983765B9880/manage/4CD2CD4A-190E-4B9B-A635-1E3BCC7E1AF1/batches/752D253D-FF76-4641-BE64-21720BE813B7]
