Item;Item Type;Note;Item Link
ReportItem instance counts;;PROJECT_BLOCKED_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE: 673;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;IMAGE_NO_INDEXING_BATCH: 673;
004583304_00086 (imageset: A1E0A789-4983-4D39-90D4-7AD575A8DCE7);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AEAAF336-507A-4482-A3C3-05D6F7FBA54B/manage/A1E0A789-4983-4D39-90D4-7AD575A8DCE7/batches/F8757EFF-FDF8-427C-882C-39CF86F2BB5E]
004583304_00085 (imageset: A1E0A789-4983-4D39-90D4-7AD575A8DCE7);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AEAAF336-507A-4482-A3C3-05D6F7FBA54B/manage/A1E0A789-4983-4D39-90D4-7AD575A8DCE7/batches/F8757EFF-FDF8-427C-882C-39CF86F2BB5E]
004583304_00088 (imageset: A1E0A789-4983-4D39-90D4-7AD575A8DCE7);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AEAAF336-507A-4482-A3C3-05D6F7FBA54B/manage/A1E0A789-4983-4D39-90D4-7AD575A8DCE7/batches/F8757EFF-FDF8-427C-882C-39CF86F2BB5E]
004583304_00087 (imageset: A1E0A789-4983-4D39-90D4-7AD575A8DCE7);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AEAAF336-507A-4482-A3C3-05D6F7FBA54B/manage/A1E0A789-4983-4D39-90D4-7AD575A8DCE7/batches/F8757EFF-FDF8-427C-882C-39CF86F2BB5E]
004583304_00082 (imageset: A1E0A789-4983-4D39-90D4-7AD575A8DCE7);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AEAAF336-507A-4482-A3C3-05D6F7FBA54B/manage/A1E0A789-4983-4D39-90D4-7AD575A8DCE7/batches/F8757EFF-FDF8-427C-882C-39CF86F2BB5E]
004583304_00081 (imageset: A1E0A789-4983-4D39-90D4-7AD575A8DCE7);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AEAAF336-507A-4482-A3C3-05D6F7FBA54B/manage/A1E0A789-4983-4D39-90D4-7AD575A8DCE7/batches/F8757EFF-FDF8-427C-882C-39CF86F2BB5E]
004583304_00084 (imageset: A1E0A789-4983-4D39-90D4-7AD575A8DCE7);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AEAAF336-507A-4482-A3C3-05D6F7FBA54B/manage/A1E0A789-4983-4D39-90D4-7AD575A8DCE7/batches/F8757EFF-FDF8-427C-882C-39CF86F2BB5E]
004583304_00083 (imageset: A1E0A789-4983-4D39-90D4-7AD575A8DCE7);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AEAAF336-507A-4482-A3C3-05D6F7FBA54B/manage/A1E0A789-4983-4D39-90D4-7AD575A8DCE7/batches/F8757EFF-FDF8-427C-882C-39CF86F2BB5E]
004583304_00080 (imageset: A1E0A789-4983-4D39-90D4-7AD575A8DCE7);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AEAAF336-507A-4482-A3C3-05D6F7FBA54B/manage/A1E0A789-4983-4D39-90D4-7AD575A8DCE7/batches/F8757EFF-FDF8-427C-882C-39CF86F2BB5E]
004583304_00079 (imageset: A1E0A789-4983-4D39-90D4-7AD575A8DCE7);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AEAAF336-507A-4482-A3C3-05D6F7FBA54B/manage/A1E0A789-4983-4D39-90D4-7AD575A8DCE7/batches/F8757EFF-FDF8-427C-882C-39CF86F2BB5E]
004583304_00078 (imageset: A1E0A789-4983-4D39-90D4-7AD575A8DCE7);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AEAAF336-507A-4482-A3C3-05D6F7FBA54B/manage/A1E0A789-4983-4D39-90D4-7AD575A8DCE7/batches/F8757EFF-FDF8-427C-882C-39CF86F2BB5E]
004583304_00097 (imageset: A1E0A789-4983-4D39-90D4-7AD575A8DCE7);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AEAAF336-507A-4482-A3C3-05D6F7FBA54B/manage/A1E0A789-4983-4D39-90D4-7AD575A8DCE7/batches/F8757EFF-FDF8-427C-882C-39CF86F2BB5E]
004583304_00096 (imageset: A1E0A789-4983-4D39-90D4-7AD575A8DCE7);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AEAAF336-507A-4482-A3C3-05D6F7FBA54B/manage/A1E0A789-4983-4D39-90D4-7AD575A8DCE7/batches/F8757EFF-FDF8-427C-882C-39CF86F2BB5E]
004583304_00099 (imageset: A1E0A789-4983-4D39-90D4-7AD575A8DCE7);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AEAAF336-507A-4482-A3C3-05D6F7FBA54B/manage/A1E0A789-4983-4D39-90D4-7AD575A8DCE7/batches/F8757EFF-FDF8-427C-882C-39CF86F2BB5E]
004583304_00098 (imageset: A1E0A789-4983-4D39-90D4-7AD575A8DCE7);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AEAAF336-507A-4482-A3C3-05D6F7FBA54B/manage/A1E0A789-4983-4D39-90D4-7AD575A8DCE7/batches/F8757EFF-FDF8-427C-882C-39CF86F2BB5E]
004583304_00093 (imageset: A1E0A789-4983-4D39-90D4-7AD575A8DCE7);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AEAAF336-507A-4482-A3C3-05D6F7FBA54B/manage/A1E0A789-4983-4D39-90D4-7AD575A8DCE7/batches/F8757EFF-FDF8-427C-882C-39CF86F2BB5E]
