Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_REJECTED_STATE: 1;
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 933;
007762907_00759 (imageset: E4648F0B-AF8D-4394-842C-8BBB4A177DA4);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AED28CAD-80AC-402C-8953-5150F8C7E7ED/manage/E4648F0B-AF8D-4394-842C-8BBB4A177DA4/batches/6841A59B-8918-4873-91DC-D943B4A1271E]
007762685_02658 (imageset: 8D0E3FA6-BE79-45F5-A21A-3C08E9B7308C);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AED28CAD-80AC-402C-8953-5150F8C7E7ED/manage/8D0E3FA6-BE79-45F5-A21A-3C08E9B7308C/batches/152D3E6C-F814-45EB-9D6E-4AB46EF9E621]
007762833_00493 (imageset: BB45CFBE-1A35-483A-AB91-9868A8A6C055);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AED28CAD-80AC-402C-8953-5150F8C7E7ED/manage/BB45CFBE-1A35-483A-AB91-9868A8A6C055/batches/9C5216D7-4E6F-4477-AAD3-39EB0D135BBD]
007762808_01756 (imageset: DE60CB25-F7AA-4EA0-A880-7EF893AB22C1);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AED28CAD-80AC-402C-8953-5150F8C7E7ED/manage/DE60CB25-F7AA-4EA0-A880-7EF893AB22C1/batches/85F0902A-E222-4CF7-B128-E6C552E48898]
007762695_00753 (imageset: B668AFF7-F6E9-423B-9862-F3F9682FE492);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AED28CAD-80AC-402C-8953-5150F8C7E7ED/manage/B668AFF7-F6E9-423B-9862-F3F9682FE492/batches/6B16663A-1D52-4F94-8822-FCAB0307D939]
007762812_01132 (imageset: 8746D06F-0E77-45A0-B422-FB183F431A65);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AED28CAD-80AC-402C-8953-5150F8C7E7ED/manage/8746D06F-0E77-45A0-B422-FB183F431A65/batches/A5B9728A-B8E1-449A-89B2-669FA22E183E]
007762872_00718 (imageset: 05E4B24B-8A1B-4C5A-ADA4-3BF737AF5FE9);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AED28CAD-80AC-402C-8953-5150F8C7E7ED/manage/05E4B24B-8A1B-4C5A-ADA4-3BF737AF5FE9/batches/52D24F7C-EEA4-47CF-9115-650326993DBB]
007762812_01134 (imageset: 8746D06F-0E77-45A0-B422-FB183F431A65);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AED28CAD-80AC-402C-8953-5150F8C7E7ED/manage/8746D06F-0E77-45A0-B422-FB183F431A65/batches/A5B9728A-B8E1-449A-89B2-669FA22E183E]
007762811_01723 (imageset: 96F3365D-DB98-4557-8F7D-0E6D291C5C2A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AED28CAD-80AC-402C-8953-5150F8C7E7ED/manage/96F3365D-DB98-4557-8F7D-0E6D291C5C2A/batches/A5098C2C-F9D7-4BDD-B115-6DE7AF185CB7]
007762811_01722 (imageset: 96F3365D-DB98-4557-8F7D-0E6D291C5C2A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AED28CAD-80AC-402C-8953-5150F8C7E7ED/manage/96F3365D-DB98-4557-8F7D-0E6D291C5C2A/batches/A5098C2C-F9D7-4BDD-B115-6DE7AF185CB7]
007762701_01922 (imageset: 8FDD4BC4-C484-4630-B576-4B1C02E84276);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AED28CAD-80AC-402C-8953-5150F8C7E7ED/manage/8FDD4BC4-C484-4630-B576-4B1C02E84276/batches/4BAE9F04-486A-416F-993B-A8F0E7992D57]
007762847_02076 (imageset: C58A54BF-E631-4A29-9D48-8C413D17EE61);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AED28CAD-80AC-402C-8953-5150F8C7E7ED/manage/C58A54BF-E631-4A29-9D48-8C413D17EE61/batches/6E9F3349-10C2-4E19-9014-14FFFB86B010]
007762845_00837 (imageset: BCAEDBC7-3E8F-41CB-ACCD-81ADEDB06B29);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AED28CAD-80AC-402C-8953-5150F8C7E7ED/manage/BCAEDBC7-3E8F-41CB-ACCD-81ADEDB06B29/batches/4D0106C9-AA28-4456-B48C-D27D4FEE48F1]
007762845_00836 (imageset: BCAEDBC7-3E8F-41CB-ACCD-81ADEDB06B29);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AED28CAD-80AC-402C-8953-5150F8C7E7ED/manage/BCAEDBC7-3E8F-41CB-ACCD-81ADEDB06B29/batches/4D0106C9-AA28-4456-B48C-D27D4FEE48F1]
007762845_00835 (imageset: BCAEDBC7-3E8F-41CB-ACCD-81ADEDB06B29);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AED28CAD-80AC-402C-8953-5150F8C7E7ED/manage/BCAEDBC7-3E8F-41CB-ACCD-81ADEDB06B29/batches/4D0106C9-AA28-4456-B48C-D27D4FEE48F1]
007762845_00834 (imageset: BCAEDBC7-3E8F-41CB-ACCD-81ADEDB06B29);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AED28CAD-80AC-402C-8953-5150F8C7E7ED/manage/BCAEDBC7-3E8F-41CB-ACCD-81ADEDB06B29/batches/4D0106C9-AA28-4456-B48C-D27D4FEE48F1]
007762700_00176 (imageset: 0C92DC47-2217-4D7B-9F42-CB535EFF3495);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AED28CAD-80AC-402C-8953-5150F8C7E7ED/manage/0C92DC47-2217-4D7B-9F42-CB535EFF3495/batches/FEDD9A85-AD88-45A0-A864-04323F05FD39]
007762700_00175 (imageset: 0C92DC47-2217-4D7B-9F42-CB535EFF3495);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AED28CAD-80AC-402C-8953-5150F8C7E7ED/manage/0C92DC47-2217-4D7B-9F42-CB535EFF3495/batches/FEDD9A85-AD88-45A0-A864-04323F05FD39]
007762806_00148 (imageset: F049E2FD-08C6-4826-AEB3-C3803A54769F);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AED28CAD-80AC-402C-8953-5150F8C7E7ED/manage/F049E2FD-08C6-4826-AEB3-C3803A54769F/batches/65E3A522-825F-4AE4-B140-676D8B814B48]
