Item;Item Type;Note;Item Link
ReportItem instance counts;;BATCH:NO_WORKFLOW_STATE: 100;
ReportItem instance counts;;BATCH:NOT_IN_IMAGE_EXPORT_TABLE: 100;
ReportItem instance counts;;BATCH:NOT_IN_PROJECT: 100;
ReportItem instance counts;;IMAGE:NOT_IN_IMAGE_EXPORT_TABLE: 100;
ReportItem instance counts;;IMAGE:NO_INDEXING_BATCH: 100;
102244361_00001 (imageset: A688963C-2178-4F6C-A898-014BD8A2E06A);IMAGE;NOT_IN_IMAGE_EXPORT_TABLE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AED38986-61DE-462D-998D-5C7852F6EE73/manage/A688963C-2178-4F6C-A898-014BD8A2E06A/batches/C2553D65-BEE9-4C4C-B39E-64675DEF1D53]
102244361_00001 (imageset: A688963C-2178-4F6C-A898-014BD8A2E06A);IMAGE;NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AED38986-61DE-462D-998D-5C7852F6EE73/manage/A688963C-2178-4F6C-A898-014BD8A2E06A/batches/C2553D65-BEE9-4C4C-B39E-64675DEF1D53]
1895C6FC-4D80-4DD0-B4C6-702DF0DBD494;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/AED38986-61DE-462D-998D-5C7852F6EE73/manage/07DA4A4F-1BB3-4665-B0BD-BDFC13040B25/batches/1895C6FC-4D80-4DD0-B4C6-702DF0DBD494]
C5EB57C9-41CA-485C-B5B3-D24A1D54B5CF;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/AED38986-61DE-462D-998D-5C7852F6EE73/manage/B72EC906-20A6-4875-A9AF-174B75639D28/batches/C5EB57C9-41CA-485C-B5B3-D24A1D54B5CF]
C5EB57C9-41CA-485C-B5B3-D24A1D54B5CF;BATCH;NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/AED38986-61DE-462D-998D-5C7852F6EE73/manage/B72EC906-20A6-4875-A9AF-174B75639D28/batches/C5EB57C9-41CA-485C-B5B3-D24A1D54B5CF]
D89E25ED-4211-447A-BE19-19D0E128FB2D;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/AED38986-61DE-462D-998D-5C7852F6EE73/manage/07DA4A4F-1BB3-4665-B0BD-BDFC13040B25/batches/D89E25ED-4211-447A-BE19-19D0E128FB2D]
D89E25ED-4211-447A-BE19-19D0E128FB2D;BATCH;NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/AED38986-61DE-462D-998D-5C7852F6EE73/manage/07DA4A4F-1BB3-4665-B0BD-BDFC13040B25/batches/D89E25ED-4211-447A-BE19-19D0E128FB2D]
102244356_00010 (imageset: 2775F7C6-7D76-43FA-9640-27BF8E50DCB1);IMAGE;NOT_IN_IMAGE_EXPORT_TABLE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AED38986-61DE-462D-998D-5C7852F6EE73/manage/2775F7C6-7D76-43FA-9640-27BF8E50DCB1/batches/50CC68CA-9841-432B-B44D-70F574540DB8]
102244356_00010 (imageset: 2775F7C6-7D76-43FA-9640-27BF8E50DCB1);IMAGE;NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AED38986-61DE-462D-998D-5C7852F6EE73/manage/2775F7C6-7D76-43FA-9640-27BF8E50DCB1/batches/50CC68CA-9841-432B-B44D-70F574540DB8]
E2E7F87F-ECA7-4918-92D3-43D0FC203D15;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/AED38986-61DE-462D-998D-5C7852F6EE73/manage/8CACC04A-C498-4448-8E1D-2A3A2D12FE38/batches/E2E7F87F-ECA7-4918-92D3-43D0FC203D15]
E2E7F87F-ECA7-4918-92D3-43D0FC203D15;BATCH;NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/AED38986-61DE-462D-998D-5C7852F6EE73/manage/8CACC04A-C498-4448-8E1D-2A3A2D12FE38/batches/E2E7F87F-ECA7-4918-92D3-43D0FC203D15]
102244360_00001 (imageset: 33573A81-22C3-4833-84CE-3A77B4034C1F);IMAGE;NOT_IN_IMAGE_EXPORT_TABLE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AED38986-61DE-462D-998D-5C7852F6EE73/manage/33573A81-22C3-4833-84CE-3A77B4034C1F/batches/665AA8C9-DF0D-473D-990A-D4E87D069713]
102244360_00001 (imageset: 33573A81-22C3-4833-84CE-3A77B4034C1F);IMAGE;NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AED38986-61DE-462D-998D-5C7852F6EE73/manage/33573A81-22C3-4833-84CE-3A77B4034C1F/batches/665AA8C9-DF0D-473D-990A-D4E87D069713]
102244359_00009 (imageset: 7748E3F4-DC09-434F-B01F-918A1FB3D1B3);IMAGE;NOT_IN_IMAGE_EXPORT_TABLE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AED38986-61DE-462D-998D-5C7852F6EE73/manage/7748E3F4-DC09-434F-B01F-918A1FB3D1B3/batches/ED8CC6E1-8DF1-4C0C-960B-AA934AC990CD]
102244359_00009 (imageset: 7748E3F4-DC09-434F-B01F-918A1FB3D1B3);IMAGE;NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AED38986-61DE-462D-998D-5C7852F6EE73/manage/7748E3F4-DC09-434F-B01F-918A1FB3D1B3/batches/ED8CC6E1-8DF1-4C0C-960B-AA934AC990CD]
1DB1AA04-14D9-4506-9A8C-B884D8BC203A;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/AED38986-61DE-462D-998D-5C7852F6EE73/manage/0809DBE5-E180-43D7-9D42-681D3A206E85/batches/1DB1AA04-14D9-4506-9A8C-B884D8BC203A]
102244356_00024 (imageset: 2775F7C6-7D76-43FA-9640-27BF8E50DCB1);IMAGE;NOT_IN_IMAGE_EXPORT_TABLE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AED38986-61DE-462D-998D-5C7852F6EE73/manage/2775F7C6-7D76-43FA-9640-27BF8E50DCB1/batches/50CC68CA-9841-432B-B44D-70F574540DB8]
102244356_00024 (imageset: 2775F7C6-7D76-43FA-9640-27BF8E50DCB1);IMAGE;NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AED38986-61DE-462D-998D-5C7852F6EE73/manage/2775F7C6-7D76-43FA-9640-27BF8E50DCB1/batches/50CC68CA-9841-432B-B44D-70F574540DB8]
