Item;Item Type;Note;Item Link
ReportItem instance counts;;BATCH:NOT_IN_IMAGE_EXPORT_TABLE: 4;
ReportItem instance counts;;IMAGE:NOT_IN_IMAGE_EXPORT_TABLE: 26;
ReportItem instance counts;;IMAGE:NO_INDEXING_BATCH: 26;
100780950_00001 (imageset: EA87CA36-EB17-407B-A0F6-A79B8ABBAB97);IMAGE;NOT_IN_IMAGE_EXPORT_TABLE\\NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AFA25A6B-44C2-4D7A-828A-A0AE27FC1919/manage/EA87CA36-EB17-407B-A0F6-A79B8ABBAB97/batches/CE47751E-1B3D-441E-8C3F-B1801150F9FE]
100780950_00002 (imageset: EA87CA36-EB17-407B-A0F6-A79B8ABBAB97);IMAGE;NOT_IN_IMAGE_EXPORT_TABLE\\NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AFA25A6B-44C2-4D7A-828A-A0AE27FC1919/manage/EA87CA36-EB17-407B-A0F6-A79B8ABBAB97/batches/CE47751E-1B3D-441E-8C3F-B1801150F9FE]
100780950_00003 (imageset: EA87CA36-EB17-407B-A0F6-A79B8ABBAB97);IMAGE;NOT_IN_IMAGE_EXPORT_TABLE\\NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AFA25A6B-44C2-4D7A-828A-A0AE27FC1919/manage/EA87CA36-EB17-407B-A0F6-A79B8ABBAB97/batches/CE47751E-1B3D-441E-8C3F-B1801150F9FE]
100780945_00041 (imageset: E778041E-95AA-4323-9BB2-1FD6BE48378E);IMAGE;NOT_IN_IMAGE_EXPORT_TABLE\\NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AFA25A6B-44C2-4D7A-828A-A0AE27FC1919/manage/E778041E-95AA-4323-9BB2-1FD6BE48378E/batches/A98CB1C4-1AED-4851-B330-7FCB86470E19]
100780945_00042 (imageset: E778041E-95AA-4323-9BB2-1FD6BE48378E);IMAGE;NOT_IN_IMAGE_EXPORT_TABLE\\NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AFA25A6B-44C2-4D7A-828A-A0AE27FC1919/manage/E778041E-95AA-4323-9BB2-1FD6BE48378E/batches/A98CB1C4-1AED-4851-B330-7FCB86470E19]
100780945_00040 (imageset: E778041E-95AA-4323-9BB2-1FD6BE48378E);IMAGE;NOT_IN_IMAGE_EXPORT_TABLE\\NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/AFA25A6B-44C2-4D7A-828A-A0AE27FC1919/manage/E778041E-95AA-4323-9BB2-1FD6BE48378E/batches/A98CB1C4-1AED-4851-B330-7FCB86470E19]
4772C2E5-A273-46C4-B337-66AE642400FD;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|]
