Item;Item Type;Note;Item Link
ReportItem instance counts;;PROJECT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT_AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 153;
ReportItem instance counts;;BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 2847;
1A58DA55-7E19-4C20-BB40-87FC16B61172;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B0381EEE-56AE-472C-BCB1-F27BE9DEEA1C/manage/E61C8777-9804-492D-AF3A-F99101523376/batches/1A58DA55-7E19-4C20-BB40-87FC16B61172]
E4B18FB9-B5C6-49B3-9BED-90FFF39C7F12;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B0381EEE-56AE-472C-BCB1-F27BE9DEEA1C/manage/D81DADCB-1269-4D76-9681-FC3DAB21D4D5/batches/E4B18FB9-B5C6-49B3-9BED-90FFF39C7F12]
20F33F7D-6C8F-4174-BB13-E9D7FF123D96;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B0381EEE-56AE-472C-BCB1-F27BE9DEEA1C/manage/1C5CB16E-3B85-49BA-9D22-4DE93113AD16/batches/20F33F7D-6C8F-4174-BB13-E9D7FF123D96]
AF530A7C-4962-4B9E-8F46-ACC9537BB761;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B0381EEE-56AE-472C-BCB1-F27BE9DEEA1C/manage/6C341162-0B61-4CC3-8C25-C1E9ACA06028/batches/AF530A7C-4962-4B9E-8F46-ACC9537BB761]
C4F248D6-0E63-4DDB-A5D9-54D8A869958A;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B0381EEE-56AE-472C-BCB1-F27BE9DEEA1C/manage/8FB57B3E-B90B-4506-90B5-0352FC600D38/batches/C4F248D6-0E63-4DDB-A5D9-54D8A869958A]
1DE9A2B0-C6BA-48D0-A725-B3FA0ABAE7F7;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B0381EEE-56AE-472C-BCB1-F27BE9DEEA1C/manage/D81DADCB-1269-4D76-9681-FC3DAB21D4D5/batches/1DE9A2B0-C6BA-48D0-A725-B3FA0ABAE7F7]
1E25C6FE-2E4C-45F5-A64B-2D64AC24EFA2;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B0381EEE-56AE-472C-BCB1-F27BE9DEEA1C/manage/59408761-E2AB-4F5C-974B-136E21947180/batches/1E25C6FE-2E4C-45F5-A64B-2D64AC24EFA2]
5A759B5A-5044-4686-AE6B-0FE7F56F83DF;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B0381EEE-56AE-472C-BCB1-F27BE9DEEA1C/manage/6C341162-0B61-4CC3-8C25-C1E9ACA06028/batches/5A759B5A-5044-4686-AE6B-0FE7F56F83DF]
1CD16C3D-44E8-461F-B5EA-D43260D4B007;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B0381EEE-56AE-472C-BCB1-F27BE9DEEA1C/manage/296F9E55-C47D-4F18-826F-88F2E466678C/batches/1CD16C3D-44E8-461F-B5EA-D43260D4B007]
60F723B9-863C-473E-904E-3C03C4470223;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B0381EEE-56AE-472C-BCB1-F27BE9DEEA1C/manage/296F9E55-C47D-4F18-826F-88F2E466678C/batches/60F723B9-863C-473E-904E-3C03C4470223]
186BAFE8-83CD-4FB8-94DC-711975658277;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B0381EEE-56AE-472C-BCB1-F27BE9DEEA1C/manage/BC3161A3-1CEF-41DD-B19C-778B40384FC4/batches/186BAFE8-83CD-4FB8-94DC-711975658277]
D7D44649-19F4-421C-9D1B-3BC985138CFF;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B0381EEE-56AE-472C-BCB1-F27BE9DEEA1C/manage/01DC3330-4804-4363-A138-1E5827FBA269/batches/D7D44649-19F4-421C-9D1B-3BC985138CFF]
11C0811F-EDCE-48DB-A5EB-42A9A68CCEC8;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B0381EEE-56AE-472C-BCB1-F27BE9DEEA1C/manage/456BBB87-4E47-4184-81A0-D23C9F269039/batches/11C0811F-EDCE-48DB-A5EB-42A9A68CCEC8]
4A626D38-C8C6-4D11-ACF7-67D6A0638146;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B0381EEE-56AE-472C-BCB1-F27BE9DEEA1C/manage/E61C8777-9804-492D-AF3A-F99101523376/batches/4A626D38-C8C6-4D11-ACF7-67D6A0638146]
D07BDFEC-71EA-437D-B52A-55DFD3911DD1;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B0381EEE-56AE-472C-BCB1-F27BE9DEEA1C/manage/AFCC2B2F-B031-49AA-9685-ED6D552FC35A/batches/D07BDFEC-71EA-437D-B52A-55DFD3911DD1]
E9DE2238-CD82-45B9-9326-67BBE0231648;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B0381EEE-56AE-472C-BCB1-F27BE9DEEA1C/manage/4C4EDD8E-BE14-4DE4-B0FC-513826935E8C/batches/E9DE2238-CD82-45B9-9326-67BBE0231648]
8A19D277-B758-4440-9741-4BF4CC14D880;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B0381EEE-56AE-472C-BCB1-F27BE9DEEA1C/manage/59408761-E2AB-4F5C-974B-136E21947180/batches/8A19D277-B758-4440-9741-4BF4CC14D880]
0A95A234-AC3A-4296-BB9B-C72543AAF6E7;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B0381EEE-56AE-472C-BCB1-F27BE9DEEA1C/manage/336DE48B-ABD6-4EDA-BCFE-A78D38760105/batches/0A95A234-AC3A-4296-BB9B-C72543AAF6E7]
2F343A16-2B6E-4E90-A827-8E011140F3A5;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B0381EEE-56AE-472C-BCB1-F27BE9DEEA1C/manage/336DE48B-ABD6-4EDA-BCFE-A78D38760105/batches/2F343A16-2B6E-4E90-A827-8E011140F3A5]
A4FE6893-CEAB-46EA-BE9B-7EE0E2674C39;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B0381EEE-56AE-472C-BCB1-F27BE9DEEA1C/manage/221E4546-1B87-4EC0-BFC0-188B1CFE586A/batches/A4FE6893-CEAB-46EA-BE9B-7EE0E2674C39]
6EBC97AC-8EBB-4749-8720-19F00EA30908;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B0381EEE-56AE-472C-BCB1-F27BE9DEEA1C/manage/C8C2624B-E158-4200-95F6-177576F411A6/batches/6EBC97AC-8EBB-4749-8720-19F00EA30908]
18A93E5A-2FDA-4B17-982F-4507BEAF3340;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B0381EEE-56AE-472C-BCB1-F27BE9DEEA1C/manage/0774C564-C644-4447-BD8E-9D2095E9EF33/batches/18A93E5A-2FDA-4B17-982F-4507BEAF3340]
2F169AEB-5C8C-4231-B891-0949011216F4;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B0381EEE-56AE-472C-BCB1-F27BE9DEEA1C/manage/8FB57B3E-B90B-4506-90B5-0352FC600D38/batches/2F169AEB-5C8C-4231-B891-0949011216F4]
C17D021B-C6A7-45D5-A696-350874B05F80;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B0381EEE-56AE-472C-BCB1-F27BE9DEEA1C/manage/D81DADCB-1269-4D76-9681-FC3DAB21D4D5/batches/C17D021B-C6A7-45D5-A696-350874B05F80]
F6C6A9F9-9D06-44F5-86F8-4EB1CF33E69B;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B0381EEE-56AE-472C-BCB1-F27BE9DEEA1C/manage/B1B703C0-C705-402C-BB89-03E838F5FF37/batches/F6C6A9F9-9D06-44F5-86F8-4EB1CF33E69B]
54B94B5E-15EA-422F-9953-1ED6EDE69240;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B0381EEE-56AE-472C-BCB1-F27BE9DEEA1C/manage/5566E15A-F165-461E-A4AA-3F52925560E6/batches/54B94B5E-15EA-422F-9953-1ED6EDE69240]
BA6D1CF2-C785-4610-88A5-A2C394D18216;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B0381EEE-56AE-472C-BCB1-F27BE9DEEA1C/manage/8FB57B3E-B90B-4506-90B5-0352FC600D38/batches/BA6D1CF2-C785-4610-88A5-A2C394D18216]
2A766B1B-762E-4F62-B61B-FB3066A67A34;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B0381EEE-56AE-472C-BCB1-F27BE9DEEA1C/manage/D81DADCB-1269-4D76-9681-FC3DAB21D4D5/batches/2A766B1B-762E-4F62-B61B-FB3066A67A34]
813DAA83-36DD-40C0-B35A-ABF132A03D41;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B0381EEE-56AE-472C-BCB1-F27BE9DEEA1C/manage/94B2635D-806A-4FD3-9E22-3BC208167665/batches/813DAA83-36DD-40C0-B35A-ABF132A03D41]
