Item;Item Type;Note;Item Link
ReportItem instance counts;;BATCH:NOT_IN_IMAGE_EXPORT_TABLE: 100;
ReportItem instance counts;;PROJECT:IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT:BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT:AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
48ADB0C9-96FA-41CF-90E1-E407F9F57763;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B139FF3F-DB66-4892-9D47-1A3DD7A37338/manage/72503B2C-5698-4719-A7B8-56BC4011ED2B/batches/48ADB0C9-96FA-41CF-90E1-E407F9F57763]
75D33D4D-64F8-469D-8714-697A7537C010;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B139FF3F-DB66-4892-9D47-1A3DD7A37338/manage/B2175DFE-2796-43E9-8CBD-25F44CB05101/batches/75D33D4D-64F8-469D-8714-697A7537C010]
F74C2278-C73D-42E9-9B80-E62F113B0E54;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B139FF3F-DB66-4892-9D47-1A3DD7A37338/manage/B2B48C55-D000-4D5E-9694-3E586B96BF6A/batches/F74C2278-C73D-42E9-9B80-E62F113B0E54]
3C13B5E0-F9DF-40D4-8290-2B86C3083402;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B139FF3F-DB66-4892-9D47-1A3DD7A37338/manage/9A0B0D6C-1FC4-49D6-925A-14F371A9B90B/batches/3C13B5E0-F9DF-40D4-8290-2B86C3083402]
02D55519-7A7B-44A2-9EE3-8BFFFFDBE08D;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B139FF3F-DB66-4892-9D47-1A3DD7A37338/manage/B2B48C55-D000-4D5E-9694-3E586B96BF6A/batches/02D55519-7A7B-44A2-9EE3-8BFFFFDBE08D]
C265D267-15A2-48FE-98C9-B882F4E69C8F;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B139FF3F-DB66-4892-9D47-1A3DD7A37338/manage/83761CD9-4EB1-4B10-980D-02D4269FF798/batches/C265D267-15A2-48FE-98C9-B882F4E69C8F]
3A7E6E21-0589-46D7-90FC-E25B87BA67D0;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B139FF3F-DB66-4892-9D47-1A3DD7A37338/manage/DB79EA11-9B50-4342-B871-67D7088E76E9/batches/3A7E6E21-0589-46D7-90FC-E25B87BA67D0]
033E43CC-C102-4F92-8D4A-4D5EAABFA411;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B139FF3F-DB66-4892-9D47-1A3DD7A37338/manage/F9DBA173-3203-479A-8554-E7D9FB603AB9/batches/033E43CC-C102-4F92-8D4A-4D5EAABFA411]
02D9F36C-7919-4E1B-A0FE-7F38B1BF403D;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B139FF3F-DB66-4892-9D47-1A3DD7A37338/manage/9A0B0D6C-1FC4-49D6-925A-14F371A9B90B/batches/02D9F36C-7919-4E1B-A0FE-7F38B1BF403D]
314CFE01-3D29-4D63-BFFE-EC9269F2461A;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B139FF3F-DB66-4892-9D47-1A3DD7A37338/manage/9A0B0D6C-1FC4-49D6-925A-14F371A9B90B/batches/314CFE01-3D29-4D63-BFFE-EC9269F2461A]
499565A7-8BED-4EAB-AE0E-0055798A3302;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B139FF3F-DB66-4892-9D47-1A3DD7A37338/manage/3383C2F6-66B3-40ED-AC50-67AC8DACDB30/batches/499565A7-8BED-4EAB-AE0E-0055798A3302]
43F92540-6A7E-48B7-9B7F-184EF8FE8982;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B139FF3F-DB66-4892-9D47-1A3DD7A37338/manage/332BD7DD-E623-4EE0-A95B-1EDB381CA55B/batches/43F92540-6A7E-48B7-9B7F-184EF8FE8982]
59659D8C-307C-4D6E-8A2C-0BACFE2A7C7F;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B139FF3F-DB66-4892-9D47-1A3DD7A37338/manage/332BD7DD-E623-4EE0-A95B-1EDB381CA55B/batches/59659D8C-307C-4D6E-8A2C-0BACFE2A7C7F]
