Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 9;
007133525_00171 (imageset: 4E4F4C33-DD86-4427-B973-1DF8E0A29B85);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B13B3941-CAEB-41D1-85D5-937953186715/manage/4E4F4C33-DD86-4427-B973-1DF8E0A29B85/batches/8406E97E-2B5A-428E-B7B7-B61EA4347C8E]
007133515_00479 (imageset: E815BE81-F6A5-41B6-BBDF-96D39DC5239C);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B13B3941-CAEB-41D1-85D5-937953186715/manage/E815BE81-F6A5-41B6-BBDF-96D39DC5239C/batches/022ED84B-B555-401C-8A7A-60395931CA33]
007133519_00330 (imageset: F6E948F8-C32C-4C8F-BD82-5D38A3564DC4);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B13B3941-CAEB-41D1-85D5-937953186715/manage/F6E948F8-C32C-4C8F-BD82-5D38A3564DC4/batches/64677E43-0B09-46D3-85DB-6EADC51D307F]
007133509_00781 (imageset: E3A23DAD-2239-49DB-ABC6-69C514AF7CD8);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B13B3941-CAEB-41D1-85D5-937953186715/manage/E3A23DAD-2239-49DB-ABC6-69C514AF7CD8/batches/25963B91-C79D-4EE4-9556-8A33F3024FDB]
007109468_00019 (imageset: AC76F30F-AFAE-40A1-816A-E3F7BFCAC8B2);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B13B3941-CAEB-41D1-85D5-937953186715/manage/AC76F30F-AFAE-40A1-816A-E3F7BFCAC8B2/batches/5AD59B09-17A9-4EE1-B2BF-966ACB213484]
007133513_00080 (imageset: 996B8C03-15DA-4FD2-910D-67A735AA564C);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B13B3941-CAEB-41D1-85D5-937953186715/manage/996B8C03-15DA-4FD2-910D-67A735AA564C/batches/C92A6008-70FA-4606-8EB3-6C481EDAA612]
007133522_00097 (imageset: 5A645213-61D1-4A22-BECB-4A992D11297C);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B13B3941-CAEB-41D1-85D5-937953186715/manage/5A645213-61D1-4A22-BECB-4A992D11297C/batches/393A73B3-D8D6-4DF5-827B-AC7B4EFA606B]
007133518_00212 (imageset: 12C6DBBD-7816-4FD0-BE66-8D61DCA40B48);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B13B3941-CAEB-41D1-85D5-937953186715/manage/12C6DBBD-7816-4FD0-BE66-8D61DCA40B48/batches/9996074C-359A-4A50-9A72-0562436CD0BB]
007133513_00238 (imageset: 996B8C03-15DA-4FD2-910D-67A735AA564C);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B13B3941-CAEB-41D1-85D5-937953186715/manage/996B8C03-15DA-4FD2-910D-67A735AA564C/batches/91A06BC0-FD60-4AD7-A478-824BAF04EE4E]
