Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 20;
104073892_00400 (imageset: D732FC26-BCE1-4B39-A999-40E5C1CF21A6);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B26183A2-BE31-4B1D-A521-68561D3D42A6/manage/D732FC26-BCE1-4B39-A999-40E5C1CF21A6/batches/AFAB6CD2-D71A-4188-A6E2-C70BE0CFCDE1]
104074102_00277 (imageset: 2F1A0CBA-5A8B-4E62-B913-12BB3FC0936F);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B26183A2-BE31-4B1D-A521-68561D3D42A6/manage/2F1A0CBA-5A8B-4E62-B913-12BB3FC0936F/batches/E4CA2A1C-977B-4607-AF78-FABBE1A0437B]
104074102_00276 (imageset: 2F1A0CBA-5A8B-4E62-B913-12BB3FC0936F);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B26183A2-BE31-4B1D-A521-68561D3D42A6/manage/2F1A0CBA-5A8B-4E62-B913-12BB3FC0936F/batches/E4CA2A1C-977B-4607-AF78-FABBE1A0437B]
104073892_00398 (imageset: D732FC26-BCE1-4B39-A999-40E5C1CF21A6);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B26183A2-BE31-4B1D-A521-68561D3D42A6/manage/D732FC26-BCE1-4B39-A999-40E5C1CF21A6/batches/AFAB6CD2-D71A-4188-A6E2-C70BE0CFCDE1]
104074102_00279 (imageset: 2F1A0CBA-5A8B-4E62-B913-12BB3FC0936F);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B26183A2-BE31-4B1D-A521-68561D3D42A6/manage/2F1A0CBA-5A8B-4E62-B913-12BB3FC0936F/batches/E4CA2A1C-977B-4607-AF78-FABBE1A0437B]
104073892_00399 (imageset: D732FC26-BCE1-4B39-A999-40E5C1CF21A6);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B26183A2-BE31-4B1D-A521-68561D3D42A6/manage/D732FC26-BCE1-4B39-A999-40E5C1CF21A6/batches/AFAB6CD2-D71A-4188-A6E2-C70BE0CFCDE1]
104074102_00278 (imageset: 2F1A0CBA-5A8B-4E62-B913-12BB3FC0936F);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B26183A2-BE31-4B1D-A521-68561D3D42A6/manage/2F1A0CBA-5A8B-4E62-B913-12BB3FC0936F/batches/E4CA2A1C-977B-4607-AF78-FABBE1A0437B]
104073892_00396 (imageset: D732FC26-BCE1-4B39-A999-40E5C1CF21A6);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B26183A2-BE31-4B1D-A521-68561D3D42A6/manage/D732FC26-BCE1-4B39-A999-40E5C1CF21A6/batches/AFAB6CD2-D71A-4188-A6E2-C70BE0CFCDE1]
104074102_00284 (imageset: 2F1A0CBA-5A8B-4E62-B913-12BB3FC0936F);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B26183A2-BE31-4B1D-A521-68561D3D42A6/manage/2F1A0CBA-5A8B-4E62-B913-12BB3FC0936F/batches/E4CA2A1C-977B-4607-AF78-FABBE1A0437B]
104073892_00397 (imageset: D732FC26-BCE1-4B39-A999-40E5C1CF21A6);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B26183A2-BE31-4B1D-A521-68561D3D42A6/manage/D732FC26-BCE1-4B39-A999-40E5C1CF21A6/batches/AFAB6CD2-D71A-4188-A6E2-C70BE0CFCDE1]
104074102_00283 (imageset: 2F1A0CBA-5A8B-4E62-B913-12BB3FC0936F);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B26183A2-BE31-4B1D-A521-68561D3D42A6/manage/2F1A0CBA-5A8B-4E62-B913-12BB3FC0936F/batches/E4CA2A1C-977B-4607-AF78-FABBE1A0437B]
104073892_00394 (imageset: D732FC26-BCE1-4B39-A999-40E5C1CF21A6);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B26183A2-BE31-4B1D-A521-68561D3D42A6/manage/D732FC26-BCE1-4B39-A999-40E5C1CF21A6/batches/AFAB6CD2-D71A-4188-A6E2-C70BE0CFCDE1]
104074102_00275 (imageset: 2F1A0CBA-5A8B-4E62-B913-12BB3FC0936F);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B26183A2-BE31-4B1D-A521-68561D3D42A6/manage/2F1A0CBA-5A8B-4E62-B913-12BB3FC0936F/batches/E4CA2A1C-977B-4607-AF78-FABBE1A0437B]
104073892_00395 (imageset: D732FC26-BCE1-4B39-A999-40E5C1CF21A6);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B26183A2-BE31-4B1D-A521-68561D3D42A6/manage/D732FC26-BCE1-4B39-A999-40E5C1CF21A6/batches/AFAB6CD2-D71A-4188-A6E2-C70BE0CFCDE1]
104073892_00392 (imageset: D732FC26-BCE1-4B39-A999-40E5C1CF21A6);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B26183A2-BE31-4B1D-A521-68561D3D42A6/manage/D732FC26-BCE1-4B39-A999-40E5C1CF21A6/batches/AFAB6CD2-D71A-4188-A6E2-C70BE0CFCDE1]
