Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_REJECTED_STATE: 51;
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 1649;
007857688_01140 (imageset: DDB9FE8C-A5A2-49CA-BD3F-AFD8DE81463C);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B572D592-792A-4F50-BA00-EA5E1372C0DD/manage/DDB9FE8C-A5A2-49CA-BD3F-AFD8DE81463C/batches/A7EE4CF4-6B31-489D-9D53-65A26B29D9AB]
007857688_02474 (imageset: DDB9FE8C-A5A2-49CA-BD3F-AFD8DE81463C);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B572D592-792A-4F50-BA00-EA5E1372C0DD/manage/DDB9FE8C-A5A2-49CA-BD3F-AFD8DE81463C/batches/A3CBD6A9-64E6-4D6C-A404-F62FC08CEF1E]
007857688_02478 (imageset: DDB9FE8C-A5A2-49CA-BD3F-AFD8DE81463C);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B572D592-792A-4F50-BA00-EA5E1372C0DD/manage/DDB9FE8C-A5A2-49CA-BD3F-AFD8DE81463C/batches/609A1EE6-E397-4AC3-B076-92E439CBCDC5]
007857679_01996 (imageset: 15E16E8E-789E-4F45-A412-88A70076246B);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B572D592-792A-4F50-BA00-EA5E1372C0DD/manage/15E16E8E-789E-4F45-A412-88A70076246B/batches/2ED50E6E-A297-4E98-87E7-6ADAB4EFDBC8]
007857679_01997 (imageset: 15E16E8E-789E-4F45-A412-88A70076246B);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B572D592-792A-4F50-BA00-EA5E1372C0DD/manage/15E16E8E-789E-4F45-A412-88A70076246B/batches/0C622F3D-D40A-4DF1-8CC5-059E5E275F25]
007857679_00666 (imageset: 15E16E8E-789E-4F45-A412-88A70076246B);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B572D592-792A-4F50-BA00-EA5E1372C0DD/manage/15E16E8E-789E-4F45-A412-88A70076246B/batches/E9DB14B5-AA6C-42FE-810C-6AE9DE2831A9]
007857679_02842 (imageset: 15E16E8E-789E-4F45-A412-88A70076246B);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B572D592-792A-4F50-BA00-EA5E1372C0DD/manage/15E16E8E-789E-4F45-A412-88A70076246B/batches/C659F287-6EE8-43D6-A2F2-E11B402B02AD]
007857679_01994 (imageset: 15E16E8E-789E-4F45-A412-88A70076246B);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B572D592-792A-4F50-BA00-EA5E1372C0DD/manage/15E16E8E-789E-4F45-A412-88A70076246B/batches/C4F3174A-50B5-4604-8E63-0B7FE214D510]
007857679_00664 (imageset: 15E16E8E-789E-4F45-A412-88A70076246B);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B572D592-792A-4F50-BA00-EA5E1372C0DD/manage/15E16E8E-789E-4F45-A412-88A70076246B/batches/69F82A2C-1453-4A77-B8FB-761FFB171894]
007857679_01993 (imageset: 15E16E8E-789E-4F45-A412-88A70076246B);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B572D592-792A-4F50-BA00-EA5E1372C0DD/manage/15E16E8E-789E-4F45-A412-88A70076246B/batches/02613676-E41F-48DE-9E2F-61B1ACFB5FDA]
007857679_02849 (imageset: 15E16E8E-789E-4F45-A412-88A70076246B);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B572D592-792A-4F50-BA00-EA5E1372C0DD/manage/15E16E8E-789E-4F45-A412-88A70076246B/batches/C6C0C20E-8908-4B80-BE8C-5707A89CF0F3]
007857679_01519 (imageset: 15E16E8E-789E-4F45-A412-88A70076246B);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B572D592-792A-4F50-BA00-EA5E1372C0DD/manage/15E16E8E-789E-4F45-A412-88A70076246B/batches/E0496415-E0E0-4299-9C1C-430BE2AB9403]
007857691_02666 (imageset: 4111A014-69C0-4ABD-9B2F-BAB5EDDE0209);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B572D592-792A-4F50-BA00-EA5E1372C0DD/manage/4111A014-69C0-4ABD-9B2F-BAB5EDDE0209/batches/BE419943-8C7A-4AB0-ABCB-4EBD9D581E8D]
007857679_02848 (imageset: 15E16E8E-789E-4F45-A412-88A70076246B);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B572D592-792A-4F50-BA00-EA5E1372C0DD/manage/15E16E8E-789E-4F45-A412-88A70076246B/batches/BD379387-0D89-4F50-96F3-939FC8E05E86]
007857679_01517 (imageset: 15E16E8E-789E-4F45-A412-88A70076246B);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B572D592-792A-4F50-BA00-EA5E1372C0DD/manage/15E16E8E-789E-4F45-A412-88A70076246B/batches/7EB33E33-5B20-44A3-81CF-E175A21A8E1D]
007857679_00667 (imageset: 15E16E8E-789E-4F45-A412-88A70076246B);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B572D592-792A-4F50-BA00-EA5E1372C0DD/manage/15E16E8E-789E-4F45-A412-88A70076246B/batches/73A48F76-DA8F-46DC-BDA5-9ABABDB92041]
007857679_02846 (imageset: 15E16E8E-789E-4F45-A412-88A70076246B);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B572D592-792A-4F50-BA00-EA5E1372C0DD/manage/15E16E8E-789E-4F45-A412-88A70076246B/batches/F598F095-2D99-4CE1-9133-D4DCF54AC5BE]
