Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 623;
007418274_00326 (imageset: FB8D063E-D770-4FEC-A445-80C362D6FB9B);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B679E4A4-573E-4914-94FC-57C4EFE9D716/manage/FB8D063E-D770-4FEC-A445-80C362D6FB9B/batches/33B2CF61-2E30-48CC-AC3B-C735C6765EC9]
007418279_00221 (imageset: 7D18B4A2-069D-49B2-8FFC-DB199BF03D1A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B679E4A4-573E-4914-94FC-57C4EFE9D716/manage/7D18B4A2-069D-49B2-8FFC-DB199BF03D1A/batches/2582F1E0-F736-44C6-A577-BBA769D85A8A]
007418279_00220 (imageset: 7D18B4A2-069D-49B2-8FFC-DB199BF03D1A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B679E4A4-573E-4914-94FC-57C4EFE9D716/manage/7D18B4A2-069D-49B2-8FFC-DB199BF03D1A/batches/2582F1E0-F736-44C6-A577-BBA769D85A8A]
007418274_00324 (imageset: FB8D063E-D770-4FEC-A445-80C362D6FB9B);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B679E4A4-573E-4914-94FC-57C4EFE9D716/manage/FB8D063E-D770-4FEC-A445-80C362D6FB9B/batches/33B2CF61-2E30-48CC-AC3B-C735C6765EC9]
007418279_00223 (imageset: 7D18B4A2-069D-49B2-8FFC-DB199BF03D1A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B679E4A4-573E-4914-94FC-57C4EFE9D716/manage/7D18B4A2-069D-49B2-8FFC-DB199BF03D1A/batches/2582F1E0-F736-44C6-A577-BBA769D85A8A]
007418274_00325 (imageset: FB8D063E-D770-4FEC-A445-80C362D6FB9B);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B679E4A4-573E-4914-94FC-57C4EFE9D716/manage/FB8D063E-D770-4FEC-A445-80C362D6FB9B/batches/33B2CF61-2E30-48CC-AC3B-C735C6765EC9]
007418279_00222 (imageset: 7D18B4A2-069D-49B2-8FFC-DB199BF03D1A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B679E4A4-573E-4914-94FC-57C4EFE9D716/manage/7D18B4A2-069D-49B2-8FFC-DB199BF03D1A/batches/2582F1E0-F736-44C6-A577-BBA769D85A8A]
007418274_00322 (imageset: FB8D063E-D770-4FEC-A445-80C362D6FB9B);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B679E4A4-573E-4914-94FC-57C4EFE9D716/manage/FB8D063E-D770-4FEC-A445-80C362D6FB9B/batches/33B2CF61-2E30-48CC-AC3B-C735C6765EC9]
007418274_00323 (imageset: FB8D063E-D770-4FEC-A445-80C362D6FB9B);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B679E4A4-573E-4914-94FC-57C4EFE9D716/manage/FB8D063E-D770-4FEC-A445-80C362D6FB9B/batches/33B2CF61-2E30-48CC-AC3B-C735C6765EC9]
