Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA: 111;
ReportItem instance counts;;IMAGE_IN_REJECTED_STATE: 6;
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 20;
007579602 (B3913C99-8B60-4C4F-8433-7431C4883CF7);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/B736F1D1-20BF-476D-9D42-FCA56F22B425/manage/B3913C99-8B60-4C4F-8433-7431C4883CF7/batches/list]
007579579 (4CDEEF6C-81FD-44C4-A1AF-DC707C9082E7);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/B736F1D1-20BF-476D-9D42-FCA56F22B425/manage/4CDEEF6C-81FD-44C4-A1AF-DC707C9082E7/batches/list]
007579385 (D65CC75C-022A-452F-9FAB-FC04C40C55BC);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/B736F1D1-20BF-476D-9D42-FCA56F22B425/manage/D65CC75C-022A-452F-9FAB-FC04C40C55BC/batches/list]
007579419 (CA202897-7EA2-4AAB-B940-210A25747E1F);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/B736F1D1-20BF-476D-9D42-FCA56F22B425/manage/CA202897-7EA2-4AAB-B940-210A25747E1F/batches/list]
004013132 (0359C7F2-9211-4872-9E9B-A41F07AF7AA2);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/B736F1D1-20BF-476D-9D42-FCA56F22B425/manage/0359C7F2-9211-4872-9E9B-A41F07AF7AA2/batches/list]
007579586 (BF9DDFD5-1472-4CF3-B35A-A0344D4DF2A3);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/B736F1D1-20BF-476D-9D42-FCA56F22B425/manage/BF9DDFD5-1472-4CF3-B35A-A0344D4DF2A3/batches/list]
004011668 (23BFEA10-7277-4511-ABB2-EB5E90B104A3);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/B736F1D1-20BF-476D-9D42-FCA56F22B425/manage/23BFEA10-7277-4511-ABB2-EB5E90B104A3/batches/list]
007579422 (7F8FA417-081B-4BEA-900E-CB6468A9DCE8);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/B736F1D1-20BF-476D-9D42-FCA56F22B425/manage/7F8FA417-081B-4BEA-900E-CB6468A9DCE8/batches/list]
007579600 (AADA12F5-9F60-4789-88AD-27BFBBF11952);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/B736F1D1-20BF-476D-9D42-FCA56F22B425/manage/AADA12F5-9F60-4789-88AD-27BFBBF11952/batches/list]
007579410 (2E020D20-9F46-44A0-9804-42A72FDE6B82);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/B736F1D1-20BF-476D-9D42-FCA56F22B425/manage/2E020D20-9F46-44A0-9804-42A72FDE6B82/batches/list]
007579604 (C48D70EE-6531-403E-8982-66787FE9375E);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/B736F1D1-20BF-476D-9D42-FCA56F22B425/manage/C48D70EE-6531-403E-8982-66787FE9375E/batches/list]
007579448 (17C50C69-65A1-4A0A-B59F-F9FBE3C69DB0);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/B736F1D1-20BF-476D-9D42-FCA56F22B425/manage/17C50C69-65A1-4A0A-B59F-F9FBE3C69DB0/batches/list]
007579467 (4145EBC2-8AD6-4638-9CF8-1CC8401048F9);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/B736F1D1-20BF-476D-9D42-FCA56F22B425/manage/4145EBC2-8AD6-4638-9CF8-1CC8401048F9/batches/list]
007579432 (8A5FB6EE-592F-485C-A5B5-6BDD567C3E12);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/B736F1D1-20BF-476D-9D42-FCA56F22B425/manage/8A5FB6EE-592F-485C-A5B5-6BDD567C3E12/batches/list]
007579455 (134DEB76-2BA2-4B07-82AD-4EC387007F25);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/B736F1D1-20BF-476D-9D42-FCA56F22B425/manage/134DEB76-2BA2-4B07-82AD-4EC387007F25/batches/list]
007579443 (AD29BC68-2A77-42C8-ACD5-7B8C923FF557);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/B736F1D1-20BF-476D-9D42-FCA56F22B425/manage/AD29BC68-2A77-42C8-ACD5-7B8C923FF557/batches/list]
004163545 (82CD56B2-E941-4068-9D49-7AE4F63B2DF8);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/B736F1D1-20BF-476D-9D42-FCA56F22B425/manage/82CD56B2-E941-4068-9D49-7AE4F63B2DF8/batches/list]
007579585 (8047940B-DD2B-438A-B72B-1DF917BF11CA);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/B736F1D1-20BF-476D-9D42-FCA56F22B425/manage/8047940B-DD2B-438A-B72B-1DF917BF11CA/batches/list]
004011664 (F0670D54-EC91-4BC9-894F-A545FA7F5F51);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/B736F1D1-20BF-476D-9D42-FCA56F22B425/manage/F0670D54-EC91-4BC9-894F-A545FA7F5F51/batches/list]
007579598 (C3504492-2F11-4308-876F-2AEFE590C256);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/B736F1D1-20BF-476D-9D42-FCA56F22B425/manage/C3504492-2F11-4308-876F-2AEFE590C256/batches/list]
004013127 (83C6F7A4-99D6-46C0-B50D-EC1BBF8DAE50);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/B736F1D1-20BF-476D-9D42-FCA56F22B425/manage/83C6F7A4-99D6-46C0-B50D-EC1BBF8DAE50/batches/list]
007579451 (3B62A2BF-5623-4F96-9F96-D0633F76F0C1);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/B736F1D1-20BF-476D-9D42-FCA56F22B425/manage/3B62A2BF-5623-4F96-9F96-D0633F76F0C1/batches/list]
004013133 (5F8DCF3F-62C4-4C3C-B1D5-73D2C6926CF9);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/B736F1D1-20BF-476D-9D42-FCA56F22B425/manage/5F8DCF3F-62C4-4C3C-B1D5-73D2C6926CF9/batches/list]
007579413 (AED93BA5-4745-4F59-87AD-2908B06ECADE);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/B736F1D1-20BF-476D-9D42-FCA56F22B425/manage/AED93BA5-4745-4F59-87AD-2908B06ECADE/batches/list]
007579442 (C43057A6-104C-4AAF-9C35-EAED8DC2997D);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/B736F1D1-20BF-476D-9D42-FCA56F22B425/manage/C43057A6-104C-4AAF-9C35-EAED8DC2997D/batches/list]
007579583 (A2CE0E11-F27E-429C-9285-DBC64685E7AA);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/B736F1D1-20BF-476D-9D42-FCA56F22B425/manage/A2CE0E11-F27E-429C-9285-DBC64685E7AA/batches/list]
007578522 (30388F3F-D134-4483-85E6-879E9534B17B);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/B736F1D1-20BF-476D-9D42-FCA56F22B425/manage/30388F3F-D134-4483-85E6-879E9534B17B/batches/list]
004011669 (F9A177F5-7AD3-4165-A845-587F30633E57);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/B736F1D1-20BF-476D-9D42-FCA56F22B425/manage/F9A177F5-7AD3-4165-A845-587F30633E57/batches/list]
007579416 (4F91F1CC-7070-4F7F-B688-DD0EB09610F0);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/B736F1D1-20BF-476D-9D42-FCA56F22B425/manage/4F91F1CC-7070-4F7F-B688-DD0EB09610F0/batches/list]
007579421 (B1E07B23-1BEF-4C50-A531-3B7EE938289D);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/B736F1D1-20BF-476D-9D42-FCA56F22B425/manage/B1E07B23-1BEF-4C50-A531-3B7EE938289D/batches/list]
007579597 (90C29961-D0EB-414D-B69A-D2318B0B10C6);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/B736F1D1-20BF-476D-9D42-FCA56F22B425/manage/90C29961-D0EB-414D-B69A-D2318B0B10C6/batches/list]
004003976 (50BA363E-76B0-45BD-BEC1-452047ACBC0E);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/B736F1D1-20BF-476D-9D42-FCA56F22B425/manage/50BA363E-76B0-45BD-BEC1-452047ACBC0E/batches/list]
007579449 (75782021-F972-44B6-9B58-CC5FB851E1B3);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/B736F1D1-20BF-476D-9D42-FCA56F22B425/manage/75782021-F972-44B6-9B58-CC5FB851E1B3/batches/list]
007579446 (31A45708-D5BF-41FF-9224-8B823EF8BC5E);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/B736F1D1-20BF-476D-9D42-FCA56F22B425/manage/31A45708-D5BF-41FF-9224-8B823EF8BC5E/batches/list]
007579593 (1972F236-8678-465A-A95B-6F2689DCD782);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/B736F1D1-20BF-476D-9D42-FCA56F22B425/manage/1972F236-8678-465A-A95B-6F2689DCD782/batches/list]
007579444 (82B6F469-CFAC-4E3E-ADF3-2CD7522F5D2F);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/B736F1D1-20BF-476D-9D42-FCA56F22B425/manage/82B6F469-CFAC-4E3E-ADF3-2CD7522F5D2F/batches/list]
007579576 (52605866-1D85-4994-A942-A15FAB0BB769);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/B736F1D1-20BF-476D-9D42-FCA56F22B425/manage/52605866-1D85-4994-A942-A15FAB0BB769/batches/list]
007579461 (B7AD3524-D243-4F39-959C-E460AB1EE916);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/B736F1D1-20BF-476D-9D42-FCA56F22B425/manage/B7AD3524-D243-4F39-959C-E460AB1EE916/batches/list]
