Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGESET_NOT_IN_IMAGE_EXPORT_TABLE: 166;
ReportItem instance counts;;PROJECT_BLOCKED_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;IMAGESET_STATES: 166;
ReportItem instance counts;;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES: 64848;
ReportItem instance counts;;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE: 84205;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;IMAGE_NO_INDEXING_BATCH: 84205;
ReportItem instance counts;;PROJECT_IMAGESET_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;IMAGESET_IN_ANOTHER_SIMILAR_PROJECT: 166;
004591049_02038 (imageset: F85CCB54-EEB3-46EB-8939-185136624177);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH \\ IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B7E65FCF-7DAA-4E8C-9EB3-10C80F559D4F/manage/F85CCB54-EEB3-46EB-8939-185136624177/batches/8DFC5687-D40F-4DE3-9680-07D3323E5E56]
004591024_01841 (imageset: 357F0309-837A-4395-A40A-A07022516801);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH \\ IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B7E65FCF-7DAA-4E8C-9EB3-10C80F559D4F/manage/357F0309-837A-4395-A40A-A07022516801/batches/5B50C3E2-ACCB-460E-91C0-6624402117C0]
004591062_01663 (imageset: 62B5C7DD-77FB-453F-A895-411BCC345143);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH \\ IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B7E65FCF-7DAA-4E8C-9EB3-10C80F559D4F/manage/62B5C7DD-77FB-453F-A895-411BCC345143/batches/70A15276-4D91-4516-973F-728CFF1D0983]
004591049_02039 (imageset: F85CCB54-EEB3-46EB-8939-185136624177);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH \\ IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B7E65FCF-7DAA-4E8C-9EB3-10C80F559D4F/manage/F85CCB54-EEB3-46EB-8939-185136624177/batches/8DFC5687-D40F-4DE3-9680-07D3323E5E56]
004591062_01664 (imageset: 62B5C7DD-77FB-453F-A895-411BCC345143);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH \\ IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B7E65FCF-7DAA-4E8C-9EB3-10C80F559D4F/manage/62B5C7DD-77FB-453F-A895-411BCC345143/batches/70A15276-4D91-4516-973F-728CFF1D0983]
004591024_01842 (imageset: 357F0309-837A-4395-A40A-A07022516801);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH \\ IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B7E65FCF-7DAA-4E8C-9EB3-10C80F559D4F/manage/357F0309-837A-4395-A40A-A07022516801/batches/5B50C3E2-ACCB-460E-91C0-6624402117C0]
004591062_01661 (imageset: 62B5C7DD-77FB-453F-A895-411BCC345143);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH \\ IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B7E65FCF-7DAA-4E8C-9EB3-10C80F559D4F/manage/62B5C7DD-77FB-453F-A895-411BCC345143/batches/70A15276-4D91-4516-973F-728CFF1D0983]
004591024_01840 (imageset: 357F0309-837A-4395-A40A-A07022516801);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH \\ IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B7E65FCF-7DAA-4E8C-9EB3-10C80F559D4F/manage/357F0309-837A-4395-A40A-A07022516801/batches/5B50C3E2-ACCB-460E-91C0-6624402117C0]
004591062_01662 (imageset: 62B5C7DD-77FB-453F-A895-411BCC345143);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH \\ IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B7E65FCF-7DAA-4E8C-9EB3-10C80F559D4F/manage/62B5C7DD-77FB-453F-A895-411BCC345143/batches/70A15276-4D91-4516-973F-728CFF1D0983]
004591062_01660 (imageset: 62B5C7DD-77FB-453F-A895-411BCC345143);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH \\ IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B7E65FCF-7DAA-4E8C-9EB3-10C80F559D4F/manage/62B5C7DD-77FB-453F-A895-411BCC345143/batches/70A15276-4D91-4516-973F-728CFF1D0983]
004591024_01849 (imageset: 357F0309-837A-4395-A40A-A07022516801);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH \\ IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B7E65FCF-7DAA-4E8C-9EB3-10C80F559D4F/manage/357F0309-837A-4395-A40A-A07022516801/batches/5B50C3E2-ACCB-460E-91C0-6624402117C0]
004591024_01847 (imageset: 357F0309-837A-4395-A40A-A07022516801);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH \\ IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B7E65FCF-7DAA-4E8C-9EB3-10C80F559D4F/manage/357F0309-837A-4395-A40A-A07022516801/batches/5B50C3E2-ACCB-460E-91C0-6624402117C0]
004591024_01848 (imageset: 357F0309-837A-4395-A40A-A07022516801);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH \\ IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B7E65FCF-7DAA-4E8C-9EB3-10C80F559D4F/manage/357F0309-837A-4395-A40A-A07022516801/batches/5B50C3E2-ACCB-460E-91C0-6624402117C0]
004590938_01389 (imageset: F375E828-74E1-475D-A814-95FBB836F33C);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH \\ IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B7E65FCF-7DAA-4E8C-9EB3-10C80F559D4F/manage/F375E828-74E1-475D-A814-95FBB836F33C/batches/61822F22-5ED8-4E60-99D7-78E245BDD71B]
004591024_01845 (imageset: 357F0309-837A-4395-A40A-A07022516801);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH \\ IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B7E65FCF-7DAA-4E8C-9EB3-10C80F559D4F/manage/357F0309-837A-4395-A40A-A07022516801/batches/5B50C3E2-ACCB-460E-91C0-6624402117C0]
004591024_01846 (imageset: 357F0309-837A-4395-A40A-A07022516801);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH \\ IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B7E65FCF-7DAA-4E8C-9EB3-10C80F559D4F/manage/357F0309-837A-4395-A40A-A07022516801/batches/5B50C3E2-ACCB-460E-91C0-6624402117C0]
004590938_01387 (imageset: F375E828-74E1-475D-A814-95FBB836F33C);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH \\ IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B7E65FCF-7DAA-4E8C-9EB3-10C80F559D4F/manage/F375E828-74E1-475D-A814-95FBB836F33C/batches/61822F22-5ED8-4E60-99D7-78E245BDD71B]
004591024_01843 (imageset: 357F0309-837A-4395-A40A-A07022516801);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH \\ IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B7E65FCF-7DAA-4E8C-9EB3-10C80F559D4F/manage/357F0309-837A-4395-A40A-A07022516801/batches/5B50C3E2-ACCB-460E-91C0-6624402117C0]
004591024_01844 (imageset: 357F0309-837A-4395-A40A-A07022516801);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH \\ IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B7E65FCF-7DAA-4E8C-9EB3-10C80F559D4F/manage/357F0309-837A-4395-A40A-A07022516801/batches/5B50C3E2-ACCB-460E-91C0-6624402117C0]
004590938_01388 (imageset: F375E828-74E1-475D-A814-95FBB836F33C);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH \\ IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B7E65FCF-7DAA-4E8C-9EB3-10C80F559D4F/manage/F375E828-74E1-475D-A814-95FBB836F33C/batches/61822F22-5ED8-4E60-99D7-78E245BDD71B]
004590938_01396 (imageset: F375E828-74E1-475D-A814-95FBB836F33C);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH \\ IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B7E65FCF-7DAA-4E8C-9EB3-10C80F559D4F/manage/F375E828-74E1-475D-A814-95FBB836F33C/batches/61822F22-5ED8-4E60-99D7-78E245BDD71B]
004590938_01397 (imageset: F375E828-74E1-475D-A814-95FBB836F33C);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH \\ IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B7E65FCF-7DAA-4E8C-9EB3-10C80F559D4F/manage/F375E828-74E1-475D-A814-95FBB836F33C/batches/61822F22-5ED8-4E60-99D7-78E245BDD71B]
004590938_01394 (imageset: F375E828-74E1-475D-A814-95FBB836F33C);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH \\ IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B7E65FCF-7DAA-4E8C-9EB3-10C80F559D4F/manage/F375E828-74E1-475D-A814-95FBB836F33C/batches/61822F22-5ED8-4E60-99D7-78E245BDD71B]
004590938_01395 (imageset: F375E828-74E1-475D-A814-95FBB836F33C);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH \\ IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B7E65FCF-7DAA-4E8C-9EB3-10C80F559D4F/manage/F375E828-74E1-475D-A814-95FBB836F33C/batches/61822F22-5ED8-4E60-99D7-78E245BDD71B]
004590938_01392 (imageset: F375E828-74E1-475D-A814-95FBB836F33C);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH \\ IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B7E65FCF-7DAA-4E8C-9EB3-10C80F559D4F/manage/F375E828-74E1-475D-A814-95FBB836F33C/batches/61822F22-5ED8-4E60-99D7-78E245BDD71B]
004590938_01393 (imageset: F375E828-74E1-475D-A814-95FBB836F33C);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH \\ IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B7E65FCF-7DAA-4E8C-9EB3-10C80F559D4F/manage/F375E828-74E1-475D-A814-95FBB836F33C/batches/61822F22-5ED8-4E60-99D7-78E245BDD71B]
004590938_01390 (imageset: F375E828-74E1-475D-A814-95FBB836F33C);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH \\ IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B7E65FCF-7DAA-4E8C-9EB3-10C80F559D4F/manage/F375E828-74E1-475D-A814-95FBB836F33C/batches/61822F22-5ED8-4E60-99D7-78E245BDD71B]
