Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_REJECTED_STATE: 27;
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 1409;
100604388_00122 (imageset: E7A5944F-015F-46AB-8B50-7B7103E36A01);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B9061914-9EEF-4145-8677-02C44238B455/manage/E7A5944F-015F-46AB-8B50-7B7103E36A01/batches/87DF5A71-AFFB-4FA9-8DEF-4E6287046EDB]
100604388_00123 (imageset: E7A5944F-015F-46AB-8B50-7B7103E36A01);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B9061914-9EEF-4145-8677-02C44238B455/manage/E7A5944F-015F-46AB-8B50-7B7103E36A01/batches/87DF5A71-AFFB-4FA9-8DEF-4E6287046EDB]
100604388_00120 (imageset: E7A5944F-015F-46AB-8B50-7B7103E36A01);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B9061914-9EEF-4145-8677-02C44238B455/manage/E7A5944F-015F-46AB-8B50-7B7103E36A01/batches/441A0A12-ABE3-488E-89FA-22F1E794F8F7]
100604388_00121 (imageset: E7A5944F-015F-46AB-8B50-7B7103E36A01);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B9061914-9EEF-4145-8677-02C44238B455/manage/E7A5944F-015F-46AB-8B50-7B7103E36A01/batches/87DF5A71-AFFB-4FA9-8DEF-4E6287046EDB]
100628482_00031 (imageset: 61705CDF-1CBC-4684-9A5E-4EC5AD6A9097);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B9061914-9EEF-4145-8677-02C44238B455/manage/61705CDF-1CBC-4684-9A5E-4EC5AD6A9097/batches/58360ADF-B90B-47FC-A6FB-035E861EC3F9]
100665403_00089 (imageset: 4071F20F-2208-4A8F-8E71-604338C00D66);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B9061914-9EEF-4145-8677-02C44238B455/manage/4071F20F-2208-4A8F-8E71-604338C00D66/batches/80ABC50A-D4B0-4FE4-8217-2F5BFA912AB1]
100628482_00032 (imageset: 61705CDF-1CBC-4684-9A5E-4EC5AD6A9097);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B9061914-9EEF-4145-8677-02C44238B455/manage/61705CDF-1CBC-4684-9A5E-4EC5AD6A9097/batches/58360ADF-B90B-47FC-A6FB-035E861EC3F9]
100628482_00033 (imageset: 61705CDF-1CBC-4684-9A5E-4EC5AD6A9097);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B9061914-9EEF-4145-8677-02C44238B455/manage/61705CDF-1CBC-4684-9A5E-4EC5AD6A9097/batches/2E68DFBF-EB35-421C-9FAF-BE8666EAC928]
