Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGESET_NOT_IN_IMAGE_EXPORT_TABLE: 9;
ReportItem instance counts;;PROJECT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;BATCH_SHOULD_BE_EXPORTED: 4240;
ReportItem instance counts;;PROJECT_AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT_BLOCKED_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES: 1057;
ReportItem instance counts;;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE: 5871;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 201;
ReportItem instance counts;;PROJECT_NO_BLOCKED_IMAGES: 1;
ReportItem instance counts;;BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 4039;
ReportItem instance counts;;IMAGE_NO_INDEXING_BATCH: 1057;
ReportItem instance counts;;PROJECT_IMAGESET_COUNTS_ARE_NOT_EQUAL: 1;
004541927 (E3FA46FB-A119-47BF-AD07-22B248461DDD);IMAGESET;IMAGESET_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/B907B9AE-75A7-481A-B5D3-43B7DBB02C53/manage/E3FA46FB-A119-47BF-AD07-22B248461DDD/batches/list]
004541933 (C2858526-7B43-4057-AEF9-8C5C5B0405BB);IMAGESET;IMAGESET_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/B907B9AE-75A7-481A-B5D3-43B7DBB02C53/manage/C2858526-7B43-4057-AEF9-8C5C5B0405BB/batches/list]
004542024 (06E3A6F6-C454-4289-BE8D-0604FE760C8B);IMAGESET;IMAGESET_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/B907B9AE-75A7-481A-B5D3-43B7DBB02C53/manage/06E3A6F6-C454-4289-BE8D-0604FE760C8B/batches/list]
004542026 (3642FF71-2D22-4E02-A2BD-49E31F14EF92);IMAGESET;IMAGESET_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/B907B9AE-75A7-481A-B5D3-43B7DBB02C53/manage/3642FF71-2D22-4E02-A2BD-49E31F14EF92/batches/list]
004541929 (B535C9A4-7775-4FB1-899D-8E70A1FD80CF);IMAGESET;IMAGESET_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/B907B9AE-75A7-481A-B5D3-43B7DBB02C53/manage/B535C9A4-7775-4FB1-899D-8E70A1FD80CF/batches/list]
004541928 (5BE5B8D1-02F2-4FD8-B3A7-4907F2037F54);IMAGESET;IMAGESET_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/B907B9AE-75A7-481A-B5D3-43B7DBB02C53/manage/5BE5B8D1-02F2-4FD8-B3A7-4907F2037F54/batches/list]
004541935 (40B574E4-759D-4178-9163-4C1BB0D04CEA);IMAGESET;IMAGESET_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/B907B9AE-75A7-481A-B5D3-43B7DBB02C53/manage/40B574E4-759D-4178-9163-4C1BB0D04CEA/batches/list]
004541936 (2C6B8A80-B3A8-4C0B-AACC-CF46E9C75446);IMAGESET;IMAGESET_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/B907B9AE-75A7-481A-B5D3-43B7DBB02C53/manage/2C6B8A80-B3A8-4C0B-AACC-CF46E9C75446/batches/list]
004541932 (2F948DA8-A06D-4148-9CAC-9663498E4371);IMAGESET;IMAGESET_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/B907B9AE-75A7-481A-B5D3-43B7DBB02C53/manage/2F948DA8-A06D-4148-9CAC-9663498E4371/batches/list]
DA2DC60E-6012-4726-B5E8-1543F472EAB7;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B907B9AE-75A7-481A-B5D3-43B7DBB02C53/manage/06E3A6F6-C454-4289-BE8D-0604FE760C8B/batches/DA2DC60E-6012-4726-B5E8-1543F472EAB7]
