Item;Item Type;Note;Item Link
ReportItem instance counts;;BATCH_SHOULD_BE_EXPORTED: 7485;
ReportItem instance counts;;PROJECT_AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 7485;
71D32031-E692-4052-AE58-65F036364EDD;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B93FBA87-D7F7-4DF4-A2EE-88B934812CB7/manage/BB78E303-A235-428E-8542-C8FB7ED85229/batches/71D32031-E692-4052-AE58-65F036364EDD]
24C33094-4DE2-4573-AA66-E49BE549EC24;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B93FBA87-D7F7-4DF4-A2EE-88B934812CB7/manage/2F36958A-C130-49E5-B020-4567EFC772F2/batches/24C33094-4DE2-4573-AA66-E49BE549EC24]
DFC803DE-4FCE-49FF-BCF0-9517D78CDF02;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B93FBA87-D7F7-4DF4-A2EE-88B934812CB7/manage/58072ABE-6D58-4B61-8D8B-1A14307CA0FF/batches/DFC803DE-4FCE-49FF-BCF0-9517D78CDF02]
DC933512-FD02-45DE-BF89-7FD7C7B6708F;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B93FBA87-D7F7-4DF4-A2EE-88B934812CB7/manage/09991238-6467-4BEE-9CCD-E715CE1FDD3C/batches/DC933512-FD02-45DE-BF89-7FD7C7B6708F]
23EA7314-9EA4-4F38-96CE-C64130AB2E84;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B93FBA87-D7F7-4DF4-A2EE-88B934812CB7/manage/3CE56634-94EA-416C-91E1-4017D5B7BD64/batches/23EA7314-9EA4-4F38-96CE-C64130AB2E84]
8804EA38-4153-4D5A-B6B6-27F5DB9BFEE2;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B93FBA87-D7F7-4DF4-A2EE-88B934812CB7/manage/1DFD643B-4983-4DA3-A8FB-1E30968B1FBA/batches/8804EA38-4153-4D5A-B6B6-27F5DB9BFEE2]
BD950E0E-C132-4F98-AE4A-B5A223F9C1CB;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B93FBA87-D7F7-4DF4-A2EE-88B934812CB7/manage/646BFE2D-0002-4C95-9563-9A18840EDFBB/batches/BD950E0E-C132-4F98-AE4A-B5A223F9C1CB]
