Item;Item Type;Note;Item Link
ReportItem instance counts;;PROJECT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT_AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT_BATCHES_WITH_TOO_MANY_IMAGES: 1;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 100;
AC877A44-63CF-4B44-A93A-7FA5277A32A1;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B950A793-D1DD-4406-A5E3-1A14E6695829/manage/CE2B8F3A-40B9-40BB-B67E-3365AC223B81/batches/AC877A44-63CF-4B44-A93A-7FA5277A32A1]
3F5784F1-127E-4FB8-A511-1FF400051950;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B950A793-D1DD-4406-A5E3-1A14E6695829/manage/538A1820-2698-4356-8E78-750E388E32D2/batches/3F5784F1-127E-4FB8-A511-1FF400051950]
A80B4802-8BD2-4830-817E-0394C6EDE58E;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B950A793-D1DD-4406-A5E3-1A14E6695829/manage/1A79DC87-0FB9-4E32-8083-3BDB5235E2C2/batches/A80B4802-8BD2-4830-817E-0394C6EDE58E]
94E49708-901A-4427-BCD6-A06556D3ADBC;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B950A793-D1DD-4406-A5E3-1A14E6695829/manage/CE2B8F3A-40B9-40BB-B67E-3365AC223B81/batches/94E49708-901A-4427-BCD6-A06556D3ADBC]
398545AB-6BEB-4BE2-A1B7-7739B934B943;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B950A793-D1DD-4406-A5E3-1A14E6695829/manage/75A6E469-3A4A-4FFD-B814-9EA15F9B871B/batches/398545AB-6BEB-4BE2-A1B7-7739B934B943]
69DFE786-2AEC-4869-85CC-D28625FF13B2;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B950A793-D1DD-4406-A5E3-1A14E6695829/manage/ED25B8A7-F722-4FEB-9D85-F2CF17D6D4B3/batches/69DFE786-2AEC-4869-85CC-D28625FF13B2]
5DA55EDC-62E9-4F86-8BCD-43964CC94852;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B950A793-D1DD-4406-A5E3-1A14E6695829/manage/DA5E652B-3CA0-46A5-AB62-C1C2B016D1F1/batches/5DA55EDC-62E9-4F86-8BCD-43964CC94852]
18F4A5B2-D823-4872-AE67-69F0F7F72186;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B950A793-D1DD-4406-A5E3-1A14E6695829/manage/A3F55C46-D671-40A6-B6BF-5E3594602BB8/batches/18F4A5B2-D823-4872-AE67-69F0F7F72186]
95568469-C2F1-4A64-BB58-425AB7664F49;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B950A793-D1DD-4406-A5E3-1A14E6695829/manage/286670E5-CA2C-4305-8F5B-42CF07FFCCCE/batches/95568469-C2F1-4A64-BB58-425AB7664F49]
19509D0F-8153-45C8-A7A1-5B8BE20B1806;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B950A793-D1DD-4406-A5E3-1A14E6695829/manage/892A4FB8-79F7-4415-97F2-09CBA1E3E2CC/batches/19509D0F-8153-45C8-A7A1-5B8BE20B1806]
C041905A-C4D9-4582-8C31-A2FC2650E66C;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B950A793-D1DD-4406-A5E3-1A14E6695829/manage/38EB29A7-2D28-46F6-B7EA-97B29ADCD1D8/batches/C041905A-C4D9-4582-8C31-A2FC2650E66C]
52E7493E-F815-481D-8525-9F3E0B98C96A;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B950A793-D1DD-4406-A5E3-1A14E6695829/manage/A3F55C46-D671-40A6-B6BF-5E3594602BB8/batches/52E7493E-F815-481D-8525-9F3E0B98C96A]
D1CCE54A-319C-478D-B7CE-1FFC214DD7CF;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B950A793-D1DD-4406-A5E3-1A14E6695829/manage/38EB29A7-2D28-46F6-B7EA-97B29ADCD1D8/batches/D1CCE54A-319C-478D-B7CE-1FFC214DD7CF]
4C7FD18C-6F0F-492E-83C9-0AC94B9F6098;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B950A793-D1DD-4406-A5E3-1A14E6695829/manage/FC394FB5-96AC-4E4D-AC5A-7BE1953936F6/batches/4C7FD18C-6F0F-492E-83C9-0AC94B9F6098]
5E5F9912-512B-45B3-B7B7-AC824B7A8992;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B950A793-D1DD-4406-A5E3-1A14E6695829/manage/286670E5-CA2C-4305-8F5B-42CF07FFCCCE/batches/5E5F9912-512B-45B3-B7B7-AC824B7A8992]
9E29275B-2386-4CB2-BA41-0F7B5E599D5C;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B950A793-D1DD-4406-A5E3-1A14E6695829/manage/A4E7B41F-065E-4F67-999E-AE3C842FA22F/batches/9E29275B-2386-4CB2-BA41-0F7B5E599D5C]
495521B2-2164-418E-884B-7798F8EA4F58;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B950A793-D1DD-4406-A5E3-1A14E6695829/manage/3A7D406B-5818-4CEC-B006-279D2E58E561/batches/495521B2-2164-418E-884B-7798F8EA4F58]
70A562A5-ADAB-4EA1-89E5-8D6DC7BA6795;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B950A793-D1DD-4406-A5E3-1A14E6695829/manage/7532C352-A311-4D36-94BE-DB14E64CCB93/batches/70A562A5-ADAB-4EA1-89E5-8D6DC7BA6795]
C9A13979-4835-40A4-9602-0760732AA5FF;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B950A793-D1DD-4406-A5E3-1A14E6695829/manage/9C5536E3-969A-4399-8291-F37C7F4B6DBF/batches/C9A13979-4835-40A4-9602-0760732AA5FF]
48B21801-FEC1-41E2-8ADB-E616E137EBB0;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B950A793-D1DD-4406-A5E3-1A14E6695829/manage/8A9A164B-7C51-4321-8383-2C187CEAAB31/batches/48B21801-FEC1-41E2-8ADB-E616E137EBB0]
B5CD64E4-F908-4F12-AF26-5B690D4EF803;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B950A793-D1DD-4406-A5E3-1A14E6695829/manage/15BDD714-88E8-4F65-9FD1-6B2333ED19E5/batches/B5CD64E4-F908-4F12-AF26-5B690D4EF803]
7AC36724-0F13-43C8-8D57-D8594CBCC616;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B950A793-D1DD-4406-A5E3-1A14E6695829/manage/CE2B8F3A-40B9-40BB-B67E-3365AC223B81/batches/7AC36724-0F13-43C8-8D57-D8594CBCC616]
D36E6EE9-74A9-4925-AB6E-D458E6BCC7CC;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B950A793-D1DD-4406-A5E3-1A14E6695829/manage/2F85B04C-5BA8-4C4E-8979-70E5A8151BF1/batches/D36E6EE9-74A9-4925-AB6E-D458E6BCC7CC]
2958EC7B-806A-4CE1-8657-B266B78B265B;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B950A793-D1DD-4406-A5E3-1A14E6695829/manage/FC394FB5-96AC-4E4D-AC5A-7BE1953936F6/batches/2958EC7B-806A-4CE1-8657-B266B78B265B]
BEAE7EF7-966B-4E14-8AD0-7A3436D65649;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B950A793-D1DD-4406-A5E3-1A14E6695829/manage/2F85B04C-5BA8-4C4E-8979-70E5A8151BF1/batches/BEAE7EF7-966B-4E14-8AD0-7A3436D65649]
7FDF1FCA-58BE-44D1-AAF6-6DA8997801EA;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B950A793-D1DD-4406-A5E3-1A14E6695829/manage/8185F3EF-65B2-470F-8D2F-4FB82CE88875/batches/7FDF1FCA-58BE-44D1-AAF6-6DA8997801EA]
C712FEB3-6F97-4FA7-8FB1-A3877E2C33AE;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B950A793-D1DD-4406-A5E3-1A14E6695829/manage/779EDEC6-1C1C-44D5-964C-1F92297C8412/batches/C712FEB3-6F97-4FA7-8FB1-A3877E2C33AE]
B3E01770-2FC0-4F73-B29C-088BFDE12FF6;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B950A793-D1DD-4406-A5E3-1A14E6695829/manage/92BF5A7D-DBA9-443B-B5AE-2B8370C8CA5F/batches/B3E01770-2FC0-4F73-B29C-088BFDE12FF6]
ACEB7CF6-34C9-430D-AE69-07CFE19F4973;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B950A793-D1DD-4406-A5E3-1A14E6695829/manage/DA5E652B-3CA0-46A5-AB62-C1C2B016D1F1/batches/ACEB7CF6-34C9-430D-AE69-07CFE19F4973]
9A7E79A5-8DDC-4288-8C5B-F1146A8FA0D8;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B950A793-D1DD-4406-A5E3-1A14E6695829/manage/09E92E69-131F-4D1E-9529-C3E6DC0355A8/batches/9A7E79A5-8DDC-4288-8C5B-F1146A8FA0D8]
