Item;Item Type;Note;Item Link
ReportItem instance counts;;BATCH:NO_WORKFLOW_STATE: 100;
ReportItem instance counts;;BATCH:NOT_IN_IMAGE_EXPORT_TABLE: 100;
ReportItem instance counts;;BATCH:NOT_IN_PROJECT: 100;
3E8504DE-BD92-4425-8F72-8913ED7C7132;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B95444D8-EE40-421C-8B9D-20A8736930C4/manage/065EDD70-3BAF-4554-86BE-2E5CF8221DA2/batches/3E8504DE-BD92-4425-8F72-8913ED7C7132]
5D297890-6103-4EFD-A165-3E12B197E88C;BATCH;NOT_IN_IMAGE_EXPORT_TABLE\\NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B95444D8-EE40-421C-8B9D-20A8736930C4/manage/C1124F61-F3FB-477F-B704-68D95E7B740D/batches/5D297890-6103-4EFD-A165-3E12B197E88C]
1C8DA1DD-C5B9-4AA9-B33F-A4A3B51BC359;BATCH;NOT_IN_IMAGE_EXPORT_TABLE\\NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B95444D8-EE40-421C-8B9D-20A8736930C4/manage/07C089FB-E609-4CCA-B634-8A11114295B8/batches/1C8DA1DD-C5B9-4AA9-B33F-A4A3B51BC359]
E448B22B-685F-47B6-BF59-078B280CF881;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B95444D8-EE40-421C-8B9D-20A8736930C4/manage/07ABAE9A-7654-48FE-9228-3BA24EE14022/batches/E448B22B-685F-47B6-BF59-078B280CF881]
03A0347A-B309-4295-B870-9397B6644AC1;BATCH;NOT_IN_IMAGE_EXPORT_TABLE\\NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B95444D8-EE40-421C-8B9D-20A8736930C4/manage/1194ADF3-86FF-4A14-A4E8-53354DC0145A/batches/03A0347A-B309-4295-B870-9397B6644AC1]
0C39DEAC-C30D-48D6-BFF8-9DCF7E64F23B;BATCH;NOT_IN_IMAGE_EXPORT_TABLE\\NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B95444D8-EE40-421C-8B9D-20A8736930C4/manage/9EE34949-9F38-408B-A8AE-A781290F62CD/batches/0C39DEAC-C30D-48D6-BFF8-9DCF7E64F23B]
F73587A5-9B0E-4E5B-A505-66C28D5DE864;BATCH;NOT_IN_IMAGE_EXPORT_TABLE\\NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B95444D8-EE40-421C-8B9D-20A8736930C4/manage/36BF432E-498D-4760-B1CA-7EC216397A03/batches/F73587A5-9B0E-4E5B-A505-66C28D5DE864]
079C5DFE-89E0-420B-961F-03690A9D1D8D;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B95444D8-EE40-421C-8B9D-20A8736930C4/manage/0352AC11-D656-4C93-8493-9AEC96103E72/batches/079C5DFE-89E0-420B-961F-03690A9D1D8D]
A1709DDA-1BD9-4985-8F7C-D5C0DD296044;BATCH;NOT_IN_IMAGE_EXPORT_TABLE\\NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B95444D8-EE40-421C-8B9D-20A8736930C4/manage/CE50CE58-4515-4243-886A-D5961FFB307D/batches/A1709DDA-1BD9-4985-8F7C-D5C0DD296044]
E948CFC2-746B-4BDD-BADE-6BF1AD4554A3;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B95444D8-EE40-421C-8B9D-20A8736930C4/manage/0352AC11-D656-4C93-8493-9AEC96103E72/batches/E948CFC2-746B-4BDD-BADE-6BF1AD4554A3]
D4F144E4-C70D-4459-9C8E-C248AC0AEF8D;BATCH;NOT_IN_IMAGE_EXPORT_TABLE\\NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B95444D8-EE40-421C-8B9D-20A8736930C4/manage/4EA9DC3F-614F-49E2-869F-509E424A1238/batches/D4F144E4-C70D-4459-9C8E-C248AC0AEF8D]
5AD90887-E3C2-4C50-8F0E-4FB0B23BF81C;BATCH;NOT_IN_IMAGE_EXPORT_TABLE\\NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B95444D8-EE40-421C-8B9D-20A8736930C4/manage/0206B7EB-DD9B-468B-84B4-08C4C118217A/batches/5AD90887-E3C2-4C50-8F0E-4FB0B23BF81C]
1E180608-1C50-4258-9DB4-84CF023AB3F9;BATCH;NOT_IN_IMAGE_EXPORT_TABLE\\NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B95444D8-EE40-421C-8B9D-20A8736930C4/manage/6F22F497-1907-41FD-BE95-25822E768D39/batches/1E180608-1C50-4258-9DB4-84CF023AB3F9]
DDC05E0E-F468-4D24-AF2D-EB1828DEC906;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B95444D8-EE40-421C-8B9D-20A8736930C4/manage/077BDEA6-503C-489E-9890-F4762B798E60/batches/DDC05E0E-F468-4D24-AF2D-EB1828DEC906]
FCE4DE7C-7CE1-4947-8631-F78B4C9C36FA;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B95444D8-EE40-421C-8B9D-20A8736930C4/manage/077BDEA6-503C-489E-9890-F4762B798E60/batches/FCE4DE7C-7CE1-4947-8631-F78B4C9C36FA]
0203FB67-CC8F-46DB-AE98-36A0F92D1DB4;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B95444D8-EE40-421C-8B9D-20A8736930C4/manage/07C089FB-E609-4CCA-B634-8A11114295B8/batches/0203FB67-CC8F-46DB-AE98-36A0F92D1DB4]
E0089FD8-3C54-48E6-B651-1F46C92B8320;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B95444D8-EE40-421C-8B9D-20A8736930C4/manage/0206B7EB-DD9B-468B-84B4-08C4C118217A/batches/E0089FD8-3C54-48E6-B651-1F46C92B8320]
F9C5AD09-7E01-42AC-BDB1-E4523F21AF0D;BATCH;NOT_IN_IMAGE_EXPORT_TABLE\\NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B95444D8-EE40-421C-8B9D-20A8736930C4/manage/3E50049E-F3D6-4D3D-846A-59FC8759A9E4/batches/F9C5AD09-7E01-42AC-BDB1-E4523F21AF0D]
