Item;Item Type;Note;Item Link
ReportItem instance counts;;PROJECT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT_AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 6;
ReportItem instance counts;;BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 94;
9CD0C574-7393-46D9-8080-442DCBF60007;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B97869D3-3399-4D8F-91C5-D7E0420BE03B/manage/E365E449-553D-4DEC-B89E-C952EBF8444E/batches/9CD0C574-7393-46D9-8080-442DCBF60007]
F0ED3F95-6F51-45ED-AD8C-237E30178DFA;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B97869D3-3399-4D8F-91C5-D7E0420BE03B/manage/3DBA84D2-E8DA-4BC5-975A-C789C9868B04/batches/F0ED3F95-6F51-45ED-AD8C-237E30178DFA]
DC2C8228-29A1-4647-9F0C-3B4C08E66284;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B97869D3-3399-4D8F-91C5-D7E0420BE03B/manage/DA250C08-EAE2-4E0E-8CA6-82C5B68523C9/batches/DC2C8228-29A1-4647-9F0C-3B4C08E66284]
E17F7BC3-710A-41E8-B98D-D75C56AEB3B0;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B97869D3-3399-4D8F-91C5-D7E0420BE03B/manage/19A983B6-F29A-4AED-9889-E87B1532787F/batches/E17F7BC3-710A-41E8-B98D-D75C56AEB3B0]
F1020BF4-E3B0-41A5-A213-C5D307A26EC9;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B97869D3-3399-4D8F-91C5-D7E0420BE03B/manage/933EBF9C-3536-409B-8E26-69C18BE916B8/batches/F1020BF4-E3B0-41A5-A213-C5D307A26EC9]
743F1532-D217-4987-968B-06C3568860B3;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B97869D3-3399-4D8F-91C5-D7E0420BE03B/manage/19A983B6-F29A-4AED-9889-E87B1532787F/batches/743F1532-D217-4987-968B-06C3568860B3]
B963EDBF-3710-4FBE-BFB0-DBDAA629F36A;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B97869D3-3399-4D8F-91C5-D7E0420BE03B/manage/CECA19F9-C3D4-4706-B4B9-3BA23D8D329B/batches/B963EDBF-3710-4FBE-BFB0-DBDAA629F36A]
DCAF9129-A4E7-43BC-BF2D-77DF442010B1;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B97869D3-3399-4D8F-91C5-D7E0420BE03B/manage/73772246-2FBC-45CA-B7A2-6F5DF75EFDC9/batches/DCAF9129-A4E7-43BC-BF2D-77DF442010B1]
B5782681-F7A4-463B-92AA-CDB1D627EF84;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B97869D3-3399-4D8F-91C5-D7E0420BE03B/manage/45453476-8F02-4FC6-8076-70C9EBD1EE8C/batches/B5782681-F7A4-463B-92AA-CDB1D627EF84]
E699A9B6-0CC9-416B-BEF9-438D016F3AEA;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B97869D3-3399-4D8F-91C5-D7E0420BE03B/manage/C3C7E0D0-3757-4335-A188-C46B7E9AEF05/batches/E699A9B6-0CC9-416B-BEF9-438D016F3AEA]
D73356D0-4D16-439D-9E4A-DE2C0A5C2F1E;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B97869D3-3399-4D8F-91C5-D7E0420BE03B/manage/123A8E58-2CF2-4898-B32B-B419255D5A52/batches/D73356D0-4D16-439D-9E4A-DE2C0A5C2F1E]
1B164691-DECD-4E72-8F44-C3358B981921;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B97869D3-3399-4D8F-91C5-D7E0420BE03B/manage/E365E449-553D-4DEC-B89E-C952EBF8444E/batches/1B164691-DECD-4E72-8F44-C3358B981921]
D76790A7-2825-446B-B77B-276C023F135C;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B97869D3-3399-4D8F-91C5-D7E0420BE03B/manage/852B6C94-6283-4D26-A9BD-261D2C5E1C00/batches/D76790A7-2825-446B-B77B-276C023F135C]
BA82FEB8-61DB-4D66-ABC6-5815076A0037;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B97869D3-3399-4D8F-91C5-D7E0420BE03B/manage/A3298029-B4DD-4D24-8AA7-20746B63BBF7/batches/BA82FEB8-61DB-4D66-ABC6-5815076A0037]
83810CC6-AAD2-45B7-9058-F90E7E2F0797;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B97869D3-3399-4D8F-91C5-D7E0420BE03B/manage/933EBF9C-3536-409B-8E26-69C18BE916B8/batches/83810CC6-AAD2-45B7-9058-F90E7E2F0797]
BB65D117-C7A7-4326-97A5-D38FF6DF4CE9;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B97869D3-3399-4D8F-91C5-D7E0420BE03B/manage/12BEAACE-FDA4-4514-9299-8F66374E8D75/batches/BB65D117-C7A7-4326-97A5-D38FF6DF4CE9]
164F20B1-C187-4505-8ACD-65A1809F5C6B;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B97869D3-3399-4D8F-91C5-D7E0420BE03B/manage/A3298029-B4DD-4D24-8AA7-20746B63BBF7/batches/164F20B1-C187-4505-8ACD-65A1809F5C6B]
72945A3C-0BF1-44E1-ABE8-401EB1A9E5F4;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B97869D3-3399-4D8F-91C5-D7E0420BE03B/manage/FC51958F-532F-40B3-AC22-A7D0552F1808/batches/72945A3C-0BF1-44E1-ABE8-401EB1A9E5F4]
091613EC-DAE8-40D7-AD9A-4FD79FC3569B;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B97869D3-3399-4D8F-91C5-D7E0420BE03B/manage/19A983B6-F29A-4AED-9889-E87B1532787F/batches/091613EC-DAE8-40D7-AD9A-4FD79FC3569B]
7456CECF-7AF4-4AA4-8456-AF15D61C0AFA;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B97869D3-3399-4D8F-91C5-D7E0420BE03B/manage/6252435D-ADDF-4169-A5A3-F24FBB792968/batches/7456CECF-7AF4-4AA4-8456-AF15D61C0AFA]
ACCBFBBD-E2FA-4CCA-9E0E-091133F72329;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B97869D3-3399-4D8F-91C5-D7E0420BE03B/manage/D7C99F94-60EE-4F2A-A75B-2232B59E42E7/batches/ACCBFBBD-E2FA-4CCA-9E0E-091133F72329]
0822E976-C6C9-4A77-B870-99FF9825B93B;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B97869D3-3399-4D8F-91C5-D7E0420BE03B/manage/6252435D-ADDF-4169-A5A3-F24FBB792968/batches/0822E976-C6C9-4A77-B870-99FF9825B93B]
EFD4DFC0-FA12-47FE-AE35-41F68F63CB53;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B97869D3-3399-4D8F-91C5-D7E0420BE03B/manage/A0A8FA76-4442-49E9-96AE-5A37AC3DB7E8/batches/EFD4DFC0-FA12-47FE-AE35-41F68F63CB53]
D666A19B-412E-4A3D-B73F-0BE10529865C;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B97869D3-3399-4D8F-91C5-D7E0420BE03B/manage/852B6C94-6283-4D26-A9BD-261D2C5E1C00/batches/D666A19B-412E-4A3D-B73F-0BE10529865C]
F5B07AC7-1A77-4435-9D1B-005D0377E8B7;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B97869D3-3399-4D8F-91C5-D7E0420BE03B/manage/EA80A3F4-F2EB-45A7-8AF4-2548FC1C88C2/batches/F5B07AC7-1A77-4435-9D1B-005D0377E8B7]
CFDC6063-CEE8-489B-9066-5AA6ACEFE3CE;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B97869D3-3399-4D8F-91C5-D7E0420BE03B/manage/123A8E58-2CF2-4898-B32B-B419255D5A52/batches/CFDC6063-CEE8-489B-9066-5AA6ACEFE3CE]
2195D743-C7B6-4B97-B503-8BE4A2E223E7;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B97869D3-3399-4D8F-91C5-D7E0420BE03B/manage/FFEB84B3-5EFB-482B-BE32-7A165BF33531/batches/2195D743-C7B6-4B97-B503-8BE4A2E223E7]
57B47969-B090-4CE1-931B-6CD553FB9580;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B97869D3-3399-4D8F-91C5-D7E0420BE03B/manage/709D29BB-61B6-4AF1-8004-2146219A544C/batches/57B47969-B090-4CE1-931B-6CD553FB9580]
EEB16E6B-A257-4127-9D1E-4BCCF71ADE87;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B97869D3-3399-4D8F-91C5-D7E0420BE03B/manage/FC51958F-532F-40B3-AC22-A7D0552F1808/batches/EEB16E6B-A257-4127-9D1E-4BCCF71ADE87]
38B30847-4225-48FD-837D-40FFCCF311CE;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/B97869D3-3399-4D8F-91C5-D7E0420BE03B/manage/0E91A7C3-4C24-4524-B400-22B9966734D9/batches/38B30847-4225-48FD-837D-40FFCCF311CE]
