Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 688;
106182464_01323 (imageset: F5925007-C3B3-43D2-93AB-150E05F74884);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B9CFF38B-4CB1-4D9D-B77D-AD8C2607DFA8/manage/F5925007-C3B3-43D2-93AB-150E05F74884/batches/66205E7F-90BA-412B-BF92-B7397EA506C4]
106163651_02172 (imageset: 9203008E-509D-40A1-ADB8-694FA591BAD9);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B9CFF38B-4CB1-4D9D-B77D-AD8C2607DFA8/manage/9203008E-509D-40A1-ADB8-694FA591BAD9/batches/97718DE5-E012-4CFD-B459-06A45840DC01]
106182464_01321 (imageset: F5925007-C3B3-43D2-93AB-150E05F74884);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B9CFF38B-4CB1-4D9D-B77D-AD8C2607DFA8/manage/F5925007-C3B3-43D2-93AB-150E05F74884/batches/66205E7F-90BA-412B-BF92-B7397EA506C4]
106163646_01817 (imageset: E65ACDC7-6507-478E-B742-81C9230ED9B9);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B9CFF38B-4CB1-4D9D-B77D-AD8C2607DFA8/manage/E65ACDC7-6507-478E-B742-81C9230ED9B9/batches/3CFFE9FF-C8FD-48CB-A653-38CDBA31397C]
106163644_00549 (imageset: 9C687BB2-01E0-4CB7-8C72-0F353FB58F04);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B9CFF38B-4CB1-4D9D-B77D-AD8C2607DFA8/manage/9C687BB2-01E0-4CB7-8C72-0F353FB58F04/batches/8745A117-7A25-45CC-97B0-365A659E8D4F]
106182464_01322 (imageset: F5925007-C3B3-43D2-93AB-150E05F74884);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B9CFF38B-4CB1-4D9D-B77D-AD8C2607DFA8/manage/F5925007-C3B3-43D2-93AB-150E05F74884/batches/66205E7F-90BA-412B-BF92-B7397EA506C4]
106182472_00215 (imageset: D6A82525-46F7-429D-ACC5-17EC34B27649);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B9CFF38B-4CB1-4D9D-B77D-AD8C2607DFA8/manage/D6A82525-46F7-429D-ACC5-17EC34B27649/batches/9360D445-B4C0-4F7D-89BF-55E4BDE228FE]
106182472_00216 (imageset: D6A82525-46F7-429D-ACC5-17EC34B27649);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B9CFF38B-4CB1-4D9D-B77D-AD8C2607DFA8/manage/D6A82525-46F7-429D-ACC5-17EC34B27649/batches/9360D445-B4C0-4F7D-89BF-55E4BDE228FE]
106182472_00217 (imageset: D6A82525-46F7-429D-ACC5-17EC34B27649);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B9CFF38B-4CB1-4D9D-B77D-AD8C2607DFA8/manage/D6A82525-46F7-429D-ACC5-17EC34B27649/batches/9360D445-B4C0-4F7D-89BF-55E4BDE228FE]
106163647_00139 (imageset: 00126032-EA3C-4CC7-AD18-701EF63C28FA);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B9CFF38B-4CB1-4D9D-B77D-AD8C2607DFA8/manage/00126032-EA3C-4CC7-AD18-701EF63C28FA/batches/F5FE2603-2A0F-4EF4-B3F1-1192FEBA4B4C]
106182467_00192 (imageset: 0EA509F1-D10F-405D-81FF-CE887C939BBA);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B9CFF38B-4CB1-4D9D-B77D-AD8C2607DFA8/manage/0EA509F1-D10F-405D-81FF-CE887C939BBA/batches/65B445CB-1E04-482F-929B-5846B011E63F]
106163644_00550 (imageset: 9C687BB2-01E0-4CB7-8C72-0F353FB58F04);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B9CFF38B-4CB1-4D9D-B77D-AD8C2607DFA8/manage/9C687BB2-01E0-4CB7-8C72-0F353FB58F04/batches/8745A117-7A25-45CC-97B0-365A659E8D4F]
106182467_00193 (imageset: 0EA509F1-D10F-405D-81FF-CE887C939BBA);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B9CFF38B-4CB1-4D9D-B77D-AD8C2607DFA8/manage/0EA509F1-D10F-405D-81FF-CE887C939BBA/batches/65B445CB-1E04-482F-929B-5846B011E63F]
106163644_00551 (imageset: 9C687BB2-01E0-4CB7-8C72-0F353FB58F04);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/B9CFF38B-4CB1-4D9D-B77D-AD8C2607DFA8/manage/9C687BB2-01E0-4CB7-8C72-0F353FB58F04/batches/8745A117-7A25-45CC-97B0-365A659E8D4F]
