Item;Item Type;Note;Item Link
ReportItem instance counts;;BATCH_SHOULD_BE_EXPORTED: 14;
ReportItem instance counts;;PROJECT_AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 14;
05880AA3-B52C-44D2-9078-A2D311146DDC;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/BA8B47EF-E559-4428-B02E-60AB95EC4CA5/manage/B8D1888D-1AB8-4758-ABB8-408DFEECCEF8/batches/05880AA3-B52C-44D2-9078-A2D311146DDC]
606AE930-AB89-4662-8793-71B3668BC365;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/BA8B47EF-E559-4428-B02E-60AB95EC4CA5/manage/B79435E9-31BA-4D49-A84A-87A7C3E364BD/batches/606AE930-AB89-4662-8793-71B3668BC365]
3989CCE9-ED81-42C1-9924-90BAA41A58AB;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/BA8B47EF-E559-4428-B02E-60AB95EC4CA5/manage/B8D1888D-1AB8-4758-ABB8-408DFEECCEF8/batches/3989CCE9-ED81-42C1-9924-90BAA41A58AB]
824CBF5B-DE37-420A-B158-8427B8EE92C1;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/BA8B47EF-E559-4428-B02E-60AB95EC4CA5/manage/B8D1888D-1AB8-4758-ABB8-408DFEECCEF8/batches/824CBF5B-DE37-420A-B158-8427B8EE92C1]
44F72A8A-EDDF-4A4D-8F96-14C5C9AB14C0;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/BA8B47EF-E559-4428-B02E-60AB95EC4CA5/manage/B8D1888D-1AB8-4758-ABB8-408DFEECCEF8/batches/44F72A8A-EDDF-4A4D-8F96-14C5C9AB14C0]
DC43A003-CE0E-4FCD-A764-EA8C7851AB4A;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/BA8B47EF-E559-4428-B02E-60AB95EC4CA5/manage/B8D1888D-1AB8-4758-ABB8-408DFEECCEF8/batches/DC43A003-CE0E-4FCD-A764-EA8C7851AB4A]
D2CEFB4B-F2C7-47CE-8626-29F5AB46930A;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/BA8B47EF-E559-4428-B02E-60AB95EC4CA5/manage/B8D1888D-1AB8-4758-ABB8-408DFEECCEF8/batches/D2CEFB4B-F2C7-47CE-8626-29F5AB46930A]
89D35259-31F5-4875-B1AA-ED70BD0BD6B1;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/BA8B47EF-E559-4428-B02E-60AB95EC4CA5/manage/B8D1888D-1AB8-4758-ABB8-408DFEECCEF8/batches/89D35259-31F5-4875-B1AA-ED70BD0BD6B1]
7ADD7E14-9350-4642-8FEF-04EC46D6571E;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/BA8B47EF-E559-4428-B02E-60AB95EC4CA5/manage/B8D1888D-1AB8-4758-ABB8-408DFEECCEF8/batches/7ADD7E14-9350-4642-8FEF-04EC46D6571E]
F564C735-7863-4102-BD0B-D070B83964E3;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/BA8B47EF-E559-4428-B02E-60AB95EC4CA5/manage/B8D1888D-1AB8-4758-ABB8-408DFEECCEF8/batches/F564C735-7863-4102-BD0B-D070B83964E3]
9AF4D310-9CF3-4BDB-A804-09D5F3899EFA;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/BA8B47EF-E559-4428-B02E-60AB95EC4CA5/manage/B8D1888D-1AB8-4758-ABB8-408DFEECCEF8/batches/9AF4D310-9CF3-4BDB-A804-09D5F3899EFA]
B1667217-54E2-47E6-B673-3BB0B4364E25;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/BA8B47EF-E559-4428-B02E-60AB95EC4CA5/manage/B8D1888D-1AB8-4758-ABB8-408DFEECCEF8/batches/B1667217-54E2-47E6-B673-3BB0B4364E25]
34DD7102-7280-4443-A3D7-115144DA8DE7;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/BA8B47EF-E559-4428-B02E-60AB95EC4CA5/manage/B79435E9-31BA-4D49-A84A-87A7C3E364BD/batches/34DD7102-7280-4443-A3D7-115144DA8DE7]
60E7D14D-D941-4F9B-A84D-8A6608C63259;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/BA8B47EF-E559-4428-B02E-60AB95EC4CA5/manage/B8D1888D-1AB8-4758-ABB8-408DFEECCEF8/batches/60E7D14D-D941-4F9B-A84D-8A6608C63259]
BA8B47EF-E559-4428-B02E-60AB95EC4CA5;PROJECT;PROJECT_AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL;[PROJECT|https://www.familysearch.org/indexing/admin-new/#/projects/BA8B47EF-E559-4428-B02E-60AB95EC4CA5/overview]
