Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 14220;
007762721_01592 (imageset: C3A8C5AE-9233-415D-9967-E5F19E5AFB1C);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BAA64759-D64D-4722-880E-7213DE4B34C1/manage/C3A8C5AE-9233-415D-9967-E5F19E5AFB1C/batches/C65EBB10-1D9C-49EF-BE24-7A266EE4A968]
007762721_01590 (imageset: C3A8C5AE-9233-415D-9967-E5F19E5AFB1C);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BAA64759-D64D-4722-880E-7213DE4B34C1/manage/C3A8C5AE-9233-415D-9967-E5F19E5AFB1C/batches/C65EBB10-1D9C-49EF-BE24-7A266EE4A968]
007762773_00974 (imageset: EAF4EB8F-1416-4A51-8FC7-83F4D97B524D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BAA64759-D64D-4722-880E-7213DE4B34C1/manage/EAF4EB8F-1416-4A51-8FC7-83F4D97B524D/batches/5A675AF1-FCA0-40E9-9C05-692A122DECB7]
007762773_00976 (imageset: EAF4EB8F-1416-4A51-8FC7-83F4D97B524D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BAA64759-D64D-4722-880E-7213DE4B34C1/manage/EAF4EB8F-1416-4A51-8FC7-83F4D97B524D/batches/5A675AF1-FCA0-40E9-9C05-692A122DECB7]
007762773_00975 (imageset: EAF4EB8F-1416-4A51-8FC7-83F4D97B524D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BAA64759-D64D-4722-880E-7213DE4B34C1/manage/EAF4EB8F-1416-4A51-8FC7-83F4D97B524D/batches/5A675AF1-FCA0-40E9-9C05-692A122DECB7]
007762773_00977 (imageset: EAF4EB8F-1416-4A51-8FC7-83F4D97B524D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BAA64759-D64D-4722-880E-7213DE4B34C1/manage/EAF4EB8F-1416-4A51-8FC7-83F4D97B524D/batches/5A675AF1-FCA0-40E9-9C05-692A122DECB7]
007762742_02420 (imageset: E0CC8860-0611-498D-BD8A-F04F6AE5325D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BAA64759-D64D-4722-880E-7213DE4B34C1/manage/E0CC8860-0611-498D-BD8A-F04F6AE5325D/batches/8F253C8C-DFB0-41FE-A1AE-60906BEF0993]
007762792_00880 (imageset: B40C51D5-1E82-4C12-881B-B76D6BE871F6);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BAA64759-D64D-4722-880E-7213DE4B34C1/manage/B40C51D5-1E82-4C12-881B-B76D6BE871F6/batches/AF882632-9916-4CFF-9EEA-FB8BED1CBBE1]
007762742_02421 (imageset: E0CC8860-0611-498D-BD8A-F04F6AE5325D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BAA64759-D64D-4722-880E-7213DE4B34C1/manage/E0CC8860-0611-498D-BD8A-F04F6AE5325D/batches/8F253C8C-DFB0-41FE-A1AE-60906BEF0993]
007762742_02422 (imageset: E0CC8860-0611-498D-BD8A-F04F6AE5325D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BAA64759-D64D-4722-880E-7213DE4B34C1/manage/E0CC8860-0611-498D-BD8A-F04F6AE5325D/batches/8F253C8C-DFB0-41FE-A1AE-60906BEF0993]
007762742_02423 (imageset: E0CC8860-0611-498D-BD8A-F04F6AE5325D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BAA64759-D64D-4722-880E-7213DE4B34C1/manage/E0CC8860-0611-498D-BD8A-F04F6AE5325D/batches/8F253C8C-DFB0-41FE-A1AE-60906BEF0993]
007762757_01876 (imageset: D8AF2F8E-255A-4E15-8A61-2D97CDF77505);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BAA64759-D64D-4722-880E-7213DE4B34C1/manage/D8AF2F8E-255A-4E15-8A61-2D97CDF77505/batches/F9B8F736-2966-4575-A068-DAD18C9F6659]
007762757_01857 (imageset: D8AF2F8E-255A-4E15-8A61-2D97CDF77505);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BAA64759-D64D-4722-880E-7213DE4B34C1/manage/D8AF2F8E-255A-4E15-8A61-2D97CDF77505/batches/18276E37-F8A6-4D4E-A011-D5885325AEB8]
007762745_03210 (imageset: A027CEC5-84E4-4F16-840E-CE4816F490AF);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BAA64759-D64D-4722-880E-7213DE4B34C1/manage/A027CEC5-84E4-4F16-840E-CE4816F490AF/batches/E4EBA253-1B51-4C43-AC5E-0E8C0710F22C]
007762745_03215 (imageset: A027CEC5-84E4-4F16-840E-CE4816F490AF);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BAA64759-D64D-4722-880E-7213DE4B34C1/manage/A027CEC5-84E4-4F16-840E-CE4816F490AF/batches/E4EBA253-1B51-4C43-AC5E-0E8C0710F22C]
007762761_01002 (imageset: 4A400F17-1BF6-4A70-9CE7-611AB94DB9C6);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BAA64759-D64D-4722-880E-7213DE4B34C1/manage/4A400F17-1BF6-4A70-9CE7-611AB94DB9C6/batches/427876C7-83EE-4675-A9C4-B62B0F1BEC5E]
007762745_03214 (imageset: A027CEC5-84E4-4F16-840E-CE4816F490AF);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BAA64759-D64D-4722-880E-7213DE4B34C1/manage/A027CEC5-84E4-4F16-840E-CE4816F490AF/batches/E4EBA253-1B51-4C43-AC5E-0E8C0710F22C]
007762761_01001 (imageset: 4A400F17-1BF6-4A70-9CE7-611AB94DB9C6);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BAA64759-D64D-4722-880E-7213DE4B34C1/manage/4A400F17-1BF6-4A70-9CE7-611AB94DB9C6/batches/427876C7-83EE-4675-A9C4-B62B0F1BEC5E]
007762745_03213 (imageset: A027CEC5-84E4-4F16-840E-CE4816F490AF);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BAA64759-D64D-4722-880E-7213DE4B34C1/manage/A027CEC5-84E4-4F16-840E-CE4816F490AF/batches/E4EBA253-1B51-4C43-AC5E-0E8C0710F22C]
007762761_01000 (imageset: 4A400F17-1BF6-4A70-9CE7-611AB94DB9C6);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BAA64759-D64D-4722-880E-7213DE4B34C1/manage/4A400F17-1BF6-4A70-9CE7-611AB94DB9C6/batches/427876C7-83EE-4675-A9C4-B62B0F1BEC5E]
007762761_01003 (imageset: 4A400F17-1BF6-4A70-9CE7-611AB94DB9C6);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BAA64759-D64D-4722-880E-7213DE4B34C1/manage/4A400F17-1BF6-4A70-9CE7-611AB94DB9C6/batches/427876C7-83EE-4675-A9C4-B62B0F1BEC5E]
007762792_00874 (imageset: B40C51D5-1E82-4C12-881B-B76D6BE871F6);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BAA64759-D64D-4722-880E-7213DE4B34C1/manage/B40C51D5-1E82-4C12-881B-B76D6BE871F6/batches/AF882632-9916-4CFF-9EEA-FB8BED1CBBE1]
007762792_00875 (imageset: B40C51D5-1E82-4C12-881B-B76D6BE871F6);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BAA64759-D64D-4722-880E-7213DE4B34C1/manage/B40C51D5-1E82-4C12-881B-B76D6BE871F6/batches/AF882632-9916-4CFF-9EEA-FB8BED1CBBE1]
007762792_00879 (imageset: B40C51D5-1E82-4C12-881B-B76D6BE871F6);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BAA64759-D64D-4722-880E-7213DE4B34C1/manage/B40C51D5-1E82-4C12-881B-B76D6BE871F6/batches/AF882632-9916-4CFF-9EEA-FB8BED1CBBE1]
007762721_00243 (imageset: C3A8C5AE-9233-415D-9967-E5F19E5AFB1C);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BAA64759-D64D-4722-880E-7213DE4B34C1/manage/C3A8C5AE-9233-415D-9967-E5F19E5AFB1C/batches/B35955CC-0E8F-4A7E-A1A1-86ED5E606D16]
007762721_00245 (imageset: C3A8C5AE-9233-415D-9967-E5F19E5AFB1C);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BAA64759-D64D-4722-880E-7213DE4B34C1/manage/C3A8C5AE-9233-415D-9967-E5F19E5AFB1C/batches/B35955CC-0E8F-4A7E-A1A1-86ED5E606D16]
007762757_00523 (imageset: D8AF2F8E-255A-4E15-8A61-2D97CDF77505);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BAA64759-D64D-4722-880E-7213DE4B34C1/manage/D8AF2F8E-255A-4E15-8A61-2D97CDF77505/batches/DB267423-AAB6-4F1A-9992-41F73CA5A1C9]
007762757_00522 (imageset: D8AF2F8E-255A-4E15-8A61-2D97CDF77505);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BAA64759-D64D-4722-880E-7213DE4B34C1/manage/D8AF2F8E-255A-4E15-8A61-2D97CDF77505/batches/DB267423-AAB6-4F1A-9992-41F73CA5A1C9]
007762757_00521 (imageset: D8AF2F8E-255A-4E15-8A61-2D97CDF77505);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BAA64759-D64D-4722-880E-7213DE4B34C1/manage/D8AF2F8E-255A-4E15-8A61-2D97CDF77505/batches/DB267423-AAB6-4F1A-9992-41F73CA5A1C9]
007762757_00520 (imageset: D8AF2F8E-255A-4E15-8A61-2D97CDF77505);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BAA64759-D64D-4722-880E-7213DE4B34C1/manage/D8AF2F8E-255A-4E15-8A61-2D97CDF77505/batches/DB267423-AAB6-4F1A-9992-41F73CA5A1C9]
007762795_00398 (imageset: AB800043-BE28-4803-91F6-CEE65C936ED9);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BAA64759-D64D-4722-880E-7213DE4B34C1/manage/AB800043-BE28-4803-91F6-CEE65C936ED9/batches/49E2D796-415F-4FCA-8167-4FC02AAC93A2]
007762795_00397 (imageset: AB800043-BE28-4803-91F6-CEE65C936ED9);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BAA64759-D64D-4722-880E-7213DE4B34C1/manage/AB800043-BE28-4803-91F6-CEE65C936ED9/batches/49E2D796-415F-4FCA-8167-4FC02AAC93A2]
007762795_00396 (imageset: AB800043-BE28-4803-91F6-CEE65C936ED9);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BAA64759-D64D-4722-880E-7213DE4B34C1/manage/AB800043-BE28-4803-91F6-CEE65C936ED9/batches/49E2D796-415F-4FCA-8167-4FC02AAC93A2]
007762746_03072 (imageset: 6F70EEE5-0945-475A-8ABE-DF7CCCE205E2);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BAA64759-D64D-4722-880E-7213DE4B34C1/manage/6F70EEE5-0945-475A-8ABE-DF7CCCE205E2/batches/B29BD54B-A94A-429B-A94E-FED05B066E3B]
007762746_03071 (imageset: 6F70EEE5-0945-475A-8ABE-DF7CCCE205E2);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BAA64759-D64D-4722-880E-7213DE4B34C1/manage/6F70EEE5-0945-475A-8ABE-DF7CCCE205E2/batches/B29BD54B-A94A-429B-A94E-FED05B066E3B]
007762746_03074 (imageset: 6F70EEE5-0945-475A-8ABE-DF7CCCE205E2);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BAA64759-D64D-4722-880E-7213DE4B34C1/manage/6F70EEE5-0945-475A-8ABE-DF7CCCE205E2/batches/B29BD54B-A94A-429B-A94E-FED05B066E3B]
007762746_03073 (imageset: 6F70EEE5-0945-475A-8ABE-DF7CCCE205E2);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BAA64759-D64D-4722-880E-7213DE4B34C1/manage/6F70EEE5-0945-475A-8ABE-DF7CCCE205E2/batches/B29BD54B-A94A-429B-A94E-FED05B066E3B]
007762762_02185 (imageset: E6D88CA7-86B0-4D6B-8AD9-0C42476C6BC3);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BAA64759-D64D-4722-880E-7213DE4B34C1/manage/E6D88CA7-86B0-4D6B-8AD9-0C42476C6BC3/batches/70D99533-186D-43FD-9FDF-74ECF76713D3]
007762762_02188 (imageset: E6D88CA7-86B0-4D6B-8AD9-0C42476C6BC3);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BAA64759-D64D-4722-880E-7213DE4B34C1/manage/E6D88CA7-86B0-4D6B-8AD9-0C42476C6BC3/batches/70D99533-186D-43FD-9FDF-74ECF76713D3]
007762762_02189 (imageset: E6D88CA7-86B0-4D6B-8AD9-0C42476C6BC3);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BAA64759-D64D-4722-880E-7213DE4B34C1/manage/E6D88CA7-86B0-4D6B-8AD9-0C42476C6BC3/batches/C85C50B6-3626-470F-A887-923734037497]
007762762_02186 (imageset: E6D88CA7-86B0-4D6B-8AD9-0C42476C6BC3);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BAA64759-D64D-4722-880E-7213DE4B34C1/manage/E6D88CA7-86B0-4D6B-8AD9-0C42476C6BC3/batches/70D99533-186D-43FD-9FDF-74ECF76713D3]
007762954_02275 (imageset: 11C22AA7-5993-4283-B08C-4180C6CF696D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BAA64759-D64D-4722-880E-7213DE4B34C1/manage/11C22AA7-5993-4283-B08C-4180C6CF696D/batches/6FD9E2E2-3838-4C0D-AC5C-05340EEFD511]
007762954_02276 (imageset: 11C22AA7-5993-4283-B08C-4180C6CF696D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BAA64759-D64D-4722-880E-7213DE4B34C1/manage/11C22AA7-5993-4283-B08C-4180C6CF696D/batches/6FD9E2E2-3838-4C0D-AC5C-05340EEFD511]
007762954_02274 (imageset: 11C22AA7-5993-4283-B08C-4180C6CF696D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BAA64759-D64D-4722-880E-7213DE4B34C1/manage/11C22AA7-5993-4283-B08C-4180C6CF696D/batches/6FD9E2E2-3838-4C0D-AC5C-05340EEFD511]
007762762_02192 (imageset: E6D88CA7-86B0-4D6B-8AD9-0C42476C6BC3);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BAA64759-D64D-4722-880E-7213DE4B34C1/manage/E6D88CA7-86B0-4D6B-8AD9-0C42476C6BC3/batches/C85C50B6-3626-470F-A887-923734037497]
007762762_02190 (imageset: E6D88CA7-86B0-4D6B-8AD9-0C42476C6BC3);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BAA64759-D64D-4722-880E-7213DE4B34C1/manage/E6D88CA7-86B0-4D6B-8AD9-0C42476C6BC3/batches/C85C50B6-3626-470F-A887-923734037497]
007762954_02277 (imageset: 11C22AA7-5993-4283-B08C-4180C6CF696D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BAA64759-D64D-4722-880E-7213DE4B34C1/manage/11C22AA7-5993-4283-B08C-4180C6CF696D/batches/6FD9E2E2-3838-4C0D-AC5C-05340EEFD511]
007762743_02266 (imageset: 48B8F819-EDB6-45EB-A046-8DAB00CF55B0);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BAA64759-D64D-4722-880E-7213DE4B34C1/manage/48B8F819-EDB6-45EB-A046-8DAB00CF55B0/batches/E1BA182D-28B8-4270-813E-A61B7364D8E1]
007762743_02264 (imageset: 48B8F819-EDB6-45EB-A046-8DAB00CF55B0);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BAA64759-D64D-4722-880E-7213DE4B34C1/manage/48B8F819-EDB6-45EB-A046-8DAB00CF55B0/batches/E1BA182D-28B8-4270-813E-A61B7364D8E1]
