Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES: 14305;
ReportItem instance counts;;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE: 200;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;IMAGE_NO_INDEXING_BATCH: 200;
104910945_02524 (imageset: 3DFA89C0-8F75-4888-A73D-81A5B0A3E9BC);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BBAAD840-13AA-4D2A-A481-583F595F2ECB/manage/3DFA89C0-8F75-4888-A73D-81A5B0A3E9BC/batches/list]
104910894_01448 (imageset: CAA794D6-01F3-44EF-B25D-157DC4DF07E5);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BBAAD840-13AA-4D2A-A481-583F595F2ECB/manage/CAA794D6-01F3-44EF-B25D-157DC4DF07E5/batches/list]
104910712_01874 (imageset: 5BF83EC5-C6DC-43E7-8C1C-3B5A76728999);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BBAAD840-13AA-4D2A-A481-583F595F2ECB/manage/5BF83EC5-C6DC-43E7-8C1C-3B5A76728999/batches/list]
104910945_02521 (imageset: 3DFA89C0-8F75-4888-A73D-81A5B0A3E9BC);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BBAAD840-13AA-4D2A-A481-583F595F2ECB/manage/3DFA89C0-8F75-4888-A73D-81A5B0A3E9BC/batches/list]
104910712_01873 (imageset: 5BF83EC5-C6DC-43E7-8C1C-3B5A76728999);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BBAAD840-13AA-4D2A-A481-583F595F2ECB/manage/5BF83EC5-C6DC-43E7-8C1C-3B5A76728999/batches/list]
104910945_02522 (imageset: 3DFA89C0-8F75-4888-A73D-81A5B0A3E9BC);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BBAAD840-13AA-4D2A-A481-583F595F2ECB/manage/3DFA89C0-8F75-4888-A73D-81A5B0A3E9BC/batches/list]
104910820_00022 (imageset: 47CF9CA8-9EC0-4697-9991-2E62CD4C0A33);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BBAAD840-13AA-4D2A-A481-583F595F2ECB/manage/47CF9CA8-9EC0-4697-9991-2E62CD4C0A33/batches/list]
104910945_02523 (imageset: 3DFA89C0-8F75-4888-A73D-81A5B0A3E9BC);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BBAAD840-13AA-4D2A-A481-583F595F2ECB/manage/3DFA89C0-8F75-4888-A73D-81A5B0A3E9BC/batches/list]
104910712_01875 (imageset: 5BF83EC5-C6DC-43E7-8C1C-3B5A76728999);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BBAAD840-13AA-4D2A-A481-583F595F2ECB/manage/5BF83EC5-C6DC-43E7-8C1C-3B5A76728999/batches/list]
104910946_01084 (imageset: C79583C1-39B6-479E-94A0-487CFE9EBD2D);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BBAAD840-13AA-4D2A-A481-583F595F2ECB/manage/C79583C1-39B6-479E-94A0-487CFE9EBD2D/batches/list]
104910878_02347 (imageset: 3F4E7350-8941-45D7-B340-2CFDB08AFE11);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BBAAD840-13AA-4D2A-A481-583F595F2ECB/manage/3F4E7350-8941-45D7-B340-2CFDB08AFE11/batches/list]
104910891_00633 (imageset: BF7F7DB4-74B8-4569-AAD9-5FE2D9860269);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BBAAD840-13AA-4D2A-A481-583F595F2ECB/manage/BF7F7DB4-74B8-4569-AAD9-5FE2D9860269/batches/list]
104910661_00797 (imageset: 965E666C-B223-4E2A-9C65-11A041B3CCAB);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BBAAD840-13AA-4D2A-A481-583F595F2ECB/manage/965E666C-B223-4E2A-9C65-11A041B3CCAB/batches/list]
104910923_01813 (imageset: A72EFBD9-632D-44EB-8632-AB68D332517C);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BBAAD840-13AA-4D2A-A481-583F595F2ECB/manage/A72EFBD9-632D-44EB-8632-AB68D332517C/batches/list]
104910894_01449 (imageset: CAA794D6-01F3-44EF-B25D-157DC4DF07E5);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BBAAD840-13AA-4D2A-A481-583F595F2ECB/manage/CAA794D6-01F3-44EF-B25D-157DC4DF07E5/batches/list]
104910875_00200 (imageset: 27631C94-C6DB-4E66-9CF9-ECFCA0821561);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BBAAD840-13AA-4D2A-A481-583F595F2ECB/manage/27631C94-C6DB-4E66-9CF9-ECFCA0821561/batches/list]
104910642_00899 (imageset: 9AFEACF0-C895-4B00-A2B0-D1AA9B48B929);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BBAAD840-13AA-4D2A-A481-583F595F2ECB/manage/9AFEACF0-C895-4B00-A2B0-D1AA9B48B929/batches/list]
